Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133
Time [s],0,1362,2723.5,4085,5446.5,6808,8169.5,9531,10892.5,12254,13615.5,14977,16338.5,17700,19061.6,20423.1,21784.6,23146.1,24507.6,25869.1,27230.6,28592.1,29953.6,31315.1,32676.6,34038.1,35399.6,36761.1,38122.6,39484.1,40845.5,42207.1,43568.6,44930.1,46291.6,47653.1,49014.6,50376.1,51737.6,53099.1,54460.6,55822.1,57183.6,58545.1,59906.6,61268.1,62629.6,63991.1,65352.6,66714.1,68075.6,69437.1,70798.6,72160.1,73521.6,74883.1,76244.6,77606.1,78967.6,80329.1,81690.7,83052.2,84413.7,85775.2,87136.7,88498.2,89859.7,91221.2,92582.7,93944.1,95305.7,96667.2,98028.7,99390.2,100751.7,102113.2,103474.7,104836.2,106197.7,107559.2,108920.7,110282.2,111643.7,113005.2,114366.7,115728.2,117089.7,118451.2,119812.7,121174.2,122535.7,123897.3,125258.7,126620.2,127981.7,129343.2,130704.7,132066.2,133427.7,134789.3,136150.7,137512.2,138873.7,140235.2,141596.7,142958.2,144319.7,145681.2,147042.7,148404.2,149765.7,151127.2,152488.7,153850.2,155211.7,156573.2,157934.7,159296.2,160657.7,162019.2,163380.7,164742.2,166103.7,167465.2,168826.7,170188.2,171549.7,172911.2,174272.7,175634.2,176995.7,178357.2,179718.7
Temp. [°C],37.3,36.9,37.3,37.7,36.8,37.7,37.5,37,36.8,37.7,37.6,37.3,36.8,37.6,37.4,36.9,37.6,37.4,36.8,37.7,37.1,37.6,37.2,37.6,37,37.7,36.8,37.4,37.6,36.8,37.4,37.6,36.8,37.3,37.7,36.9,37.2,37.7,37.2,37,37.5,37.7,37,36.9,37.4,37.7,37.5,36.8,36.9,37.2,37.4,37.7,37.7,37.6,37.3,37.2,37.1,37.1,36.9,37.1,37.3,37.3,36.8,37.7,37.6,37.5,37.6,37.7,36.8,36.8,37,37.7,37.5,37,37.3,37.4,37.2,37.3,37.6,37.2,37.6,37,37.7,36.8,37.4,37.1,37.6,36.9,37.7,36.8,37.4,37.7,37.4,36.8,36.9,37,37.2,37,36.9,36.9,36.8,37.1,37.4,37.2,37,37.7,37.3,36.9,36.9,37.1,36.9,36.8,37.2,37.7,37.3,37,37.1,37.5,37.6,37.3,37.2,37.6,36.8,37.5,37.7,37.2,37,37.3,37.8,37.4,37.4,37,37.4
A1,0.088200003,0.088500001,0.088,0.088,0.087899998,0.088,0.087800004,0.088,0.088299997,0.087899998,0.087899998,0.088299997,0.088,0.087899998,0.087899998,0.087899998,0.087800004,0.087800004,0.087800004,0.087800004,0.087899998,0.087899998,0.087800004,0.087899998,0.087899998,0.088100001,0.087800004,0.087899998,0.087899998,0.087899998,0.087899998,0.087899998,0.087800004,0.088100001,0.087899998,0.087899998,0.088500001,0.087899998,0.087899998,0.087899998,0.087899998,0.087899998,0.087899998,0.087800004,0.087899998,0.088299997,0.088100001,0.087899998,0.087899998,0.087899998,0.087899998,0.087899998,0.087800004,0.087800004,0.087800004,0.087800004,0.087800004,0.087800004,0.087800004,0.087899998,0.087800004,0.087899998,0.087899998,0.088,0.088500001,0.088399999,0.087899998,0.087800004,0.087800004,0.087899998,0.087800004,0.087899998,0.088,0.088100001,0.088,0.087899998,0.087800004,0.087800004,0.087800004,0.087800004,0.087800004,0.088299997,0.087800004,0.087800004,0.087800004,0.088200003,0.087800004,0.088399999,0.088,0.087800004,0.087800004,0.087700002,0.087800004,0.087700002,0.087700002,0.087700002,0.087800004,0.087700002,0.087800004,0.087800004,0.087800004,0.087800004,0.087800004,0.087800004,0.087800004,0.087800004,0.087800004,0.087899998,0.087800004,0.087800004,0.087800004,0.087800004,0.088399999,0.087899998,0.087899998,0.087800004,0.087800004,0.087800004,0.087800004,0.087800004,0.088299997,0.087800004,0.087899998,0.087800004,0.087899998,0.087800004,0.087800004,0.088399999,0.087800004,0.087800004,0.087700002,0.087800004,0.087800004
A2,0.087399997,0.087200001,0.087700002,0.087300003,0.087200001,0.087200001,0.087200001,0.087200001,0.087200001,0.087200001,0.087200001,0.087200001,0.087200001,0.087099999,0.087200001,0.087499999,0.087099999,0.087099999,0.087099999,0.087099999,0.087099999,0.087099999,0.087099999,0.087099999,0.0876,0.087099999,0.087099999,0.087399997,0.087099999,0.087099999,0.0876,0.087200001,0.086999997,0.086999997,0.086999997,0.087399997,0.087099999,0.087099999,0.087099999,0.087099999,0.086999997,0.086999997,0.087099999,0.087099999,0.087099999,0.087099999,0.087099999,0.087099999,0.087099999,0.087099999,0.0876,0.087099999,0.087099999,0.087499999,0.087099999,0.087099999,0.087099999,0.086999997,0.086999997,0.087099999,0.087099999,0.087099999,0.087700002,0.087099999,0.087200001,0.087200001,0.087700002,0.087099999,0.087300003,0.087099999,0.087499999,0.087099999,0.087099999,0.087099999,0.087099999,0.087099999,0.086999997,0.087099999,0.087300003,0.087099999,0.087099999,0.087099999,0.087099999,0.087099999,0.087099999,0.086999997,0.087499999,0.087099999,0.087099999,0.087700002,0.087499999,0.087099999,0.087099999,0.086999997,0.086999997,0.087399997,0.087099999,0.087099999,0.087099999,0.087099999,0.087399997,0.087099999,0.087099999,0.087099999,0.087399997,0.087099999,0.087499999,0.087200001,0.0876,0.087099999,0.0876,0.087099999,0.086999997,0.087099999,0.087300003,0.087099999,0.087499999,0.0876,0.086999997,0.087099999,0.087399997,0.087300003,0.087099999,0.087399997,0.087099999,0.087099999,0.087099999,0.087099999,0.087099999,0.086999997,0.086999997,0.087200001,0.086999997
A3,0.087700002,0.0876,0.0876,0.087700002,0.0876,0.0876,0.0876,0.0876,0.0876,0.0876,0.087499999,0.087499999,0.087499999,0.087499999,0.087499999,0.087499999,0.087399997,0.087399997,0.087399997,0.087399997,0.087399997,0.087399997,0.087399997,0.087399997,0.087399997,0.087300003,0.087300003,0.087399997,0.0876,0.087399997,0.087300003,0.087700002,0.087300003,0.087300003,0.087300003,0.087300003,0.087300003,0.087700002,0.087399997,0.087399997,0.087300003,0.087300003,0.087300003,0.087300003,0.087399997,0.087399997,0.087399997,0.087399997,0.087399997,0.087399997,0.087399997,0.087399997,0.087399997,0.087899998,0.087399997,0.087399997,0.087300003,0.087300003,0.087300003,0.087300003,0.087399997,0.087399997,0.087399997,0.087399997,0.087399997,0.087399997,0.087800004,0.087499999,0.087700002,0.087399997,0.087399997,0.087399997,0.087399997,0.087399997,0.087399997,0.087399997,0.087300003,0.087899998,0.087300003,0.087399997,0.087399997,0.087399997,0.087399997,0.087399997,0.087300003,0.087300003,0.087399997,0.087399997,0.087399997,0.087399997,0.088,0.087300003,0.087300003,0.087300003,0.087300003,0.0876,0.087399997,0.0876,0.087399997,0.087399997,0.087300003,0.087300003,0.087300003,0.087399997,0.0876,0.087399997,0.087499999,0.087399997,0.087399997,0.087300003,0.087300003,0.087300003,0.087300003,0.087399997,0.087899998,0.087399997,0.087399997,0.087300003,0.087300003,0.087300003,0.087700002,0.087499999,0.087399997,0.087399997,0.087300003,0.087300003,0.087300003,0.087300003,0.087300003,0.087499999,0.087300003,0.087300003,0.0876
A4,0.088100001,0.088299997,0.087899998,0.088,0.087899998,0.087800004,0.087800004,0.088200003,0.087899998,0.088299997,0.087800004,0.088399999,0.087800004,0.087800004,0.087800004,0.087800004,0.088,0.087700002,0.087700002,0.087700002,0.087700002,0.087700002,0.088200003,0.087700002,0.088100001,0.087700002,0.087700002,0.087700002,0.087700002,0.087700002,0.0876,0.0876,0.0876,0.0876,0.088200003,0.087700002,0.088,0.087700002,0.087700002,0.087700002,0.0876,0.088,0.087700002,0.087700002,0.087700002,0.087700002,0.087700002,0.087700002,0.087700002,0.087700002,0.087700002,0.0876,0.087700002,0.0876,0.087700002,0.0876,0.0876,0.0876,0.0876,0.088100001,0.0876,0.087700002,0.087700002,0.088100001,0.088100001,0.087700002,0.087800004,0.087700002,0.087700002,0.087700002,0.087700002,0.087700002,0.088,0.087700002,0.087700002,0.087700002,0.0876,0.0876,0.0876,0.0876,0.087700002,0.088100001,0.087700002,0.087700002,0.0876,0.0876,0.087700002,0.088100001,0.087700002,0.087700002,0.0876,0.0876,0.0876,0.087499999,0.087499999,0.0876,0.0876,0.087899998,0.088100001,0.0876,0.0876,0.0876,0.0876,0.0876,0.0876,0.087700002,0.087700002,0.087700002,0.087700002,0.0876,0.0876,0.0876,0.0876,0.087700002,0.087700002,0.087899998,0.088,0.087700002,0.0876,0.087700002,0.0876,0.0876,0.0876,0.087700002,0.0876,0.0876,0.088299997,0.0876,0.0876,0.087499999,0.087499999,0.087499999,0.0876
A5,0.093900003,0.092500001,0.089000002,0.089199997,0.0889,0.0889,0.089400001,0.089199997,0.089199997,0.089199997,0.089400001,0.089199997,0.089100003,0.089500003,0.089100003,0.089199997,0.089100003,0.089100003,0.089100003,0.089100003,0.0898,0.089199997,0.089199997,0.089699998,0.089199997,0.089199997,0.089100003,0.089199997,0.089299999,0.089699998,0.089299999,0.089000002,0.089299999,0.089100003,0.089100003,0.089100003,0.089199997,0.089100003,0.089100003,0.089100003,0.089100003,0.089000002,0.089100003,0.089400001,0.089699998,0.089100003,0.089199997,0.089500003,0.089100003,0.089100003,0.089599997,0.089100003,0.089100003,0.089100003,0.089100003,0.089500003,0.089599997,0.089299999,0.089599997,0.089100003,0.089100003,0.089500003,0.089599997,0.089199997,0.089199997,0.089199997,0.089199997,0.089199997,0.089100003,0.089199997,0.089100003,0.089100003,0.089100003,0.089100003,0.089100003,0.089699998,0.089400001,0.089000002,0.089000002,0.089000002,0.089100003,0.089000002,0.089599997,0.089100003,0.089100003,0.089100003,0.089000002,0.089100003,0.089100003,0.089500003,0.089100003,0.089000002,0.089100003,0.089000002,0.0889,0.0889,0.089000002,0.089100003,0.089100003,0.089000002,0.089199997,0.089299999,0.089100003,0.089100003,0.089100003,0.089100003,0.089100003,0.089199997,0.089100003,0.089100003,0.089000002,0.089599997,0.089100003,0.089199997,0.089199997,0.089199997,0.089299999,0.089100003,0.089000002,0.089000002,0.089100003,0.089199997,0.089100003,0.089100003,0.089100003,0.089100003,0.089199997,0.089100003,0.089000002,0.089000002,0.089000002,0.089599997,0.089100003
A6,0.087700002,0.0876,0.087499999,0.0876,0.087399997,0.087399997,0.087399997,0.087800004,0.087399997,0.087399997,0.087399997,0.087399997,0.087700002,0.087399997,0.087399997,0.087399997,0.087300003,0.087700002,0.087300003,0.087700002,0.087399997,0.087399997,0.087399997,0.087399997,0.087399997,0.087499999,0.087399997,0.087399997,0.087399997,0.087399997,0.087300003,0.087300003,0.087300003,0.0876,0.087300003,0.087399997,0.087399997,0.087399997,0.087399997,0.087399997,0.087399997,0.087300003,0.087399997,0.087399997,0.087700002,0.087399997,0.087399997,0.087399997,0.087399997,0.087399997,0.087399997,0.087300003,0.087300003,0.087300003,0.087300003,0.087300003,0.087300003,0.087300003,0.087300003,0.0876,0.087300003,0.087399997,0.087899998,0.087399997,0.087899998,0.0876,0.087399997,0.0876,0.087399997,0.087399997,0.087399997,0.087399997,0.087300003,0.087700002,0.087399997,0.087399997,0.087300003,0.087300003,0.087300003,0.087300003,0.087399997,0.0876,0.087300003,0.087300003,0.087300003,0.087700002,0.087399997,0.087300003,0.087399997,0.087399997,0.087300003,0.087300003,0.087300003,0.087200001,0.087899998,0.087300003,0.087300003,0.087300003,0.087300003,0.087300003,0.087300003,0.087300003,0.087300003,0.087300003,0.087399997,0.087399997,0.087399997,0.087499999,0.087399997,0.0876,0.087399997,0.087399997,0.087300003,0.087399997,0.087399997,0.087399997,0.087399997,0.087399997,0.087399997,0.087399997,0.087399997,0.087399997,0.087399997,0.087300003,0.087399997,0.087300003,0.087300003,0.087300003,0.087300003,0.087300003,0.087700002,0.087300003,0.087300003
A7,0.087499999,0.087300003,0.087300003,0.087300003,0.087200001,0.087499999,0.087200001,0.087200001,0.087200001,0.087099999,0.087200001,0.087200001,0.087099999,0.087200001,0.087700002,0.087200001,0.087499999,0.087300003,0.087099999,0.087200001,0.087200001,0.087200001,0.087200001,0.087200001,0.087700002,0.087200001,0.087200001,0.087200001,0.087200001,0.087200001,0.087099999,0.087099999,0.087099999,0.087099999,0.087200001,0.087200001,0.087200001,0.087200001,0.087300003,0.087200001,0.087200001,0.087099999,0.087200001,0.087200001,0.087700002,0.087700002,0.0876,0.087200001,0.087200001,0.087200001,0.087200001,0.087200001,0.087099999,0.087099999,0.087099999,0.087200001,0.087099999,0.087099999,0.087099999,0.087099999,0.087200001,0.087200001,0.087200001,0.087200001,0.087399997,0.087200001,0.087300003,0.087200001,0.087200001,0.087200001,0.087200001,0.087200001,0.087700002,0.087200001,0.087800004,0.087200001,0.087099999,0.0876,0.087099999,0.087099999,0.087200001,0.087099999,0.087200001,0.087099999,0.087099999,0.087200001,0.087200001,0.087099999,0.087499999,0.087200001,0.087099999,0.087099999,0.087099999,0.087099999,0.087099999,0.086999997,0.087099999,0.087200001,0.087700002,0.087099999,0.087099999,0.087099999,0.087300003,0.087200001,0.087200001,0.087200001,0.087200001,0.087300003,0.087200001,0.087700002,0.087200001,0.087800004,0.087200001,0.087700002,0.087300003,0.087300003,0.0876,0.087200001,0.087300003,0.087800004,0.087200001,0.087200001,0.087200001,0.087200001,0.087200001,0.087099999,0.087200001,0.087200001,0.087200001,0.087099999,0.087700002,0.087200001,0.087200001
A8,0.0876,0.087399997,0.087300003,0.087300003,0.087700002,0.087200001,0.087200001,0.087200001,0.087200001,0.087200001,0.0876,0.087200001,0.087200001,0.0876,0.087499999,0.087499999,0.087099999,0.087099999,0.087099999,0.087099999,0.087200001,0.087200001,0.087099999,0.087700002,0.087200001,0.087200001,0.087099999,0.087200001,0.087300003,0.087200001,0.087099999,0.087399997,0.087099999,0.087099999,0.087099999,0.087099999,0.087200001,0.087700002,0.087200001,0.087099999,0.087099999,0.087099999,0.087099999,0.087300003,0.087200001,0.087099999,0.087200001,0.087499999,0.087099999,0.087099999,0.087499999,0.087399997,0.087099999,0.087499999,0.087099999,0.087200001,0.087099999,0.087099999,0.087099999,0.087099999,0.087099999,0.087700002,0.0876,0.087200001,0.087200001,0.087200001,0.087700002,0.087200001,0.087200001,0.087099999,0.087200001,0.087099999,0.087099999,0.087200001,0.087200001,0.087200001,0.087099999,0.0876,0.087399997,0.087200001,0.087200001,0.087099999,0.087200001,0.087099999,0.0876,0.087099999,0.087200001,0.087099999,0.087099999,0.087200001,0.087399997,0.087099999,0.087099999,0.087099999,0.086999997,0.086999997,0.087099999,0.087099999,0.087099999,0.087099999,0.087300003,0.087099999,0.087099999,0.087499999,0.087200001,0.087200001,0.087200001,0.087300003,0.087200001,0.087200001,0.087200001,0.087399997,0.087200001,0.087200001,0.087200001,0.087200001,0.087200001,0.087800004,0.087099999,0.087200001,0.087200001,0.087200001,0.087099999,0.087099999,0.087700002,0.087099999,0.087499999,0.087200001,0.087099999,0.087099999,0.087099999,0.087099999,0.087399997
