Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
Time [s],0,1361.5,2723,4084.5,5446,6807.5,8169,9530.5,10892,12253.5,13615.1,14976.6,16338.1,17699.6,19061.1,20422.6,21784.1,23145.6,24507.1,25868.6,27230.1,28591.6,29953.1,31314.6,32676.1,34037.6,35399.2,36760.7,38122.2,39483.7,40845.2,42206.7,43568.2,44929.7,46291.2,47652.7,49014.2,50375.7,51737.2,53098.7,54460.2,55821.7,57183.2,58544.7,59906.2,61267.7,62629.2,63990.7,65352.2,66713.7,68075.3,69436.8,70798.3,72159.7,73521.3,74882.7,76244.3,77605.8,78967.3,80328.8,81690.3,83051.8,84413.3,85774.8,87136.3,88497.8,89859.3,91220.8,92582.3,93943.8,95305.3,96666.8,98028.3,99389.8,100751.3,102112.8,103474.3,104835.8,106197.3,107558.9,108920.4,110281.9,111643.4,113004.9,114366.4,115727.9,117089.4,118450.9,119812.4,121173.9,122535.4,123896.9,125258.4,126619.9,127981.4,129342.9,130704.4,132065.9,133427.4,134788.9,136150.5,137512,138873.5,140235,141596.5,142958,144319.5,145681,147042.5,148404,149765.5,151127,152488.5,153850,155211.5,156573,157934.5,159296,160657.5,162019.1
Temp. [°C],37.3,37.2,37,37.4,37.2,36.9,37.6,37.5,37,37.5,37.6,36.8,37.4,37.6,36.9,37.4,37.2,37.4,37.7,36.8,37.4,37.7,37,37,37.4,37.7,37.3,36.8,37.1,37.4,37.7,37.7,37.6,37.2,36.8,36.8,37,37.1,37.3,37.5,37.6,37.7,37.6,37.4,37.4,37.3,37.4,37.4,37.4,37.6,37.7,37.7,37.6,37.6,37.6,37.6,37.3,37.1,36.9,36.8,37.4,37.7,37.6,37.4,37.1,36.9,36.8,37.1,37.6,37.7,37.6,37.4,37.1,36.8,37.4,37.6,37.5,37.1,36.8,37.4,37.6,37.3,37,36.9,37.6,37.7,37.3,36.9,37.3,37.7,37.4,36.9,36.9,37.6,37.5,37,37,37.7,37.2,36.9,37.7,37,37.7,37,37.6,37,37.6,36.8,37.4,37.3,37,37.5,37.5,37.1,36.9,36.8,36.8,36.9,36.9,36.8
A1,174,172,172,172,173,175,171,170,172,168,172,173,170,170,173,171,170,173,172,169,169,170,169,172,166,168,171,167,168,169,170,168,167,167,165,164,167,163,166,162,159,163,160,164,163,161,159,160,159,159,160,156,156,156,154,154,153,155,152,152,148,152,150,146,147,147,147,149,150,149,150,149,151,149,147,147,150,153,153,151,152,150,153,155,153,153,156,155,155,156,161,158,159,159,157,162,159,158,160,162,162,164,164,161,159,164,163,166,165,164,165,164,167,166,165,163,164,169,165,167
A2,171,172,173,169,170,171,171,174,173,172,174,170,172,170,171,169,173,170,168,170,173,172,171,174,171,171,171,172,173,171,169,172,169,172,171,171,172,175,174,171,172,171,169,171,170,169,171,171,170,169,171,170,171,167,174,172,169,168,173,170,167,166,167,167,168,168,168,164,163,166,162,167,163,167,164,161,161,163,162,160,161,161,158,160,161,159,158,157,157,157,157,156,157,155,154,154,155,151,152,151,150,151,149,149,152,148,154,150,150,147,146,151,151,151,149,148,152,150,148,149
A3,169,171,171,171,166,170,170,174,169,168,169,170,171,170,170,171,170,171,171,173,168,169,172,173,168,170,170,169,170,167,172,169,170,171,168,170,171,169,171,168,170,165,169,170,169,169,168,167,167,168,169,169,166,168,170,169,165,168,166,166,168,167,168,165,165,165,164,167,170,166,166,164,163,165,163,165,165,162,163,163,160,161,159,165,161,162,159,161,160,159,162,159,160,156,154,156,155,155,156,156,153,154,154,155,151,152,152,152,147,149,151,150,149,149,151,151,148,149,149,148
A4,169,171,173,169,174,172,168,169,172,168,167,171,174,169,168,169,171,171,172,170,172,172,171,170,172,172,170,172,168,171,173,171,167,174,172,170,171,168,170,171,172,171,171,170,170,167,169,170,173,172,169,174,168,171,170,171,169,168,167,166,167,168,167,165,168,169,168,169,165,168,168,166,166,166,166,164,165,166,165,163,160,163,164,163,161,163,161,163,161,159,162,159,159,161,157,156,158,156,155,156,159,153,153,154,152,155,155,152,152,152,151,152,150,153,150,148,152,148,149,148
A5,172,170,174,172,175,172,173,173,174,174,171,173,175,172,174,177,174,175,172,174,172,174,174,172,172,173,172,174,175,170,173,171,173,172,175,174,170,172,172,177,172,173,171,173,172,171,171,172,173,172,171,174,173,171,173,175,171,172,173,168,171,170,170,170,171,172,173,171,171,170,169,168,167,171,168,169,168,170,169,165,166,168,166,170,168,167,165,167,166,168,165,164,163,165,162,160,163,161,163,160,161,161,162,160,158,158,157,160,158,158,156,156,160,156,156,156,155,156,153,153
A6,170,175,171,171,169,171,171,170,172,169,173,173,171,170,171,171,172,172,170,174,171,171,169,174,172,171,171,172,170,172,167,167,171,172,170,172,175,171,169,170,172,170,170,171,169,170,171,171,170,172,168,171,172,166,170,171,171,170,170,170,172,167,169,165,168,169,167,171,169,168,166,166,163,168,165,167,166,167,167,166,167,167,164,165,165,166,163,163,164,162,162,164,164,162,161,162,157,161,162,157,161,158,157,154,157,156,158,157,156,158,157,154,157,154,152,153,152,153,154,151
A7,169,170,171,172,173,170,171,172,169,174,171,170,170,170,171,172,171,174,172,171,172,171,166,171,172,171,171,170,171,170,171,174,171,172,171,170,174,171,172,167,169,170,172,172,172,172,169,170,172,171,172,169,172,171,169,170,170,171,172,172,170,169,170,167,172,170,168,169,168,170,170,169,164,168,169,168,167,164,166,168,167,168,168,166,166,165,166,164,164,164,165,167,165,165,163,165,160,165,161,161,163,162,161,163,156,157,160,160,159,159,159,160,156,157,158,154,156,158,154,155
A8,169,170,172,170,172,171,173,173,171,170,169,168,171,169,171,175,171,172,172,172,173,172,172,174,172,172,171,172,169,172,174,171,172,173,173,175,172,173,172,172,170,173,173,172,171,170,172,172,172,172,172,171,174,173,174,172,173,169,172,171,171,170,173,171,170,171,170,169,168,169,169,170,166,169,167,169,166,169,170,166,169,165,168,163,168,168,166,167,166,166,166,166,163,164,166,165,162,161,165,166,163,162,158,158,161,162,158,161,157,161,160,160,157,158,159,156,155,154,158,155
