Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
Time [s],0,1362,2723.5,4085,5446.5,6808.1,8169.6,9531.1,10892.6,12254.1,13615.6,14977.1,16338.6,17700.1,19061.6,20423.1,21784.6,23146.1,24507.6,25869.1,27230.7,28592.1,29953.7,31315.2,32676.7,34038.2,35399.7,36761.2,38122.7,39484.2,40845.7,42207.2,43568.7,44930.2,46291.7,47653.2,49014.7,50376.2,51737.7,53099.2,54460.7,55822.2,57183.7,58545.2,59906.7,61268.2,62629.7,63991.2,65352.7,66714.3,68075.8,69437.3,70798.8,72160.3,73521.8,74883.3,76244.8,77606.3,78967.8,80329.3,81690.8,83052.3,84413.8,85775.3,87136.8,88498.3,89859.8,91221.3,92582.8,93944.3,95305.8,96667.3,98028.8,99390.3,100751.9,102113.4,103474.9,104836.4,106197.9,107559.4,108920.9,110282.4,111643.9,113005.4,114366.9,115728.4,117089.9,118451.4,119812.9,121174.4,122535.9,123897.4,125258.9,126620.4,127981.9,129343.4,130704.9,132066.4,133427.9,134789.4,136151,137512.5,138874,140235.5,141597,142958.5,144320,145681.5,147043,148404.5,149766,151127.5,152489,153850.5,155212.1,156573.6,157935.1,159296.6,160658.1,162019.6
Temp. [°C],36.8,37.3,37.6,37.1,37.2,37.6,37.2,37,37.7,37.3,37,37.5,37.6,36.8,37.3,37.6,37.2,37.6,36.9,37.5,37.5,36.8,37.3,37.7,37.5,36.8,37.2,37.5,37.7,37.5,36.9,36.8,36.9,37.2,37.3,37.5,37.7,37.7,37.6,37.4,36.9,36.8,36.9,37.1,37.1,37.1,37.1,37.1,37.1,36.9,36.9,36.8,36.9,36.8,36.8,37,37.6,37.7,37.7,37.4,37.1,36.8,37,37.5,37.7,37.6,37.4,37.3,36.9,36.8,37.1,37.5,37.7,37.5,37.1,36.8,37.2,37.7,37.5,37,36.8,37.6,37.6,37.3,36.9,36.8,37.6,37.6,37.2,36.8,37.4,37.7,37.3,36.9,37.2,37.7,37.3,36.8,37.7,37.3,36.8,37.6,36.8,37.7,36.9,37.6,36.8,37.5,37.3,37.2,37.6,36.9,37.2,37.6,37.6,37.5,37.5,37.6,37.7,37.4
A1,0.088,0.087800004,0.088100001,0.088100001,0.087700002,0.087700002,0.087700002,0.088200003,0.087700002,0.087800004,0.087800004,0.087800004,0.087800004,0.087800004,0.087899998,0.087899998,0.087899998,0.087899998,0.087899998,0.087899998,0.087899998,0.087899998,0.087899998,0.087899998,0.088,0.088,0.088100001,0.088100001,0.088200003,0.088100001,0.088100001,0.088299997,0.088100001,0.088600002,0.088200003,0.088600002,0.088100001,0.088399999,0.088200003,0.088200003,0.088100001,0.088200003,0.088200003,0.088200003,0.088299997,0.088200003,0.088200003,0.088200003,0.088200003,0.088299997,0.088299997,0.088399999,0.088299997,0.088299997,0.088399999,0.088299997,0.088500001,0.088299997,0.088299997,0.088299997,0.088500001,0.088299997,0.0889,0.088600002,0.088299997,0.088399999,0.088399999,0.088299997,0.088299997,0.088299997,0.088600002,0.088399999,0.088600002,0.088399999,0.088799998,0.088399999,0.088399999,0.088399999,0.088500001,0.088500001,0.088399999,0.088600002,0.088399999,0.089000002,0.088500001,0.088600002,0.088600002,0.088799998,0.088500001,0.088600002,0.0889,0.088500001,0.089100003,0.088500001,0.088699996,0.088500001,0.089000002,0.088600002,0.088699996,0.089100003,0.088600002,0.088600002,0.088500001,0.089000002,0.089000002,0.088500001,0.088600002,0.088600002,0.088600002,0.088600002,0.088600002,0.088600002,0.088699996,0.088600002,0.088799998,0.089100003,0.088699996,0.088799998,0.088699996,0.089199997
A2,0.092699997,0.088699996,0.088600002,0.088500001,0.088500001,0.093000002,0.088500001,0.091200002,0.095700003,0.093999997,0.088600002,0.0942,0.088799998,0.088500001,0.088600002,0.088600002,0.088600002,0.088600002,0.089199997,0.089699998,0.089199997,0.089400001,0.093599997,0.088600002,0.093400002,0.088600002,0.092,0.095200002,0.0898,0.091799997,0.088699996,0.089599997,0.090599999,0.088799998,0.091799997,0.095799997,0.092799999,0.0942,0.091499999,0.097099997,0.088799998,0.093599997,0.088799998,0.089400001,0.088699996,0.089100003,0.088799998,0.096199997,0.090300001,0.0889,0.091799997,0.0889,0.088799998,0.092299998,0.0889,0.089400001,0.089000002,0.0889,0.089299999,0.0889,0.089000002,0.0889,0.089000002,0.089000002,0.089000002,0.089000002,0.089299999,0.091600001,0.089400001,0.0889,0.089000002,0.089000002,0.089000002,0.089500003,0.092299998,0.089299999,0.093800001,0.089100003,0.089100003,0.088699996,0.089199997,0.088799998,0.088699996,0.088799998,0.088799998,0.088799998,0.088699996,0.088799998,0.0889,0.093599997,0.088799998,0.089199997,0.088699996,0.088799998,0.088799998,0.089299999,0.089000002,0.091300003,0.088799998,0.0889,0.088799998,0.094499998,0.090700001,0.0889,0.088799998,0.095600002,0.089199997,0.089000002,0.0889,0.089299999,0.089000002,0.093800001,0.094899997,0.089299999,0.089000002,0.089000002,0.089000002,0.089000002,0.0898,0.089000002
A3,0.089299999,0.088600002,0.088500001,0.088299997,0.088500001,0.088299997,0.088299997,0.088200003,0.088500001,0.088500001,0.088399999,0.088500001,0.0889,0.088399999,0.088399999,0.088399999,0.088399999,0.088299997,0.088299997,0.088299997,0.088600002,0.088600002,0.088799998,0.088399999,0.088699996,0.088399999,0.088500001,0.088500001,0.088500001,0.088500001,0.088500001,0.088500001,0.088799998,0.088600002,0.088600002,0.088500001,0.089000002,0.088600002,0.0889,0.088500001,0.088600002,0.088799998,0.088500001,0.088500001,0.088699996,0.088600002,0.088500001,0.088600002,0.088799998,0.088699996,0.088600002,0.088699996,0.088600002,0.088600002,0.088699996,0.088600002,0.088600002,0.088500001,0.089100003,0.088799998,0.089100003,0.088600002,0.088699996,0.088699996,0.088699996,0.088600002,0.088699996,0.089100003,0.088699996,0.089100003,0.088699996,0.088699996,0.088699996,0.089299999,0.088699996,0.088699996,0.088699996,0.089100003,0.088699996,0.088799998,0.089299999,0.088799998,0.088799998,0.089299999,0.088799998,0.0889,0.088699996,0.088699996,0.089299999,0.0889,0.088799998,0.0889,0.088799998,0.088799998,0.0889,0.089199997,0.088799998,0.088799998,0.088799998,0.088799998,0.0889,0.089500003,0.0889,0.089000002,0.088799998,0.0889,0.088799998,0.0889,0.088799998,0.089100003,0.089299999,0.089000002,0.089299999,0.089199997,0.089000002,0.0889,0.089000002,0.089000002,0.0889,0.089000002
A4,0.088299997,0.088200003,0.088299997,0.088200003,0.088200003,0.088200003,0.088500001,0.088200003,0.088100001,0.088299997,0.088299997,0.088200003,0.088299997,0.088299997,0.088299997,0.088299997,0.088399999,0.088299997,0.088200003,0.088299997,0.088299997,0.088399999,0.088299997,0.088399999,0.088399999,0.088500001,0.088299997,0.088399999,0.088399999,0.088399999,0.088399999,0.088600002,0.088299997,0.088799998,0.088500001,0.0889,0.088399999,0.088699996,0.088500001,0.088500001,0.088399999,0.088399999,0.088500001,0.088399999,0.088500001,0.088399999,0.088500001,0.088500001,0.088399999,0.088600002,0.088600002,0.088600002,0.088600002,0.088500001,0.088500001,0.088500001,0.089000002,0.088600002,0.088600002,0.088600002,0.089100003,0.088600002,0.088699996,0.088799998,0.088600002,0.088600002,0.0889,0.088600002,0.089199997,0.088600002,0.089000002,0.088699996,0.089000002,0.088699996,0.088699996,0.088699996,0.088600002,0.088699996,0.088699996,0.089400001,0.088699996,0.089000002,0.089299999,0.088699996,0.088699996,0.088699996,0.088699996,0.089100003,0.088799998,0.088799998,0.089000002,0.089000002,0.088699996,0.089100003,0.088799998,0.088799998,0.088799998,0.088699996,0.088699996,0.089100003,0.088799998,0.088799998,0.088699996,0.0889,0.088799998,0.089100003,0.088799998,0.089400001,0.0889,0.088799998,0.0889,0.088799998,0.0889,0.0889,0.089100003,0.089199997,0.0889,0.089100003,0.0889,0.0889
A5,0.0889,0.088699996,0.088799998,0.088699996,0.088699996,0.089199997,0.088699996,0.088699996,0.088699996,0.088699996,0.088699996,0.088799998,0.088699996,0.088699996,0.089199997,0.089199997,0.089100003,0.088699996,0.088699996,0.088699996,0.088699996,0.088699996,0.088799998,0.088699996,0.088799998,0.088799998,0.089100003,0.088799998,0.088799998,0.089299999,0.088799998,0.088699996,0.088600002,0.088799998,0.089100003,0.088799998,0.088799998,0.088799998,0.088799998,0.088799998,0.0889,0.088799998,0.089100003,0.089000002,0.088799998,0.0889,0.0889,0.089199997,0.088799998,0.0889,0.0889,0.0889,0.0889,0.089000002,0.0889,0.0889,0.089500003,0.0889,0.089000002,0.0889,0.089000002,0.0889,0.089299999,0.089000002,0.089500003,0.089000002,0.089000002,0.0889,0.089000002,0.089000002,0.089100003,0.089199997,0.089100003,0.089100003,0.089100003,0.089100003,0.089000002,0.089100003,0.089299999,0.089100003,0.089199997,0.089100003,0.089000002,0.089199997,0.089599997,0.089100003,0.089100003,0.089199997,0.089100003,0.089199997,0.089000002,0.089199997,0.089100003,0.089100003,0.089199997,0.089199997,0.089199997,0.089100003,0.089199997,0.089100003,0.089199997,0.089199997,0.089199997,0.089199997,0.089100003,0.089199997,0.089400001,0.089100003,0.089500003,0.089100003,0.089199997,0.089199997,0.089299999,0.089199997,0.0898,0.089199997,0.089500003,0.089199997,0.089500003,0.089299999
A6,0.088500001,0.088799998,0.088699996,0.088600002,0.0889,0.088600002,0.088600002,0.089100003,0.088600002,0.088699996,0.088699996,0.088799998,0.088799998,0.088600002,0.088799998,0.088699996,0.088799998,0.088699996,0.088699996,0.088799998,0.088699996,0.088699996,0.088699996,0.088699996,0.089199997,0.088699996,0.088699996,0.088699996,0.089000002,0.088799998,0.088799998,0.089199997,0.088799998,0.088799998,0.088799998,0.088799998,0.088799998,0.089100003,0.088799998,0.089199997,0.0889,0.089299999,0.0889,0.0889,0.0889,0.0889,0.089000002,0.0889,0.0889,0.089000002,0.0889,0.089100003,0.089000002,0.089000002,0.089100003,0.089000002,0.0889,0.0889,0.0889,0.0889,0.089000002,0.0889,0.089000002,0.089000002,0.089000002,0.089000002,0.089199997,0.0889,0.089299999,0.089000002,0.089299999,0.089100003,0.089000002,0.089100003,0.089199997,0.089199997,0.089100003,0.089100003,0.089100003,0.089500003,0.089100003,0.089500003,0.089000002,0.089199997,0.089199997,0.089299999,0.089599997,0.089100003,0.089000002,0.089500003,0.089000002,0.089400001,0.089100003,0.089500003,0.089299999,0.089199997,0.089100003,0.089599997,0.089100003,0.089100003,0.089500003,0.089100003,0.089100003,0.089199997,0.089199997,0.089199997,0.089199997,0.089299999,0.089000002,0.089100003,0.089199997,0.089199997,0.089599997,0.089299999,0.089500003,0.0898,0.089400001,0.089900002,0.089199997,0.089299999
A7,0.0889,0.088600002,0.088600002,0.088500001,0.088600002,0.088399999,0.088500001,0.089100003,0.088500001,0.088399999,0.088600002,0.088500001,0.088600002,0.088500001,0.088600002,0.088699996,0.088600002,0.088600002,0.088600002,0.088600002,0.088600002,0.088600002,0.088600002,0.088600002,0.088600002,0.088600002,0.088600002,0.088699996,0.088799998,0.088699996,0.088699996,0.0889,0.088699996,0.088699996,0.088699996,0.088699996,0.088699996,0.089299999,0.088799998,0.089000002,0.088699996,0.088799998,0.088699996,0.088699996,0.088799998,0.088799998,0.089400001,0.088799998,0.088699996,0.088799998,0.088799998,0.089000002,0.088799998,0.0889,0.0889,0.088799998,0.0889,0.088699996,0.0889,0.088699996,0.089500003,0.0889,0.0889,0.088799998,0.088799998,0.088799998,0.089100003,0.088799998,0.089299999,0.088799998,0.0889,0.0889,0.0889,0.089000002,0.089299999,0.0889,0.089000002,0.088799998,0.089000002,0.089000002,0.0889,0.089299999,0.089000002,0.089000002,0.0889,0.089599997,0.089500003,0.089400001,0.089000002,0.089100003,0.089000002,0.089299999,0.089000002,0.089000002,0.089500003,0.089000002,0.089000002,0.089100003,0.089100003,0.089000002,0.089000002,0.089100003,0.0889,0.089000002,0.089000002,0.089400001,0.089000002,0.089000002,0.089000002,0.089100003,0.089299999,0.089100003,0.089100003,0.089199997,0.089400001,0.089100003,0.089199997,0.089400001,0.089100003,0.089199997
A8,0.0889,0.088500001,0.088500001,0.088399999,0.088500001,0.088399999,0.088500001,0.088500001,0.088399999,0.088399999,0.088799998,0.088399999,0.088399999,0.088500001,0.088500001,0.088500001,0.088500001,0.088399999,0.088600002,0.088600002,0.088399999,0.088399999,0.088399999,0.088399999,0.088299997,0.088399999,0.088399999,0.088600002,0.088399999,0.0889,0.088399999,0.088500001,0.088399999,0.088500001,0.088399999,0.088399999,0.088799998,0.088500001,0.088500001,0.088500001,0.088500001,0.088500001,0.088799998,0.088699996,0.088600002,0.0889,0.088399999,0.089100003,0.088500001,0.088600002,0.088600002,0.088600002,0.088699996,0.088600002,0.088600002,0.089299999,0.088500001,0.089100003,0.088600002,0.088600002,0.088600002,0.088500001,0.088699996,0.088699996,0.088699996,0.088500001,0.088600002,0.088600002,0.088600002,0.088600002,0.088600002,0.089199997,0.088699996,0.089400001,0.088699996,0.088799998,0.088699996,0.088699996,0.088699996,0.088600002,0.088799998,0.088699996,0.088799998,0.088600002,0.089100003,0.088699996,0.088600002,0.088699996,0.088600002,0.0889,0.088699996,0.088799998,0.089299999,0.088699996,0.088799998,0.089000002,0.088699996,0.088799998,0.088600002,0.089100003,0.088699996,0.089000002,0.088699996,0.088799998,0.088699996,0.088699996,0.089100003,0.088799998,0.088699996,0.088699996,0.088799998,0.088799998,0.0889,0.088799998,0.088799998,0.089199997,0.089299999,0.0889,0.0889,0.089000002
