Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
Time [s],0,1362,2723.4,4084.8,5446.2,6807.6,8169,9530.4,10891.8,12253.2,13614.6,14976,16337.4,17698.9,19060.3,20421.7,21783.1,23144.4,24505.9,25867.3,27228.7,28590.1,29951.5,31312.9,32674.3,34035.7,35397.1,36758.5,38119.9,39481.3,40842.7,42204.1,43565.5,44927,46288.3,47649.7,49011.1,50372.5,51733.9,53095.4,54456.8,55818.2,57179.6,58541,59902.4,61263.8,62625.2,63986.6,65348,66709.4,68070.8,69432.2,70793.6,72155,73516.4,74877.8,76239.2,77600.7,78962.1,80323.5,81684.9,83046.3,84407.7,85769.1,87130.5,88491.9,89853.3,91214.7,92576.1,93937.5,95298.9,96660.3,98021.7,99383.1,100744.5,102105.9,103467.3,104828.7,106190.1,107551.5,108912.9,110274.3,111635.7,112997.1,114358.5,115719.9,117081.3,118442.7,119804.2,121165.5,122526.9,123888.4,125249.8,126611.2,127972.6,129334,130695.4,132056.8,133418.2,134779.6,136141,137502.4,138863.8,140225.2,141586.6,142948,144309.4,145670.8,147032.2,148393.6,149755,151116.4,152477.8,153839.2,155200.6,156562,157923.4,159284.8,160646.2,162007.6,163369,164730.4,166091.8,167453.2,168814.6,170176,171537.5,172898.8,174260.3,175621.7,176983.1,178344.5,179705.9,181067.3
Temp. [°C],36.8,37,37,37,36.8,37,37.3,37.6,37.6,36.8,37.3,37.7,37,37.3,37.6,37.2,37.7,37.3,37.2,37.4,36.8,37.5,36.9,37.7,37.2,37.7,36.8,37.3,37.7,36.8,37.1,37.5,37.7,37,36.9,37.2,37.5,37.7,37.6,37,36.8,37,37.3,37.5,37.7,37.7,37.6,37.2,36.8,36.8,37,37.1,37.2,37.3,37.5,37.6,37.6,37.7,37.7,37.6,37.6,37.6,37.6,37.6,37.1,36.8,37.2,37.5,37.6,37,37,37.5,37.7,36.8,37.1,37.5,37.7,36.8,37.1,37.4,37.6,37.7,37.6,37.4,36.8,36.8,36.8,36.9,36.9,37.1,37.1,37.2,37.1,37.1,37.1,37.2,37.2,37.2,37.3,37.2,37.3,37.2,37.2,37.2,37.1,37.1,37.1,37.1,37,36.9,36.8,36.8,36.9,37.1,37.4,37.4,37.6,37.7,37.5,37.3,37.1,36.9,36.8,37.1,37.6,37.7,37.6,37.6,37.4,37.1,37,36.8,36.9,37.3
B2,0.089199997,0.089400001,0.089900002,0.089000002,0.089400001,0.089299999,0.0889,0.088799998,0.089100003,0.088799998,0.088799998,0.0889,0.0889,0.089100003,0.089000002,0.089699998,0.089299999,0.089400001,0.089500003,0.089900002,0.090000004,0.0911,0.090999998,0.092,0.092399999,0.093999997,0.0933,0.095399998,0.095600002,0.097099997,0.098399997,0.100299999,0.102899998,0.1061,0.109899998,0.114600003,0.120399997,0.127800003,0.135900006,0.146400005,0.158600003,0.173600003,0.191699997,0.212899998,0.238100007,0.267100006,0.303200006,0.343899995,0.375200003,0.377600014,0.37650001,0.375999987,0.379999995,0.38440001,0.386900008,0.387699991,0.389699996,0.392199993,0.395700008,0.399500012,0.399699986,0.397000015,0.395700008,0.3935,0.392199993,0.390399992,0.389099985,0.387199998,0.386400014,0.384799987,0.383599997,0.382299989,0.381300002,0.380199999,0.379099995,0.378500015,0.377600014,0.377000004,0.375499994,0.374500006,0.373899996,0.373100013,0.372099996,0.371300012,0.370700002,0.370099992,0.369199991,0.368900001,0.367799997,0.367199987,0.367000014,0.366699994,0.365500003,0.364800006,0.364399999,0.364100009,0.363200009,0.363000005,0.362100005,0.361799985,0.361200005,0.360900015,0.360399991,0.359200001,0.359400004,0.358799994,0.358500004,0.358500004,0.357899994,0.357600003,0.35679999,0.356700003,0.356400013,0.35589999,0.355399996,0.354900002,0.354499996,0.353899986,0.353100002,0.352999985,0.351900011,0.352200001,0.351399988,0.350899994,0.350100011,0.349900007,0.34920001,0.34920001,0.347900003,0.3477,0.347000003,0.346399993,0.345699996,0.345600009
B3,0.089299999,0.088500001,0.088399999,0.088299997,0.088399999,0.088399999,0.088200003,0.0889,0.088399999,0.088399999,0.088399999,0.088399999,0.088399999,0.088500001,0.088399999,0.089199997,0.088699996,0.088799998,0.089199997,0.089199997,0.090099998,0.089699998,0.090099998,0.090499997,0.0911,0.091899998,0.093000002,0.093800001,0.094999999,0.095899999,0.097199999,0.098999999,0.101300001,0.104199998,0.107500002,0.112000003,0.117799997,0.1237,0.132100001,0.141399994,0.153300002,0.167400002,0.184699997,0.205300003,0.229000002,0.257299989,0.291799992,0.33160001,0.376700014,0.379700005,0.380299985,0.378600001,0.381399989,0.385500014,0.388099998,0.389999986,0.391499996,0.393599987,0.397300005,0.399800003,0.403800011,0.402399987,0.400700003,0.398799986,0.397399992,0.395500004,0.39410001,0.392100006,0.391099989,0.389400005,0.388300002,0.386900008,0.385899991,0.384600013,0.383599997,0.382499993,0.382800013,0.380499989,0.379999995,0.379000008,0.378199995,0.377400011,0.376199991,0.375699997,0.374900013,0.374300003,0.373199999,0.372799993,0.372299999,0.371499985,0.371399999,0.370799989,0.370000005,0.369599998,0.368800014,0.368900001,0.368400007,0.367799997,0.367000014,0.3671,0.366600007,0.366299987,0.366100013,0.364899993,0.365099996,0.364499986,0.364399999,0.363900006,0.364499986,0.363499999,0.363000005,0.362800002,0.362599999,0.361900002,0.362100005,0.362100005,0.361699998,0.361099988,0.360599995,0.360599995,0.359899998,0.360100001,0.359600008,0.359699994,0.359100014,0.358599991,0.358599991,0.35800001,0.3574,0.3574,0.357199997,0.3565,0.356599987,0.35620001
B4,0.089500003,0.089199997,0.089500003,0.089100003,0.089199997,0.089100003,0.089100003,0.089100003,0.089100003,0.089199997,0.089100003,0.089100003,0.089199997,0.089400001,0.089299999,0.089599997,0.090000004,0.0902,0.089900002,0.090999998,0.090599999,0.0911,0.091499999,0.093199998,0.092699997,0.093900003,0.094899997,0.096299998,0.096900001,0.098700002,0.100599997,0.102799997,0.105899997,0.109700002,0.114100002,0.120300002,0.126599997,0.134900004,0.145199999,0.157700002,0.172700003,0.190699995,0.212300003,0.237499997,0.2676,0.303200006,0.345099986,0.381700009,0.382299989,0.381099999,0.380499989,0.384299994,0.387899995,0.390300006,0.391400009,0.392500013,0.395399988,0.398400009,0.40290001,0.404599994,0.403299987,0.4014,0.400200009,0.398099989,0.397399992,0.394899994,0.393599987,0.391900003,0.390700012,0.389099985,0.387800008,0.386599988,0.385399997,0.384299994,0.383700013,0.382699996,0.381900012,0.380299985,0.379799992,0.378800005,0.378500015,0.377799988,0.377200007,0.37560001,0.37529999,0.3741,0.37349999,0.373100013,0.372000009,0.371800005,0.371600002,0.370799989,0.370400012,0.369899988,0.369700015,0.369100004,0.368200004,0.368099988,0.367900014,0.367700011,0.3671,0.366899997,0.366400003,0.36559999,0.36559999,0.365200013,0.36500001,0.364300013,0.364399999,0.363999993,0.363799989,0.363599986,0.363900006,0.362800002,0.362899989,0.362599999,0.362300009,0.361799985,0.361400008,0.361299992,0.360799998,0.360799998,0.360000014,0.360000014,0.359499991,0.359100014,0.358700007,0.358900011,0.3583,0.35800001,0.357899994,0.35710001,0.3574,0.356700003
B5,0.089500003,0.089400001,0.089100003,0.089100003,0.089199997,0.089199997,0.089199997,0.089199997,0.089100003,0.089199997,0.0898,0.089299999,0.089199997,0.089900002,0.089199997,0.089500003,0.0902,0.089599997,0.090300001,0.089900002,0.090599999,0.090499997,0.091200002,0.092100002,0.093400002,0.093099996,0.093599997,0.094700001,0.096100003,0.097099997,0.098899998,0.100599997,0.103200004,0.106799997,0.110200003,0.115099996,0.120499998,0.127900004,0.136500001,0.147200003,0.160300002,0.176100001,0.194600001,0.217199996,0.243499994,0.274199992,0.312400013,0.354600012,0.382600009,0.382499993,0.381300002,0.3829,0.386299998,0.389499992,0.391000003,0.39230001,0.394899994,0.396800011,0.4005,0.405000001,0.405600011,0.403200001,0.402399987,0.400599986,0.398600012,0.396400005,0.394699991,0.393299997,0.391900003,0.390599996,0.389200002,0.388300002,0.386799991,0.386099994,0.384900004,0.383599997,0.382999986,0.381799996,0.381099999,0.379900008,0.380100012,0.378300011,0.377200007,0.376800001,0.375999987,0.37529999,0.37470001,0.374199986,0.373100013,0.373299986,0.372500002,0.371899992,0.371100008,0.370700002,0.369899988,0.370400012,0.369199991,0.368999988,0.368600011,0.368400007,0.367799997,0.367799997,0.367300004,0.366400003,0.366299987,0.365799993,0.36559999,0.364899993,0.365099996,0.364899993,0.364100009,0.364300013,0.364499986,0.363499999,0.363599986,0.363499999,0.362699986,0.362300009,0.361900002,0.361900002,0.361200005,0.361499995,0.360599995,0.360500008,0.360100001,0.359600008,0.360000014,0.359600008,0.358799994,0.358999997,0.358599991,0.35800001,0.35800001,0.357300013
B6,0.089100003,0.088399999,0.088500001,0.088399999,0.088399999,0.088299997,0.088799998,0.0889,0.088399999,0.088399999,0.088500001,0.088600002,0.089000002,0.088500001,0.089199997,0.089299999,0.0889,0.089000002,0.0898,0.089699998,0.091300003,0.090300001,0.090999998,0.091600001,0.093199998,0.093199998,0.093999997,0.094700001,0.095899999,0.097199999,0.098999999,0.101099998,0.104000002,0.107500002,0.111699998,0.1171,0.123499997,0.131400004,0.141399994,0.152999997,0.167099997,0.184400007,0.204999998,0.230100006,0.259000003,0.292699993,0.333499998,0.378199995,0.381500006,0.381900012,0.379799992,0.383300006,0.387600005,0.389699996,0.391200006,0.392199993,0.395099998,0.397899985,0.402200013,0.405499995,0.403800011,0.402099997,0.400999993,0.398900002,0.397199988,0.395700008,0.394300014,0.392199993,0.391200006,0.389600009,0.388500005,0.387300014,0.386099994,0.384900004,0.384000003,0.382699996,0.382299989,0.380600005,0.380199999,0.379400015,0.378600001,0.377999991,0.376599997,0.376100004,0.375099987,0.37439999,0.373400003,0.37349999,0.372000009,0.371899992,0.371499985,0.370999992,0.370200008,0.370000005,0.368600011,0.368600011,0.368200004,0.368000001,0.367000014,0.367000014,0.366299987,0.36649999,0.365799993,0.365099996,0.365099996,0.364600003,0.364399999,0.363900006,0.364399999,0.363499999,0.363000005,0.363000005,0.363400012,0.362300009,0.362199992,0.361799985,0.361499995,0.361099988,0.361099988,0.361099988,0.359899998,0.360900015,0.359299988,0.359200001,0.358999997,0.358500004,0.358099997,0.358099997,0.357199997,0.357300013,0.35679999,0.356299996,0.3565,0.355699986
B7,0.089699998,0.089199997,0.089199997,0.089400001,0.089199997,0.089100003,0.089199997,0.089199997,0.089299999,0.089299999,0.089599997,0.089500003,0.089599997,0.090400003,0.090700001,0.090999998,0.090800002,0.091399997,0.092299998,0.092799999,0.094099998,0.0955,0.097199999,0.099100001,0.100599997,0.103,0.105099998,0.107600003,0.111100003,0.115599997,0.120999999,0.127599999,0.135399997,0.144999996,0.157299995,0.172099993,0.189199999,0.209600002,0.233199999,0.262199998,0.295899987,0.327600002,0.328200012,0.327399999,0.327300012,0.32949999,0.331999987,0.332899988,0.334300011,0.335999995,0.338099986,0.342099994,0.343400002,0.341600001,0.340000004,0.337799996,0.337000012,0.335299999,0.334100008,0.333200008,0.331099987,0.33039999,0.330000013,0.329600006,0.328099996,0.327499986,0.326299995,0.325399995,0.324900001,0.323900014,0.324000001,0.323300004,0.321500003,0.3213,0.320499986,0.319799989,0.319299996,0.318300009,0.317900002,0.316700011,0.317400008,0.316199988,0.315499991,0.315200001,0.314799994,0.314399987,0.313499987,0.314099997,0.31279999,0.31279999,0.31279999,0.312099993,0.3116,0.311500013,0.310600013,0.310900003,0.310200006,0.309899986,0.309599996,0.309899986,0.309599996,0.309399992,0.309300005,0.308600008,0.308800012,0.308499992,0.308499992,0.308400005,0.308499992,0.308099985,0.307500005,0.307799995,0.307599992,0.306699991,0.306899995,0.306600004,0.306300014,0.306100011,0.305500001,0.305900007,0.305299997,0.305500001,0.304899991,0.304800004,0.304699987,0.30430001,0.304399997,0.304199994,0.303499997,0.303600013,0.30309999,0.303200006,0.30340001,0.30309999
B8,0.090099998,0.090300001,0.089699998,0.0898,0.090000004,0.0898,0.089900002,0.0898,0.089900002,0.089900002,0.090700001,0.090800002,0.090599999,0.090599999,0.090700001,0.0911,0.091399997,0.091899998,0.092699997,0.093500003,0.094400004,0.0955,0.097400002,0.099100001,0.101400003,0.103100002,0.105499998,0.108099997,0.1118,0.1153,0.120099999,0.126699999,0.1338,0.142700002,0.154400006,0.166999996,0.183799997,0.202900007,0.226500005,0.254500002,0.287299991,0.325800002,0.329400003,0.330199987,0.328700006,0.3301,0.333099991,0.334899992,0.335099995,0.336499989,0.33829999,0.341300011,0.344999999,0.343899995,0.342099994,0.340000004,0.339100003,0.337099999,0.336699992,0.334899992,0.333999991,0.332800001,0.332199991,0.33160001,0.33070001,0.32980001,0.328900009,0.328799993,0.329100013,0.328000009,0.326599985,0.326599985,0.325599998,0.325199991,0.324499995,0.323500007,0.324099988,0.322100013,0.322400004,0.321200013,0.321099997,0.3204,0.319400012,0.319499999,0.318800002,0.318399996,0.318100005,0.317799985,0.316900015,0.317200005,0.317400008,0.316000015,0.316100001,0.315699995,0.315299988,0.315200001,0.314799994,0.315100014,0.314799994,0.315200001,0.314599991,0.314500004,0.313600004,0.3125,0.312999994,0.312299997,0.312000006,0.311399996,0.3116,0.311399996,0.311300009,0.311500013,0.310499996,0.310099989,0.310099989,0.309500009,0.309399992,0.309199989,0.308499992,0.308600008,0.307900012,0.307900012,0.307200015,0.307300001,0.307099998,0.307000011,0.306800008,0.306699991,0.306199998,0.306100011,0.305799991,0.305799991,0.305500001,0.305500001
B9,0.089199997,0.089199997,0.089100003,0.0889,0.089100003,0.089100003,0.089000002,0.089100003,0.089100003,0.089199997,0.089400001,0.090099998,0.0898,0.090300001,0.089900002,0.090099998,0.090700001,0.0911,0.091799997,0.092500001,0.093400002,0.094499998,0.096100003,0.097999997,0.100299999,0.101899996,0.104000002,0.107000001,0.109499998,0.113200001,0.118000001,0.123499997,0.130400002,0.138899997,0.149800003,0.161899999,0.177499995,0.195899993,0.217600003,0.244200006,0.275400013,0.312599987,0.327699989,0.329299986,0.327899992,0.328200012,0.331699997,0.332899988,0.334500015,0.335599989,0.337099999,0.34009999,0.344300002,0.343499988,0.341899991,0.3398,0.338699996,0.337199986,0.337500006,0.336100012,0.333700001,0.334199995,0.332500011,0.332199991,0.332199991,0.330500007,0.330199987,0.328000009,0.328900009,0.327499986,0.327399999,0.326400012,0.325700015,0.324499995,0.324600011,0.323599994,0.324299991,0.3213,0.322400004,0.321099997,0.320899993,0.320100009,0.317900002,0.319000006,0.317600012,0.317400008,0.317499995,0.316500008,0.315499991,0.315699995,0.315899998,0.315100014,0.314999998,0.314099997,0.314099997,0.314099997,0.313800007,0.313699991,0.313300014,0.313499987,0.314900011,0.312999994,0.312900007,0.31400001,0.3134,0.311399996,0.312700003,0.310200006,0.31099999,0.31220001,0.310400009,0.310900003,0.309599996,0.308899999,0.310699999,0.310499996,0.310000002,0.308699995,0.308800012,0.307700008,0.308299989,0.307099998,0.306400001,0.308899999,0.308099985,0.305900007,0.305700004,0.305999994,0.306600004,0.307599992,0.305200011,0.306100011,0.307099998,0.307099998
