Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
Time [s],0,1361.4,2722.8,4084.2,5445.6,6807,8168.4,9529.8,10891.2,12252.6,13614,14975.4,16336.9,17698.3,19059.7,20421.1,21782.5,23143.9,24505.3,25866.7,27228.1,28589.5,29950.9,31312.3,32673.7,34035.1,35396.5,36757.9,38119.3,39480.7,40842.1,42203.5,43565,44926.4,46287.8,47649.2,49010.6,50372,51733.4,53094.8,54456.2,55817.6,57179,58540.4,59901.8,61263.2,62624.6,63986,65347.4,66708.8,68070.2,69431.6,70793.1,72154.5,73515.9,74877.3,76238.7,77600.1,78961.5,80322.9,81684.3,83045.7,84407.1,85768.5,87129.9,88491.3,89852.7,91214.1,92575.5,93936.9,95298.3,96659.7,98021.1,99382.5,100743.9,102105.3,103466.7,104828.1,106189.5,107550.9,108912.3,110273.7,111635.1,112996.5,114358,115719.3,117080.7,118442.1,119803.5,121164.9,122526.4,123887.8,125249.2,126610.6,127972,129333.4,130694.8,132056.2,133417.6,134779,136140.4,137501.8,138863.2,140224.6,141586,142947.4,144308.8,145670.2,147031.6,148393,149754.4,151115.8,152477.2,153838.6,155200,156561.4,157922.8,159284.2,160645.6,162007,163368.4,164729.8,166091.2,167452.6,168814,170175.5,171536.9,172898.3,174259.7,175621.1,176982.5,178343.9,179705.3,181066.7
Temp. [°C],37.2,36.9,36.9,36.9,37.2,37.4,37.6,37.6,36.8,37.2,37.7,37.4,37,37.7,36.8,37.6,36.8,37.7,36.9,37.7,37.2,37.7,37.4,36.9,37.6,37.2,37.2,37.6,37.1,37.1,37.5,37.7,37,36.9,37.3,37.6,37.7,37.4,36.8,37,37.2,37.5,37.6,37.7,37.4,37.1,36.8,36.8,37,37.3,37.5,37.5,37.5,37.7,37.7,37.6,37.6,37.5,37.1,37,36.9,37,37.1,36.8,36.9,37.2,37.6,37.7,37.3,37,37.5,37.6,36.8,37.2,37.5,37.7,36.8,37.1,37.5,37.7,37.6,37.3,36.9,36.8,37,37.2,37.2,37.3,37.4,37.5,37.4,37.5,37.5,37.4,37.5,37.5,37.6,37.6,37.5,37.6,37.7,37.6,37.6,37.5,37.5,37.5,37.5,37.5,37.4,37.3,37.2,37,36.9,36.9,36.8,36.8,37.1,37.3,37.6,37.7,37.5,37.3,37.2,36.8,36.8,37,37.4,37.7,37.7,37.5,37.4,37.3,36.9,36.8
B2,167,169,172,170,173,173,171,177,174,177,175,177,174,177,177,179,178,180,180,184,187,192,198,209,212,220,236,245,263,287,313,343,387,433,493,570,661,785,916,1083,1303,1536,1819,2172,2609,3110,3681,4316,4981,5276,5439,5531,5630,5689,5758,5850,5905,5951,6010,5593,5475,5425,5400,5334,5333,5353,5358,5366,5374,5391,5423,5415,5450,5398,5437,5441,5439,5463,5456,5444,5449,5466,5447,5430,5408,5414,5396,5394,5355,5384,5348,5405,5365,5339,5352,5314,5298,5301,5282,5280,5266,5254,5284,5267,5249,5240,5251,5270,5229,5219,5195,5209,5193,5201,5173,5162,5180,5182,5179,5155,5198,5160,5172,5171,5137,5153,5138,5137,5125,5095,5113,5079,5079,5046
B3,166,169,170,172,171,173,171,176,172,174,176,176,174,173,174,174,183,176,182,183,183,187,194,199,209,213,230,240,253,275,298,323,361,410,465,538,619,728,849,1002,1185,1411,1688,2006,2407,2866,3418,4029,4709,5199,5393,5550,5622,5733,5756,5827,5874,5951,6016,5889,5605,5490,5444,5417,5378,5386,5407,5384,5398,5411,5458,5452,5431,5455,5490,5496,5474,5478,5471,5501,5521,5532,5479,5475,5448,5480,5443,5453,5485,5444,5428,5462,5427,5423,5393,5376,5383,5357,5329,5317,5325,5338,5309,5312,5307,5325,5276,5348,5300,5285,5272,5294,5286,5248,5271,5245,5286,5256,5255,5250,5248,5272,5255,5246,5242,5213,5247,5256,5242,5240,5238,5247,5234,5215
B4,170,172,172,175,172,173,174,174,178,175,175,177,177,180,181,181,184,183,181,189,191,194,205,215,218,234,247,259,284,305,340,373,430,478,547,636,746,879,1023,1230,1470,1748,2105,2509,2983,3586,4182,4874,5272,5439,5558,5652,5700,5792,5847,5890,5984,6025,5835,5569,5507,5439,5412,5413,5390,5421,5412,5428,5438,5484,5452,5450,5479,5506,5508,5504,5526,5480,5494,5489,5500,5528,5510,5494,5488,5481,5477,5460,5435,5455,5451,5445,5416,5388,5421,5381,5388,5406,5331,5342,5321,5307,5340,5329,5329,5296,5295,5353,5290,5268,5316,5247,5265,5255,5290,5263,5242,5277,5268,5291,5259,5272,5255,5276,5286,5263,5264,5256,5257,5259,5305,5260,5225,5245
B5,174,171,176,171,174,173,175,179,179,180,181,182,179,184,182,186,181,182,187,188,195,195,200,207,216,224,235,251,266,289,312,346,384,438,488,571,658,773,901,1067,1269,1517,1819,2179,2586,3090,3693,4331,4988,5345,5471,5596,5673,5724,5817,5864,5887,5985,6050,5743,5557,5491,5471,5398,5405,5382,5398,5402,5422,5441,5451,5464,5472,5484,5508,5486,5492,5484,5518,5486,5521,5520,5476,5485,5514,5452,5438,5462,5473,5452,5417,5456,5418,5425,5389,5415,5367,5363,5377,5352,5351,5348,5321,5348,5300,5298,5305,5376,5324,5302,5289,5263,5289,5293,5284,5298,5285,5275,5281,5315,5273,5251,5248,5267,5257,5260,5249,5254,5260,5241,5266,5258,5271,5246
B6,169,171,172,170,171,173,171,172,172,174,175,178,177,178,177,179,179,177,183,186,190,192,197,209,212,224,242,253,272,297,324,355,406,460,522,608,711,835,984,1171,1395,1669,1989,2400,2846,3410,4031,4637,5197,5453,5560,5652,5744,5795,5867,5934,5953,6022,5940,5622,5501,5487,5441,5382,5410,5443,5427,5441,5450,5476,5479,5477,5486,5506,5512,5531,5509,5506,5519,5533,5511,5541,5520,5468,5509,5497,5496,5491,5471,5466,5449,5453,5401,5444,5406,5393,5389,5391,5348,5347,5334,5341,5346,5363,5327,5318,5318,5369,5306,5315,5306,5312,5294,5311,5277,5313,5283,5267,5273,5267,5306,5303,5276,5261,5317,5292,5288,5267,5288,5268,5299,5230,5236,5257
B7,147,148,148,149,151,153,152,154,152,155,153,159,159,159,163,167,171,176,190,198,212,224,243,267,285,312,349,400,456,518,596,696,805,952,1124,1353,1632,1973,2372,2868,3474,4089,4327,4409,4468,4522,4569,4606,4626,4683,4738,4685,4359,4329,4242,4262,4254,4231,4269,4263,4277,4267,4274,4265,4298,4277,4304,4274,4276,4284,4287,4289,4276,4278,4250,4251,4244,4235,4223,4222,4209,4254,4208,4202,4179,4180,4164,4176,4136,4142,4134,4145,4129,4116,4131,4100,4097,4106,4082,4082,4068,4091,4101,4092,4077,4092,4087,4130,4074,4069,4077,4080,4069,4048,4043,4064,4067,4060,4047,4056,4047,4042,4048,4053,4066,4050,4022,4045,4041,4014,4034,4012,4024,4032
B8,150,148,151,152,156,151,153,156,157,157,159,158,160,164,164,168,170,178,189,203,216,226,246,267,296,324,353,391,446,508,590,683,798,931,1082,1278,1535,1851,2229,2690,3241,3822,4257,4338,4402,4490,4512,4533,4593,4653,4677,4730,4422,4331,4256,4211,4237,4206,4255,4245,4230,4252,4268,4251,4261,4291,4278,4260,4269,4253,4254,4266,4233,4240,4240,4216,4237,4216,4230,4227,4201,4220,4184,4182,4176,4174,4160,4146,4147,4154,4153,4162,4124,4125,4132,4126,4116,4123,4110,4117,4128,4090,4093,4085,4095,4083,4058,4133,4055,4061,4037,4035,4041,4039,4049,4010,4031,4030,4030,4034,4038,4053,4020,4022,4010,4014,4020,4030,3994,3999,4030,3974,4005,3969
B9,152,151,153,151,154,156,155,156,160,157,156,160,161,163,166,164,173,176,190,194,210,220,242,262,283,308,335,371,427,488,558,648,745,867,1023,1199,1430,1734,2104,2531,3071,3674,4177,4326,4409,4451,4523,4567,4593,4640,4677,4745,4517,4352,4299,4232,4240,4233,4269,4268,4298,4289,4287,4292,4302,4320,4297,4314,4322,4338,4300,4314,4297,4282,4285,4287,4259,4252,4280,4248,4246,4289,4229,4235,4213,4208,4198,4197,4180,4172,4170,4207,4164,4154,4146,4147,4140,4118,4120,4124,4130,4142,4155,4163,4131,4135,4156,4170,4120,4095,4109,4104,4093,4095,4091,4083,4077,4087,4099,4090,4088,4061,4099,4071,4074,4066,4076,4051,4067,4062,4062,4038,4060,4026
