Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
Time [s],0,1367.7,2734.6,4101.8,5468.6,6835.6,8202.6,9569.6,10936.7,12301.7,13669.5,15036.6,16403.6,17770.9,19137.9,20504.9,21871.9,23239,24605.9,25973.3,27340.4,28707.5,30074.5,31441.6,32808.5,34180.3,35547.4,36914.5,38281.6,39649.7,41016.9,42384,43751.1,45118.3,46485.4,47852.8,49220.8,50588,51955.2,53322.3,54689.6,56056.9,57424.1,58791.5,60158.9,61526.3,62894,64261.2,65629,66996.5,68363.9,69731.3,71098.9,72466.2,73833.8,75201.2,76569,77936.6,79304,80671.3,82038.8,83406.2,84773.8,86141.2,87508.9,88876.3,90244,91611.6,92979,94346.8,95714.5,97082.1,98448.3,99815.9,101183.9,102551.3,103919.1,105287,106654.6,108021.9,109389.6,110757.3,112125,113492.3,114859.9,116227.3,117594.9,118965.7,120333.2,121700.9,123068.2,124435.7,125803.1,127170.9,128542.9,129910.3,131277.9,132645.7,134013.2,135380.7,136748.1
Temp. [°C],37,37.7,37.7,37.3,37.8,37.4,37.2,37.8,37.5,37.1,36.9,37,37.4,37.8,37.2,37.8,37.7,37.2,37.1,36.8,36.9,36.9,37.4,37.6,37.8,37.7,37.3,36.9,37.9,37.4,37.5,37.5,37.8,37,37.4,37.7,37.8,37.8,37.8,37.7,37.5,37.3,36.9,37.8,37.4,37.3,37.5,37.5,37.4,37.8,37.2,37.8,37.2,37.8,37,37.7,37.3,37.2,37.7,37,37.3,37.8,37,37.7,37.8,37.7,37,37.8,37.5,37.5,37.8,36.8,37.6,37,37,37.3,37.8,37.7,37.6,38,37,38,37.7,37.5,37.9,36.9,37.1,37.9,37.8,37.9,38,37.7,37.2,36.9,37.7,36.9,37.5,37.6,37,37.3,37.7
A1,0.0889,0.089199997,0.089699998,0.089100003,0.089199997,0.089199997,0.089199997,0.089100003,0.089199997,0.089199997,0.089199997,0.089199997,0.089199997,0.089199997,0.089199997,0.089299999,0.089199997,0.089199997,0.089199997,0.089299999,0.089299999,0.089299999,0.089299999,0.089299999,0.089400001,0.089299999,0.089299999,0.089299999,0.089299999,0.089299999,0.089400001,0.089299999,0.089400001,0.089400001,0.089500003,0.089500003,0.089500003,0.089500003,0.089400001,0.089599997,0.089500003,0.089599997,0.089500003,0.089699998,0.089599997,0.089699998,0.089599997,0.089699998,0.089699998,0.089699998,0.089699998,0.0898,0.089900002,0.0898,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.090000004,0.089900002,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090099998,0.090099998,0.090099998,0.090099998,0.090099998,0.090099998,0.090099998,0.090099998,0.0902,0.0902,0.090099998,0.0902,0.0902,0.0902,0.092600003,0.091600001,0.093000002,0.0902,0.0902,0.090300001,0.090300001,0.090400003,0.090400003,0.090400003,0.090400003,0.090400003,0.090400003
A2,0.089900002,0.0898,0.089699998,0.089900002,0.089699998,0.089699998,0.089699998,0.0898,0.089699998,0.089699998,0.089699998,0.089599997,0.0898,0.0898,0.0898,0.089900002,0.0898,0.0898,0.0898,0.0898,0.089900002,0.0898,0.0898,0.089900002,0.089900002,0.0898,0.089900002,0.0898,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.090000004,0.090000004,0.090000004,0.090000004,0.089900002,0.090000004,0.089900002,0.090000004,0.090000004,0.090000004,0.090000004,0.090099998,0.090000004,0.0902,0.090099998,0.090099998,0.090099998,0.090099998,0.0902,0.090099998,0.090099998,0.0902,0.090099998,0.090099998,0.0902,0.090099998,0.0902,0.090099998,0.090300001,0.0902,0.090300001,0.0902,0.0902,0.0902,0.0902,0.0902,0.0902,0.090300001,0.090300001,0.090300001,0.090300001,0.090400003,0.090300001,0.090400003,0.090300001,0.090400003,0.090400003,0.090400003,0.090400003,0.090400003,0.090400003,0.090400003,0.090499997,0.090499997,0.090499997,0.090499997,0.090499997,0.090499997,0.090499997,0.090400003,0.090499997,0.090499997,0.090499997,0.090599999,0.090599999,0.090599999,0.090499997
A3,0.089699998,0.0898,0.089900002,0.0898,0.089699998,0.0898,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089699998,0.089599997,0.089699998,0.0898,0.089699998,0.089699998,0.0898,0.089699998,0.089699998,0.089699998,0.0898,0.089699998,0.0898,0.089699998,0.0898,0.089699998,0.089900002,0.0898,0.089900002,0.0898,0.089900002,0.0898,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.090000004,0.089900002,0.090099998,0.090000004,0.090000004,0.090000004,0.090099998,0.090000004,0.090300001,0.090099998,0.0902,0.0902,0.090300001,0.090400003,0.0902,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090400003,0.090400003,0.090400003,0.090499997,0.090499997,0.090400003,0.090400003,0.090400003,0.090400003,0.090400003,0.090499997,0.090400003,0.090300001,0.090400003,0.090400003,0.090400003,0.090300001,0.090400003,0.090300001,0.090400003,0.090400003,0.090499997,0.090400003,0.090400003,0.090400003,0.090499997,0.090300001,0.090400003,0.090300001,0.090499997,0.090499997,0.090400003,0.090499997,0.090499997,0.090300001,0.090499997,0.090400003,0.090499997,0.090499997,0.090599999,0.090499997
A4,0.089900002,0.090000004,0.090099998,0.090000004,0.090000004,0.090099998,0.090099998,0.090099998,0.090099998,0.090099998,0.0902,0.0902,0.0902,0.0902,0.0902,0.0902,0.0902,0.090099998,0.0902,0.0902,0.0902,0.0902,0.0902,0.090099998,0.0902,0.0902,0.0902,0.0902,0.090300001,0.0902,0.0902,0.0902,0.0902,0.0902,0.090300001,0.0902,0.090300001,0.0902,0.0902,0.090300001,0.0902,0.090300001,0.0902,0.0902,0.090300001,0.0902,0.0902,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090400003,0.090400003,0.090400003,0.090300001,0.090400003,0.090400003,0.090400003,0.090400003,0.090400003,0.090499997,0.090400003,0.090499997,0.090400003,0.090400003,0.090499997,0.090499997,0.090499997,0.090599999,0.090599999,0.090599999,0.090599999,0.090599999,0.090599999,0.090599999,0.090599999,0.090599999,0.090599999,0.090700001,0.090599999,0.090700001,0.090599999,0.090599999,0.090599999,0.090700001,0.090800002,0.090599999,0.090700001,0.090599999,0.090700001,0.090599999,0.090700001,0.090700001,0.090700001,0.090700001
A5,0.090099998,0.090300001,0.090300001,0.0902,0.090300001,0.090300001,0.0902,0.090400003,0.090400003,0.090300001,0.090300001,0.0902,0.090400003,0.090400003,0.090400003,0.090400003,0.090400003,0.090400003,0.090400003,0.090400003,0.090499997,0.090300001,0.090499997,0.090400003,0.090499997,0.090400003,0.090400003,0.090400003,0.090499997,0.090400003,0.090400003,0.090400003,0.090499997,0.090400003,0.090499997,0.090499997,0.090499997,0.090499997,0.090499997,0.090499997,0.090400003,0.090599999,0.090400003,0.090499997,0.090499997,0.090700001,0.090599999,0.090499997,0.090599999,0.090599999,0.090599999,0.090599999,0.090599999,0.090700001,0.090700001,0.090700001,0.090599999,0.090599999,0.090700001,0.090700001,0.090599999,0.090700001,0.090700001,0.090800002,0.090800002,0.090800002,0.090800002,0.090800002,0.090899996,0.090700001,0.090800002,0.090899996,0.090800002,0.090899996,0.090899996,0.090899996,0.090899996,0.090899996,0.090899996,0.090899996,0.090899996,0.090899996,0.090899996,0.090899996,0.090999998,0.090899996,0.090899996,0.090899996,0.090899996,0.090899996,0.090899996,0.090999998,0.090899996,0.090800002,0.090899996,0.090999998,0.090899996,0.0911,0.090999998,0.090999998,0.090999998
A6,0.091200002,0.0911,0.0911,0.090999998,0.090999998,0.090999998,0.090999998,0.0911,0.090999998,0.0911,0.0911,0.0911,0.091200002,0.091200002,0.091200002,0.091300003,0.091200002,0.0911,0.091200002,0.091200002,0.091200002,0.091200002,0.091200002,0.091200002,0.091200002,0.091200002,0.091200002,0.0911,0.091200002,0.091200002,0.0911,0.0911,0.091200002,0.0911,0.091300003,0.091300003,0.091200002,0.091200002,0.091300003,0.091200002,0.091200002,0.091300003,0.091200002,0.091200002,0.091200002,0.091300003,0.091300003,0.091300003,0.091200002,0.091300003,0.091200002,0.091200002,0.091300003,0.091300003,0.091300003,0.091300003,0.091200002,0.091200002,0.091300003,0.091300003,0.091300003,0.091300003,0.091399997,0.091300003,0.091399997,0.091399997,0.091399997,0.091399997,0.091499999,0.091399997,0.091399997,0.091499999,0.091399997,0.091499999,0.091600001,0.091600001,0.091499999,0.091600001,0.091600001,0.091600001,0.091600001,0.091600001,0.091600001,0.091700003,0.091600001,0.091700003,0.091700003,0.091499999,0.091700003,0.091600001,0.091600001,0.091700003,0.091600001,0.091700003,0.091600001,0.091700003,0.091600001,0.091700003,0.091600001,0.091700003,0.091700003
A7,0.0889,0.089000002,0.089000002,0.088799998,0.0889,0.0889,0.088799998,0.088799998,0.088799998,0.0889,0.088799998,0.088799998,0.0889,0.088799998,0.0889,0.0889,0.0889,0.0889,0.0889,0.088799998,0.0889,0.088799998,0.0889,0.0889,0.0889,0.0889,0.088799998,0.088799998,0.0889,0.0889,0.088799998,0.088799998,0.088799998,0.0889,0.089000002,0.089000002,0.0889,0.089000002,0.0889,0.089000002,0.0889,0.089000002,0.089000002,0.089000002,0.0889,0.089100003,0.089000002,0.089000002,0.089100003,0.089199997,0.089199997,0.089100003,0.089199997,0.089199997,0.089199997,0.089299999,0.089100003,0.089199997,0.089299999,0.089199997,0.089199997,0.089199997,0.089400001,0.089299999,0.089400001,0.089400001,0.089299999,0.089299999,0.089299999,0.089299999,0.089400001,0.089400001,0.089299999,0.089299999,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089500003,0.089400001,0.089500003,0.089400001,0.089599997,0.089500003
A8,0.089500003,0.089599997,0.089599997,0.089400001,0.089400001,0.089400001,0.089400001,0.089500003,0.089500003,0.089400001,0.089400001,0.089599997,0.089500003,0.089500003,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089500003,0.089599997,0.089500003,0.089599997,0.089599997,0.089599997,0.089599997,0.089500003,0.089599997,0.089500003,0.089599997,0.089500003,0.089599997,0.089599997,0.089599997,0.089599997,0.089699998,0.089599997,0.089599997,0.089699998,0.089599997,0.089599997,0.0898,0.089699998,0.0898,0.0898,0.089699998,0.0898,0.0898,0.089699998,0.0898,0.0898,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.0902,0.090099998,0.090099998,0.090000004,0.090000004,0.090099998,0.090000004,0.090000004,0.090099998,0.090099998,0.090099998,0.090099998,0.090099998,0.090099998,0.0902,0.090099998,0.090099998,0.0902,0.090099998,0.090099998,0.0902,0.090099998,0.090099998,0.0902,0.090099998,0.090099998,0.090099998,0.0902,0.090099998,0.0902,0.0902,0.0902,0.090099998,0.0902,0.0902
