well,interaction,phage
A1,none,none
A2,none,none
A3,none,none
A4,none,none
A5,none,none
A6,none,none
A7,none,none
A8,none,none
A9,none,none
A10,none,none
A11,none,none
A12,none,none
B1,none,none
B2,Emono,none
B3,Emono,none
B4,Emono,none
B5,Emono,none
B6,Emono,none
B7,Emono,none
B8,Emono,P22
B9,Smono,P22
B10,Emono,Phi + P22
B11,Smono,Phi + P22
B12,none,none
C1,none,none
C2,Smono,none
C3,Smono,none
C4,Smono,none
C5,Smono,none
C6,Smono,none
C7,Smono,none
C8,Emono,P22
C9,Smono,P22
C10,Emono,Phi + P22
C11,Smono,Phi + P22
C12,none,none
D1,none,none
D2,none,Phi
D3,none,Phi
D4,none,Phi
D5,none,Phi
D6,none,Phi
D7,none,Phi
D8,Emono,P22
D9,Smono,P22
D10,Emono,Phi + P22
D11,Smono,Phi + P22
D12,none,none
E1,none,none
E2,none,P22
E3,none,P22
E4,none,P22
E5,none,P22
E6,none,P22
E7,none,P22
E8,Emono,P22
E9,Smono,P22
E10,Emono,Phi + P22
E11,Smono,Phi + P22
E12,none,none
F1,none,none
F2,Emono,Phi
F3,Emono,Phi
F4,Emono,Phi
F5,Emono,Phi
F6,Emono,Phi
F7,Emono,Phi
F8,Emono,P22
F9,Smono,P22
F10,Emono,Phi + P22
F11,Smono,Phi + P22
F12,none,none
G1,none,none
G2,Smono,Phi
G3,Smono,Phi
G4,Smono,Phi
G5,Smono,Phi
G6,Smono,Phi
G7,Smono,Phi
G8,Emono,P22
G9,Smono,P22
G10,Emono,Phi + P22
G11,Smono,Phi + P22
G12,none,none
H1,none,none
H2,none,none
H3,none,none
H4,none,none
H5,none,none
H6,none,none
H7,none,none
H8,none,none
H9,none,none
H10,none,none
H11,none,none
H12,none,none
