Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123
Time [s],0,1367.3,2734.1,4100.9,5467.6,6834.4,8201.1,9567.9,10934.9,12304,13670.7,15037.5,16404.2,17771,19137.7,20504.5,21871.3,23238,24604.8,25971.5,27338.2,28705,30071.8,31438.5,32805.3,34172,35543.1,36909.8,38276.6,39643.3,41010.1,42376.8,43743.6,45110.4,46477.2,47843.9,49210.6,50577.4,51944.1,53310.9,54677.7,56044.4,57411.2,58777.9,60144.7,61511.4,62878.2,64245,65611.7,66978.5,68345.2,69712,71078.9,72445.6,73812.3,75179.6,76546.4,77913.1,79279.8,80646.6,82013.3,83380.1,84751.8,86118.6,87485.4,88852.2,90218.9,91585.7,92952.4,94319.1,95685.9,97052.7,98419.4,99786.2,101152.9,102519.7,103886.5,105253.2,106620,107986.7,109353.5,110720.3,112087,113453.7,114820.5,116184.9,117551.6,118918.8,120285.6,121652.3,123019.1,124385.8,125752.6,127119.3,128486.1,129852.8,131219.6,132586.4,133953.2,135319.9,136686.6,138053.4,139420.2,140786.9,142153.6,143520.4,144887.1,146253.8,147620.6,148987.3,150354.1,151720.8,153087.6,154454.9,155821.7,157188.4,158555.2,159921.9,161288.7,162655.5,164022.3,165389.1,166755.8
Temp. [°C],37.5,37.6,37.1,37.6,36.9,36.9,36.8,37.2,37.7,37.2,37.2,37.8,36.8,36.9,37.5,37.7,37.8,37.6,37.2,36.8,37.7,36.8,37.5,37.4,37.4,37.8,37,37.7,36.8,37.5,37.5,37.1,37.7,37.4,37,37.4,37.7,37.7,37.7,37.7,37.6,37.7,37.7,37.7,37.7,37.5,37.1,36.9,37.7,37.3,36.8,37.7,37.2,36.9,36.8,37,37.3,37.7,37.7,36.8,36.9,37,37.2,37.4,37.6,37.8,37.7,36.9,37.5,37.4,37.4,37.4,37.5,37.1,37.5,37.5,37.3,37.7,37.3,37.4,37.5,36.8,37.8,37.3,36.8,37.8,37.6,37,37.1,37.8,37.5,37.3,37,36.9,37.7,37.8,37.6,37.4,37.2,36.9,36.8,36.9,37.3,37.5,37.8,37.8,37.8,37.7,37.6,37.5,37.4,37.3,37,36.9,36.8,36.9,37.4,37.6,37.7,37.6,36.9,37.1,37.4
A1,0.089199997,0.089199997,0.089299999,0.089199997,0.089199997,0.089299999,0.089299999,0.089299999,0.089199997,0.089299999,0.089299999,0.089299999,0.089199997,0.089199997,0.089299999,0.089199997,0.089199997,0.089199997,0.089199997,0.089199997,0.089299999,0.089199997,0.089299999,0.089299999,0.089400001,0.089299999,0.089299999,0.089400001,0.089299999,0.089400001,0.089299999,0.089400001,0.089400001,0.089299999,0.089400001,0.089400001,0.089400001,0.089400001,0.089500003,0.089400001,0.089500003,0.089400001,0.089400001,0.089500003,0.089500003,0.089500003,0.089599997,0.089500003,0.089500003,0.089500003,0.089599997,0.089500003,0.089599997,0.089599997,0.089699998,0.089699998,0.089699998,0.089699998,0.089699998,0.089699998,0.0898,0.0898,0.089699998,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.090000004,0.090000004,0.090000004,0.090000004,0.090099998,0.090099998,0.090000004,0.090099998,0.090000004,0.0902,0.090099998,0.0902,0.090099998,0.0902,0.0902,0.090300001,0.090300001,0.090300001,0.090300001,0.090400003,0.090400003,0.090400003,0.090499997,0.0902,0.089500003,0.0889,0.088200003,0.0876,0.087399997,0.088299997,0.0889,0.089400001,0.089699998,0.090599999,0.091200002,0.092100002,0.092600003,0.092500001,0.092100002,0.091799997,0.091499999,0.091200002,0.090899996,0.090700001,0.090400003,0.090300001,0.0902,0.090099998,0.090000004,0.090000004,0.089900002,0.091700003,0.091899998,0.092
A2,0.090099998,0.090300001,0.0902,0.090099998,0.0902,0.090300001,0.090099998,0.090099998,0.090099998,0.090099998,0.0902,0.090099998,0.0902,0.090099998,0.0902,0.090099998,0.090099998,0.090099998,0.090099998,0.090099998,0.0902,0.090099998,0.0902,0.0902,0.090300001,0.0902,0.0902,0.090099998,0.090300001,0.090300001,0.090099998,0.090300001,0.0902,0.090300001,0.0902,0.0902,0.090300001,0.090400003,0.090400003,0.090300001,0.090400003,0.090400003,0.090499997,0.090400003,0.090499997,0.090400003,0.090300001,0.090300001,0.090300001,0.090800002,0.090499997,0.090400003,0.090300001,0.090400003,0.090599999,0.090499997,0.090800002,0.090400003,0.090499997,0.090400003,0.090499997,0.090599999,0.090400003,0.090499997,0.090400003,0.090400003,0.090400003,0.090599999,0.090499997,0.090700001,0.090700001,0.090599999,0.090599999,0.090800002,0.090599999,0.090800002,0.090700001,0.090599999,0.090800002,0.090800002,0.090700001,0.0911,0.090700001,0.090800002,0.090899996,0.090899996,0.090700001,0.090899996,0.090800002,0.090899996,0.090899996,0.090999998,0.0911,0.090999998,0.090999998,0.090999998,0.090800002,0.0911,0.0911,0.090999998,0.091300003,0.0911,0.0911,0.091200002,0.0911,0.0911,0.091200002,0.090999998,0.091399997,0.091399997,0.091499999,0.091499999,0.091399997,0.091499999,0.091499999,0.091499999,0.091499999,0.091600001,0.091499999,0.091499999,0.091499999,0.091600001,0.091499999
A3,0.0902,0.090099998,0.090099998,0.090000004,0.090000004,0.0902,0.090000004,0.090099998,0.090000004,0.090000004,0.090099998,0.090000004,0.090099998,0.090000004,0.090000004,0.090000004,0.090099998,0.090000004,0.090000004,0.090099998,0.090099998,0.090000004,0.090099998,0.090000004,0.090099998,0.090099998,0.0902,0.090000004,0.0902,0.090099998,0.0902,0.0902,0.0902,0.0902,0.090099998,0.0902,0.0902,0.0902,0.0902,0.0902,0.090099998,0.0902,0.0902,0.090099998,0.090300001,0.090300001,0.090300001,0.0902,0.0902,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.0902,0.090300001,0.090300001,0.090400003,0.0902,0.090400003,0.090300001,0.090300001,0.090300001,0.090499997,0.090499997,0.090499997,0.090499997,0.090300001,0.090300001,0.090300001,0.090499997,0.090400003,0.090499997,0.090499997,0.090499997,0.090599999,0.090499997,0.090599999,0.090599999,0.090700001,0.090700001,0.090599999,0.090499997,0.090599999,0.090599999,0.090599999,0.090700001,0.090700001,0.090800002,0.090700001,0.090700001,0.090800002,0.090599999,0.090800002,0.090899996,0.090700001,0.090800002,0.090700001,0.090700001,0.090800002,0.090899996,0.090800002,0.090700001,0.090700001,0.090899996,0.090899996,0.090999998,0.0911,0.0911,0.090899996,0.090899996,0.090999998,0.090999998,0.091200002,0.091200002,0.090999998,0.0911,0.091200002,0.0911
A4,0.089500003,0.089400001,0.089199997,0.089299999,0.089299999,0.089299999,0.089299999,0.089299999,0.089299999,0.089199997,0.089299999,0.089299999,0.089299999,0.089299999,0.089400001,0.089299999,0.089400001,0.089299999,0.089299999,0.089299999,0.089299999,0.089299999,0.089299999,0.089400001,0.089400001,0.089299999,0.089299999,0.089299999,0.089400001,0.089299999,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089500003,0.089400001,0.089500003,0.089400001,0.089500003,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089500003,0.089400001,0.089500003,0.089500003,0.089500003,0.089599997,0.089599997,0.089500003,0.089400001,0.089599997,0.089500003,0.089400001,0.089500003,0.089500003,0.089599997,0.089500003,0.089599997,0.089599997,0.089599997,0.089699998,0.089699998,0.089599997,0.089599997,0.089699998,0.089599997,0.089599997,0.089599997,0.089699998,0.089699998,0.0898,0.0898,0.0898,0.089699998,0.0898,0.089699998,0.0898,0.089699998,0.089599997,0.0898,0.0898,0.0898,0.0898,0.0898,0.0898,0.0898,0.089900002,0.089900002,0.0898,0.090000004,0.089900002,0.089900002,0.090000004,0.090000004,0.089900002,0.090000004,0.090000004,0.090000004,0.090099998,0.090000004,0.090000004,0.090099998,0.0902,0.090099998,0.0902,0.0902,0.090099998,0.0902,0.090300001,0.090300001,0.090300001,0.090300001,0.090400003,0.090400003,0.090400003
A5,0.092299998,0.092200004,0.092,0.092,0.092,0.092100002,0.092100002,0.092100002,0.092,0.092,0.092,0.092100002,0.092,0.092,0.092100002,0.092,0.092100002,0.092100002,0.092,0.092100002,0.092100002,0.092100002,0.092100002,0.092100002,0.092100002,0.092100002,0.092200004,0.092100002,0.092100002,0.092200004,0.092100002,0.092200004,0.092200004,0.092200004,0.092200004,0.092200004,0.092200004,0.092200004,0.092200004,0.092200004,0.092200004,0.092299998,0.092200004,0.092299998,0.092299998,0.092399999,0.092299998,0.092399999,0.092299998,0.092299998,0.092299998,0.092299998,0.092299998,0.092299998,0.092399999,0.092500001,0.092500001,0.092500001,0.092399999,0.092399999,0.092299998,0.092500001,0.092500001,0.092500001,0.092500001,0.092500001,0.092600003,0.092500001,0.092500001,0.092600003,0.092500001,0.092500001,0.092699997,0.092600003,0.092600003,0.092699997,0.092600003,0.092699997,0.092799999,0.092699997,0.092699997,0.092699997,0.092600003,0.092799999,0.092799999,0.092699997,0.092699997,0.092799999,0.092799999,0.092799999,0.092900001,0.092900001,0.092799999,0.092799999,0.092799999,0.092900001,0.092799999,0.092900001,0.092900001,0.092900001,0.093000002,0.092900001,0.092900001,0.092900001,0.093099996,0.092900001,0.093000002,0.093000002,0.092900001,0.093000002,0.093099996,0.093099996,0.093099996,0.093099996,0.093199998,0.093199998,0.093099996,0.0933,0.093199998,0.093199998,0.0933,0.0933,0.0933
A6,0.089500003,0.089400001,0.089199997,0.089199997,0.089299999,0.089299999,0.089199997,0.089299999,0.089199997,0.089299999,0.089299999,0.089299999,0.089199997,0.089299999,0.089299999,0.089199997,0.089299999,0.089299999,0.089299999,0.089299999,0.089299999,0.089199997,0.089199997,0.089299999,0.089299999,0.089299999,0.089299999,0.089299999,0.089400001,0.089500003,0.089299999,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089500003,0.089400001,0.089400001,0.089500003,0.089500003,0.089400001,0.089400001,0.089500003,0.089500003,0.089500003,0.089400001,0.089500003,0.089500003,0.089400001,0.089500003,0.089599997,0.089500003,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089699998,0.089599997,0.089599997,0.089699998,0.089699998,0.089599997,0.089599997,0.0898,0.089699998,0.089599997,0.089699998,0.0898,0.0898,0.089699998,0.089699998,0.0898,0.0898,0.089900002,0.089900002,0.0898,0.089900002,0.089900002,0.090000004,0.089900002,0.089900002,0.090000004,0.089900002,0.089900002,0.090000004,0.090000004,0.089900002,0.089900002,0.090000004,0.089900002,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090099998,0.0902,0.0902,0.090099998,0.090099998,0.0902,0.0902,0.0902,0.0902,0.090300001,0.090300001,0.0902,0.090300001,0.090300001
A7,0.089299999,0.089100003,0.089000002,0.0889,0.0889,0.089100003,0.089000002,0.089100003,0.089000002,0.089100003,0.089000002,0.089100003,0.089000002,0.089000002,0.089100003,0.089000002,0.089100003,0.089100003,0.089000002,0.089100003,0.089100003,0.089100003,0.089100003,0.089100003,0.089100003,0.089100003,0.089199997,0.089199997,0.089299999,0.089199997,0.089199997,0.089299999,0.089299999,0.089199997,0.089199997,0.089199997,0.089299999,0.089299999,0.089299999,0.089199997,0.089299999,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089299999,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089500003,0.089500003,0.089599997,0.089500003,0.089500003,0.089699998,0.089599997,0.089500003,0.089599997,0.089599997,0.089599997,0.089500003,0.089599997,0.089599997,0.089699998,0.089699998,0.089699998,0.0898,0.089699998,0.089699998,0.089699998,0.0898,0.0898,0.089699998,0.089699998,0.089900002,0.0898,0.089900002,0.0898,0.089900002,0.089900002,0.090000004,0.089900002,0.089900002,0.089900002,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.089900002,0.090099998,0.090000004,0.090000004,0.090099998,0.0902,0.090000004,0.090099998,0.090099998,0.090099998,0.0902,0.0902,0.090099998,0.0902,0.0902,0.0902,0.0902,0.0902,0.0902,0.090300001,0.090300001,0.090400003,0.090300001,0.090400003,0.090400003,0.090400003,0.090499997
A8,0.089400001,0.089199997,0.089100003,0.089000002,0.089000002,0.089100003,0.089199997,0.089100003,0.089100003,0.089100003,0.089100003,0.089199997,0.089100003,0.089100003,0.089199997,0.089100003,0.089299999,0.089199997,0.089199997,0.089299999,0.089199997,0.089299999,0.089199997,0.089199997,0.089299999,0.089299999,0.089299999,0.089299999,0.089299999,0.089299999,0.089299999,0.089400001,0.089400001,0.089299999,0.089299999,0.089400001,0.089500003,0.089299999,0.089400001,0.089400001,0.089500003,0.089400001,0.089400001,0.089500003,0.089400001,0.089400001,0.089500003,0.089500003,0.089500003,0.089500003,0.089400001,0.089400001,0.089500003,0.089500003,0.089599997,0.089599997,0.089599997,0.089699998,0.089699998,0.089599997,0.089500003,0.089599997,0.089699998,0.089599997,0.089699998,0.089699998,0.089599997,0.089699998,0.089699998,0.089699998,0.089699998,0.089599997,0.089599997,0.089599997,0.089699998,0.0898,0.089699998,0.089699998,0.089699998,0.0898,0.0898,0.0898,0.0898,0.0898,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.090000004,0.090000004,0.090000004,0.089900002,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090099998,0.090000004,0.090000004,0.090000004,0.090099998,0.090099998,0.0902,0.090099998,0.090099998,0.090099998,0.0902,0.0902,0.0902,0.090300001,0.0902,0.090300001,0.090300001,0.090300001,0.090300001
