well,interaction,phage
A1,none,none
A2,none,none
A3,none,none
A4,none,none
A5,none,none
A6,none,none
A7,none,none
A8,none,none
A9,none,none
A10,none,none
A11,none,none
A12,none,none
B1,none,none
B2,R1,none
B3,R2,none
B4,R3,none
B5,R4,none
B6,R5,none
B7,none,none
B8,none,none
B9,none,none
B10,none,none
B11,none,none
B12,none,none
C1,none,none
C2,R6,none
C3,R7,none
C4,R8,none
C5,R9,none
C6,R10,none
C7,none,none
C8,none,none
C9,none,none
C10,none,none
C11,none,none
C12,none,none
D1,none,none
D2,R1,Phi
D3,R2,Phi
D4,R3,Phi
D5,R4,Phi
D6,R5,Phi
D7,none,none
D8,none,none
D9,none,none
D10,none,none
D11,none,none
D12,none,none
E1,none,none
E2,R6,Phi
E3,R7,Phi
E4,R8,Phi
E5,R9,Phi
E6,R10,Phi
E7,none,none
E8,none,none
E9,none,none
E10,none,none
E11,none,none
E12,none,none
F1,none,none
F2,R1,P22
F3,R2,P22
F4,R3,P22
F5,R4,P22
F6,R5,P22
F7,none,none
F8,none,none
F9,none,none
F10,none,none
F11,none,none
F12,none,none
G1,none,none
G2,R6,P22
G3,R7,P22
G4,R8,P22
G5,R9,P22
G6,R10,P22
G7,none,none
G8,none,none
G9,none,none
G10,none,none
G11,none,none
G12,none,none
H1,none,none
H2,none,none
H3,none,none
H4,none,none
H5,none,none
H6,none,none
H7,none,none
H8,none,none
H9,none,none
H10,none,none
H11,none,none
H12,none,none
