Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
Time [s],0,1403,2805.4,4207.9,5610.3,7012.7,8415.2,9817.6,11220,12622.5,14024.9,15427.4,16830.3,18232.8,19635.2,21037.7,22440.1,23844.8,25247.2,26649.7,28052.1,29454.6,30857,32259.4,44461.4,45863.9,47266.3,48668.8,50071.2,51474.2,52876.9,54279.4,55681.9,57084.3,58486.8,59889.2,61291.7,62694.1,64096.5,65499,66901.4,68303.9,69706.4,71108.8,72511.2,73913.7,75316.2,76718.6,78121,79523.5,80925.9,82328.5,83730.8,85133.2,86535.7,87938.1,89340.6,90743,92145.4,93547.9,94950.3,96351.3,97753.8,99156.3,100558.7,101961.2,103363.6,104766.1,106168.5,107571,108973.4,110375.9,111778.3,113180.7,114583.2,115985.6,117388,118790.5,120192.9,121595.4,122997.8,124400.3,125802.7,127205.2,128607.6,130010,131412.4,132814.9,134217.3,135619.8,137022.2,138424.6,139827.1,141229.5,142631.9,144034.4,145436.8,146839.2,148241.7,149644.1,151046.5,152449,153851.5,155253.9,156656.3,158058.8,159461.2,160863.7,162266.1,163668.6,165071,166473.5,167875.9,169278.3,170680.8,172083.2,173485.6,174888.2,176299.6,177702,179104.5,180524.6,181927,183327.3,184729.8
Temp. [°C],37.7,37.8,37.6,37.4,36.9,37.8,37.5,37.2,36.9,36.8,37.6,37.8,37.8,37.8,37.7,37.3,37.8,36.9,37.6,37.7,37.5,36.8,37.1,37.4,37.2,36.8,37.1,37.4,37.4,37,37.7,37.5,36.9,37.7,37.3,37.2,37.6,36.8,37.7,36.9,37.7,36.9,37.7,36.8,37.5,37.6,37.1,37.7,36.8,37.5,37.6,36.9,37.5,37.2,37.6,37.1,36.8,37.6,37.8,37.7,37.7,37.6,37,37.6,37.6,37.5,37.7,37.7,37.7,36.9,37.6,37.1,37.5,37.6,37,37.5,37.7,37.3,37.2,37.6,37.7,37.4,37.2,36.8,37.6,37.7,37.7,37.8,37.8,37.7,37.8,37.8,37.4,36.8,37.8,37.2,37.3,37.5,36.8,37.7,36.9,37.8,36.9,37.7,36.9,37.5,37.4,37.2,37.7,36.9,37.6,37.2,37.2,37.7,36.8,37.7,37,37.4,37.7,37.6,37.7,37.6,37.8,36.8,37.4
A1,0.087899998,0.088399999,0.088399999,0.088299997,0.088399999,0.0902,0.088399999,0.088500001,0.088500001,0.088500001,0.088500001,0.088500001,0.088500001,0.088500001,0.088600002,0.088600002,0.088500001,0.088600002,0.088500001,0.088500001,0.088600002,0.088600002,0.088600002,0.088600002,0.089900002,0.088600002,0.088600002,0.088600002,0.088600002,0.088699996,0.088699996,0.088699996,0.088699996,0.088699996,0.088799998,0.088799998,0.088699996,0.088799998,0.088799998,0.088799998,0.088799998,0.088799998,0.088799998,0.0889,0.088799998,0.0889,0.088799998,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.0889,0.089000002,0.089000002,0.089000002,0.089000002,0.089100003,0.089000002,0.089100003,0.089000002,0.089100003,0.089100003,0.089100003,0.089100003,0.089100003,0.089199997,0.089199997,0.089199997,0.089900002,0.089599997,0.089199997,0.089299999,0.089299999,0.090700001,0.089299999,0.089299999,0.089299999,0.089299999,0.089299999,0.089400001,0.089299999,0.089299999,0.089400001,0.089400001,0.089500003,0.091300003,0.089500003,0.090400003,0.089500003,0.089500003,0.089500003,0.089500003,0.089599997,0.089599997,0.089599997,0.089699998,0.089699998,0.089699998,0.089699998,0.0898,0.089699998,0.089599997,0.089100003,0.088500001,0.088100001,0.0876,0.0876,0.087099999,0.089000002,0.087200001,0.0867,0.087099999,0.087899998,0.089000002,0.0898,0.090599999,0.091200002,0.091600001,0.091700003,0.091600001,0.091499999,0.091200002
A2,0.089699998,0.090499997,0.090099998,0.090999998,0.090000004,0.0911,0.090800002,0.090899996,0.090700001,0.0902,0.090099998,0.090099998,0.090099998,0.090099998,0.090099998,0.090099998,0.090000004,0.090400003,0.090400003,0.090099998,0.0902,0.090599999,0.0902,0.090700001,0.0902,0.090300001,0.0902,0.090899996,0.090400003,0.090300001,0.090300001,0.090400003,0.090300001,0.090499997,0.090400003,0.090899996,0.090300001,0.090499997,0.0911,0.090499997,0.090499997,0.091300003,0.090400003,0.090800002,0.090400003,0.090599999,0.090400003,0.090599999,0.090599999,0.0911,0.090499997,0.090700001,0.090599999,0.090499997,0.090599999,0.090599999,0.090599999,0.091200002,0.091399997,0.091399997,0.091200002,0.090599999,0.091300003,0.0911,0.090700001,0.090700001,0.090700001,0.090700001,0.090800002,0.090700001,0.090800002,0.090800002,0.091200002,0.091499999,0.090800002,0.090899996,0.091300003,0.090899996,0.090999998,0.091600001,0.090899996,0.091200002,0.090800002,0.090899996,0.091399997,0.090999998,0.090999998,0.091799997,0.091600001,0.0911,0.090999998,0.091200002,0.090999998,0.0911,0.0911,0.0911,0.091300003,0.091399997,0.091799997,0.091300003,0.0911,0.091200002,0.091300003,0.091200002,0.091200002,0.091200002,0.091399997,0.091300003,0.091399997,0.091399997,0.091300003,0.091600001,0.091300003,0.091399997,0.091300003,0.091700003,0.091499999,0.091399997,0.091899998,0.091200002,0.091300003,0.090999998,0.090300001,0.089500003,0.089599997
A3,0.089900002,0.090000004,0.090000004,0.090000004,0.089900002,0.089900002,0.089900002,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.089900002,0.090000004,0.090000004,0.089900002,0.090000004,0.089900002,0.089900002,0.090099998,0.090000004,0.090000004,0.090000004,0.090099998,0.090000004,0.090000004,0.090099998,0.090099998,0.090099998,0.0902,0.090099998,0.090000004,0.090099998,0.090099998,0.0902,0.090099998,0.090099998,0.090099998,0.090099998,0.090099998,0.090099998,0.090099998,0.0902,0.090099998,0.090099998,0.0902,0.090099998,0.090300001,0.090099998,0.0902,0.0902,0.0902,0.0902,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090400003,0.090300001,0.090400003,0.090300001,0.090400003,0.090400003,0.090400003,0.090400003,0.090400003,0.090400003,0.090599999,0.090499997,0.090499997,0.090499997,0.090499997,0.090400003,0.090400003,0.090499997,0.090400003,0.090599999,0.090499997,0.090599999,0.090499997,0.090499997,0.090499997,0.090499997,0.090700001,0.090599999,0.090599999,0.090700001,0.090700001,0.090599999,0.090700001,0.090700001,0.090599999,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090800002,0.090700001,0.090800002,0.090800002,0.090700001,0.090700001,0.090899996,0.090899996,0.090899996,0.090800002,0.090899996,0.090899996,0.090899996,0.090999998,0.090999998,0.090999998,0.0911,0.0911,0.0911,0.0911,0.091200002,0.0911,0.0911,0.0911,0.091200002,0.091200002
A4,0.091200002,0.091200002,0.091300003,0.091300003,0.091200002,0.091300003,0.091300003,0.091399997,0.091499999,0.091499999,0.091300003,0.091399997,0.091399997,0.091499999,0.091499999,0.091499999,0.091399997,0.091499999,0.091499999,0.091300003,0.091499999,0.091499999,0.091499999,0.091499999,0.091600001,0.091600001,0.091600001,0.091499999,0.091600001,0.091600001,0.091600001,0.091600001,0.091600001,0.091600001,0.091499999,0.091700003,0.091600001,0.091600001,0.091600001,0.091600001,0.091700003,0.091600001,0.091700003,0.091700003,0.091700003,0.091799997,0.091799997,0.091700003,0.091700003,0.091799997,0.091799997,0.091700003,0.091700003,0.091799997,0.091799997,0.091899998,0.091799997,0.091899998,0.091899998,0.091799997,0.091899998,0.091899998,0.091899998,0.091899998,0.091899998,0.091899998,0.091899998,0.091899998,0.091899998,0.092,0.091899998,0.092,0.092,0.091899998,0.091899998,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092,0.092100002,0.092100002,0.092100002,0.092200004,0.092100002,0.092100002,0.092100002,0.092100002,0.092100002,0.092100002,0.092200004,0.092100002,0.092100002,0.092100002,0.092399999,0.092200004,0.092299998,0.092200004,0.092200004,0.092100002,0.092299998,0.092200004,0.092200004,0.092399999,0.092299998,0.092299998,0.092299998,0.092500001,0.092399999,0.092600003,0.092399999,0.092399999,0.092600003,0.092399999,0.092500001,0.092500001,0.092699997,0.092500001,0.092600003,0.092600003
A5,0.089900002,0.090000004,0.090000004,0.090099998,0.090300001,0.090300001,0.090300001,0.090499997,0.090499997,0.090400003,0.090499997,0.090400003,0.090599999,0.090499997,0.090499997,0.090499997,0.090300001,0.090499997,0.090400003,0.090400003,0.090400003,0.090499997,0.090599999,0.090599999,0.090400003,0.090499997,0.090499997,0.090499997,0.090499997,0.090599999,0.090599999,0.090700001,0.090599999,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090599999,0.090700001,0.090599999,0.090700001,0.090700001,0.090700001,0.090700001,0.090800002,0.090800002,0.090800002,0.090800002,0.090700001,0.090800002,0.090800002,0.090800002,0.090800002,0.090899996,0.090800002,0.090899996,0.090800002,0.090899996,0.090899996,0.090899996,0.090999998,0.090899996,0.090899996,0.090999998,0.090899996,0.090999998,0.090999998,0.090899996,0.0911,0.090999998,0.090999998,0.0911,0.090999998,0.090999998,0.091200002,0.0911,0.0911,0.090999998,0.090999998,0.0911,0.090999998,0.0911,0.090999998,0.090999998,0.091200002,0.0911,0.0911,0.091200002,0.091200002,0.0911,0.0911,0.0911,0.0911,0.0911,0.091200002,0.0911,0.0911,0.0911,0.091200002,0.091300003,0.091200002,0.091200002,0.091200002,0.0911,0.0911,0.091300003,0.091200002,0.091200002,0.091200002,0.091300003,0.091200002,0.0911,0.091200002,0.091300003,0.091300003,0.091300003,0.091399997,0.091399997,0.091499999,0.091300003,0.091300003,0.091399997,0.091399997,0.091499999
A6,0.089199997,0.089199997,0.089199997,0.089199997,0.089100003,0.089199997,0.089199997,0.089199997,0.089299999,0.089199997,0.089299999,0.089199997,0.089199997,0.089199997,0.089299999,0.089299999,0.089100003,0.089199997,0.089199997,0.089199997,0.089199997,0.089199997,0.089199997,0.089199997,0.089199997,0.089299999,0.089199997,0.089400001,0.089299999,0.089400001,0.089299999,0.089299999,0.089400001,0.089299999,0.089500003,0.089400001,0.089299999,0.089299999,0.089199997,0.089400001,0.089299999,0.089400001,0.089299999,0.089500003,0.089500003,0.089299999,0.089400001,0.089400001,0.089500003,0.089400001,0.089400001,0.089500003,0.089500003,0.089500003,0.089500003,0.089500003,0.089500003,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089500003,0.089500003,0.089599997,0.089500003,0.089599997,0.089599997,0.089599997,0.089599997,0.089699998,0.089699998,0.089599997,0.089699998,0.089599997,0.0898,0.089699998,0.089699998,0.089599997,0.089699998,0.089599997,0.089699998,0.089699998,0.089599997,0.089699998,0.089699998,0.089599997,0.0898,0.0898,0.0898,0.0898,0.089699998,0.0898,0.089699998,0.0898,0.0898,0.0898,0.0898,0.0898,0.0898,0.0898,0.0898,0.089699998,0.089699998,0.089900002,0.089900002,0.0898,0.0898,0.0898,0.0898,0.0898,0.0898,0.089900002,0.089900002,0.089900002,0.090000004,0.089900002,0.090000004,0.090099998,0.089900002,0.090000004,0.090000004,0.090099998,0.090000004
A7,0.089199997,0.089100003,0.089000002,0.089100003,0.089100003,0.089100003,0.089000002,0.089000002,0.089100003,0.089100003,0.089100003,0.089000002,0.089100003,0.089100003,0.089100003,0.089000002,0.089000002,0.089100003,0.089000002,0.089100003,0.089100003,0.089100003,0.089199997,0.089000002,0.089100003,0.089199997,0.089100003,0.089299999,0.089199997,0.089199997,0.089299999,0.089199997,0.089199997,0.089299999,0.089199997,0.089199997,0.089199997,0.089199997,0.089199997,0.089199997,0.089199997,0.089199997,0.089199997,0.089299999,0.089199997,0.089299999,0.089299999,0.089299999,0.089299999,0.089299999,0.089299999,0.089299999,0.089299999,0.089299999,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089500003,0.089400001,0.089299999,0.089400001,0.089400001,0.089500003,0.089500003,0.089500003,0.089500003,0.089500003,0.089400001,0.089500003,0.089500003,0.089400001,0.089500003,0.089500003,0.089299999,0.089599997,0.089500003,0.089500003,0.089500003,0.089500003,0.089500003,0.089599997,0.089500003,0.089599997,0.089599997,0.089500003,0.089500003,0.089599997,0.089500003,0.089599997,0.089500003,0.089599997,0.089500003,0.089599997,0.089599997,0.089599997,0.089599997,0.089500003,0.089599997,0.089500003,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089699998,0.089699998,0.089699998,0.089699998,0.0898,0.0898,0.0898,0.0898,0.089699998,0.0898,0.0898
A8,0.092,0.091799997,0.091700003,0.092200004,0.092,0.091499999,0.092100002,0.091799997,0.091499999,0.091700003,0.091899998,0.092100002,0.091700003,0.091499999,0.091899998,0.091399997,0.092,0.092200004,0.091499999,0.092100002,0.091700003,0.091799997,0.092100002,0.092,0.091399997,0.092200004,0.092,0.092200004,0.092100002,0.091399997,0.092100002,0.091399997,0.092299998,0.092100002,0.092200004,0.091399997,0.092100002,0.091799997,0.091899998,0.091600001,0.092200004,0.091899998,0.091899998,0.091600001,0.091899998,0.091899998,0.092100002,0.091399997,0.091499999,0.091399997,0.092100002,0.092100002,0.092100002,0.092200004,0.092100002,0.092200004,0.092200004,0.091499999,0.091799997,0.092100002,0.092,0.091899998,0.092200004,0.092100002,0.092100002,0.092100002,0.091600001,0.092200004,0.092200004,0.091899998,0.092200004,0.092100002,0.092100002,0.092,0.092200004,0.092100002,0.092100002,0.092100002,0.092200004,0.092,0.092200004,0.092200004,0.092200004,0.091700003,0.091499999,0.092200004,0.092299998,0.091799997,0.091700003,0.092299998,0.092100002,0.092100002,0.091700003,0.092,0.092200004,0.092200004,0.092200004,0.092200004,0.092299998,0.091600001,0.092200004,0.092299998,0.092,0.091600001,0.092100002,0.092299998,0.092100002,0.091700003,0.091899998,0.091600001,0.092200004,0.091700003,0.092299998,0.092299998,0.092399999,0.092100002,0.092399999,0.092100002,0.091700003,0.092399999,0.092100002,0.092299998,0.092,0.091899998,0.091899998
