well,interaction,phage,media
A1,none,none,none
A2,none,none,none
A3,none,none,none
A4,none,none,none
A5,none,none,none
A6,none,none,none
A7,none,none,none
A8,none,none,none
A9,none,none,none
A10,none,none,none
A11,none,none,none
A12,none,none,none
B1,none,none,none
B2,Smono,none,glucose
B3,Smono,none,glucose
B4,Smono,none,glucose
B5,Smono,none,glucose
B6,Smono,none,glucose
B7,Smono,Phi + P22,glucose
B8,Smono,Phi + P22,glucose
B9,Smono,Phi + P22,glucose
B10,Smono,Phi + P22,glucose
B11,Smono,Phi + P22,glucose
B12,none,none,none
C1,none,none,none
C2,Smono,Phi + P22,glucose
C3,Smono,Phi + P22,glucose
C4,Smono,Phi + P22,glucose
C5,none,none,none
C6,none,none,none
C7,none,none,none
C8,none,none,none
C9,none,none,none
C10,none,none,none
C11,none,none,none
C12,none,none,none
D1,none,none,none
D2,Smono,none,acetate
D3,Smono,none,acetate
D4,Smono,none,acetate
D5,Smono,none,acetate
D6,Smono,none,acetate
D7,Smono,none,acetate
D8,Smono,none,acetate
D9,Smono,none,acetate
D10,Smono,none,acetate
D11,Smono,none,acetate
D12,none,none,none
E1,none,none,none
E2,Smono,Phi,acetate
E3,Smono,Phi,acetate
E4,Smono,Phi,acetate
E5,Smono,Phi,acetate
E6,Smono,Phi,acetate
E7,Smono,Phi,acetate
E8,Smono,Phi,acetate
E9,Smono,Phi,acetate
E10,Smono,Phi,acetate
E11,Smono,Phi,acetate
E12,none,none,none
F1,none,none,none
F2,Smono,P22,acetate
F3,Smono,P22,acetate
F4,Smono,P22,acetate
F5,Smono,P22,acetate
F6,Smono,P22,acetate
F7,Smono,P22,acetate
F8,Smono,P22,acetate
F9,Smono,P22,acetate
F10,Smono,P22,acetate
F11,Smono,P22,acetate
F12,none,none,none
G1,none,none,none
G2,Smono,Phi + P22,acetate
G3,Smono,Phi + P22,acetate
G4,Smono,Phi + P22,acetate
G5,Smono,Phi + P22,acetate
G6,Smono,Phi + P22,acetate
G7,Smono,Phi + P22,acetate
G8,Smono,Phi + P22,acetate
G9,Smono,Phi + P22,acetate
G10,Smono,Phi + P22,acetate
G11,Smono,Phi + P22,acetate
G12,none,none,none
H1,none,none,none
H2,none,none,none
H3,none,none,none
H4,none,none,none
H5,none,none,none
H6,none,none,none
H7,none,none,none
H8,none,none,none
H9,none,none,none
H10,none,none,none
H11,none,none,none
H12,none,none,none
