Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
Time [s],0,1366.8,2733.5,4100.2,5467.8,6836.4,8203.6,9570.3,10937.1,12303.8,13670.6,15037.3,16404,17770.8,19137.5,20504.3,21871,23237.7,24604.5,25971.2,27338,28704.8,30071.5,31438.3,32805,34171.7,35538.5,36905.2,38272,39636.5,41003.2,42370,43736.7,45103.5,46470.2,47836.9,49203.7,50570.4,51937.2,53303.9,54670.7,56039.2,57406.3,58773.1,60139.8,61506.6,62873.4,64240.1,65606.9,66973.6,68340.3,69707.1,71073.8,72440.6,73807.3,75174,76540.7,77907.8,79274.5,80641.2,82008,83374.8,84741.5,86108.2,87474.9,88842.1,90208.8,91575.6,92942.3,94309,95676.3,97043,98409.8,99776.5,101143.3,102510,103876.8,105243.5,106610.3,107977,109343.7,110710.5,112077.3,113444,114810.8,116177.6,117544.3,118911.1,120277.8,121644.6,123011.4,124376,125743.2,127110,128476.7,129843.5,131210.3,132577.1,133943.8,135310.6,136677.4,138044.1,139410.9,140777.6,142144.4,143511.1,144877.9,146244.6,147611.4,148978.1,150344.9,151711.6,153078.4,154445.2,155812,157178.7,158545.5,159912.2,161279,162645.8,164012.5
Temp. [°C],37.6,36.9,37.3,37.7,37.8,37.1,37,37.3,37.9,37.2,37.8,37.3,37.8,37.8,37.8,37,37.8,36.9,37.7,37,37.7,37.4,37.7,37.4,36.9,37.4,37.7,37.7,37.4,36.8,37.7,37.6,36.9,36.8,36.8,37.3,37.7,37.2,37.7,37.2,37.7,36.8,37.5,37.5,37,37.7,36.9,37.4,37.7,37,37.7,36.9,37.4,37.6,37.3,37.7,37.4,37.2,37.6,36.8,36.8,37,37.8,37.2,36.9,37.8,37.4,37.8,37.4,37.1,37.7,37.1,37.1,37.4,37.5,37.7,37.8,36.9,37.4,37.8,36.9,37.2,37.3,37.2,36.9,37.8,37.1,37.4,37.4,37.2,37.4,37.6,36.9,37.4,37.7,37.4,36.8,37,37.5,37.8,36.9,37.4,37.4,37.4,37.3,37,36.9,37.8,37.7,37.2,37,37.7,37.1,37.4,37.5,36.8,37.7,37,37.8,37.3,37.6
A1,177,170,168,164,166,164,163,160,163,164,161,160,159,162,159,163,164,165,162,166,166,167,168,165,169,172,172,170,172,172,173,174,174,175,177,175,176,175,178,175,178,179,177,178,182,178,181,181,177,180,183,180,180,178,179,181,178,181,180,181,182,184,184,187,184,180,183,181,182,185,181,183,185,184,181,183,183,183,183,183,183,185,184,184,182,185,185,183,183,185,185,182,181,185,185,187,186,190,185,189,189,192,194,191,195,196,195,199,196,200,199,198,198,202,197,198,202,200,201,197,197
A2,178,176,174,172,174,170,169,169,169,167,170,164,165,163,165,163,161,163,161,164,163,159,161,159,162,163,157,157,157,160,163,162,162,160,158,164,159,163,164,164,164,164,166,169,169,168,170,169,172,172,169,171,173,176,173,172,172,175,179,177,179,177,181,177,179,182,177,177,180,180,179,180,177,177,179,181,179,183,183,183,183,183,182,181,179,177,180,180,180,180,181,179,183,177,179,178,180,180,179,178,180,181,182,182,182,181,180,184,181,182,181,183,184,183,181,183,184,181,182,182,184
A3,174,170,170,168,167,166,167,167,164,162,165,164,160,157,162,163,160,163,161,157,158,159,158,159,157,157,159,158,158,159,157,158,158,161,161,157,160,161,163,161,165,162,163,161,165,165,164,166,167,169,168,172,169,170,174,171,173,172,172,175,175,177,182,179,178,176,176,175,175,178,178,179,177,178,178,176,179,180,179,183,177,180,179,180,179,178,178,182,177,179,181,178,178,177,181,178,178,179,179,183,178,179,180,179,180,179,176,179,179,177,178,179,178,182,178,181,180,180,178,177,182
A4,176,171,170,169,168,167,169,164,165,163,166,166,164,165,160,163,157,163,161,163,161,162,160,160,162,161,162,160,161,159,159,165,159,163,164,163,164,161,165,163,162,164,165,167,162,169,166,167,171,171,171,170,169,170,172,174,174,174,175,174,177,178,179,180,181,179,182,177,179,181,180,181,184,182,179,180,181,183,184,184,181,184,181,185,183,184,182,183,182,186,178,181,184,183,184,184,184,185,180,182,181,181,181,183,178,182,182,183,182,186,181,183,184,183,185,183,183,185,184,184,185
A5,173,172,170,171,166,170,168,168,167,169,162,166,162,158,159,162,161,160,162,160,161,158,160,154,157,157,156,155,157,157,158,154,153,156,156,155,154,154,155,154,157,155,154,159,156,155,155,155,160,160,162,160,160,162,162,160,164,167,164,168,169,169,170,171,170,174,168,172,171,172,170,170,173,172,174,171,173,174,174,174,176,173,179,174,176,174,175,174,174,173,173,174,174,174,174,172,176,175,175,175,172,172,176,175,174,176,174,178,171,178,176,177,177,175,178,177,177,175,173,174,175
A6,179,174,174,170,171,171,170,170,172,167,168,169,167,167,165,163,163,164,162,162,162,163,164,159,161,160,160,160,159,157,157,158,160,158,155,159,157,156,153,159,159,154,160,160,160,159,160,160,160,164,162,160,165,163,163,163,163,168,168,169,171,172,171,173,176,173,174,174,176,173,176,172,177,174,174,175,177,178,177,178,175,179,177,175,179,179,177,177,176,177,178,175,178,177,176,178,179,178,180,180,180,176,179,179,178,179,179,179,179,181,179,183,179,178,180,181,177,183,180,177,182
A7,169,168,163,161,163,161,163,160,159,163,161,162,158,162,159,158,157,159,158,158,154,160,158,157,157,158,159,157,157,154,154,157,159,157,161,158,158,160,157,159,159,162,160,163,161,164,160,164,163,165,165,166,167,170,167,166,168,170,171,172,170,174,172,174,173,174,173,173,173,175,173,176,179,175,174,178,175,177,176,179,177,176,178,177,178,175,175,179,175,177,177,175,178,179,178,178,176,176,176,177,179,177,177,174,177,177,179,180,176,179,179,177,179,179,176,182,177,179,176,179,179
A8,173,167,163,166,161,163,162,161,164,160,161,163,158,161,160,159,158,156,161,156,157,156,157,157,157,162,155,158,155,159,157,158,158,159,156,162,160,155,162,154,159,165,159,166,165,163,165,162,164,163,167,169,165,165,166,169,171,170,171,169,172,175,175,174,173,176,176,176,175,173,178,177,174,177,176,173,177,176,176,178,178,178,176,177,177,175,180,180,177,178,180,180,173,181,179,177,178,181,182,179,181,182,179,180,177,178,181,182,180,177,179,180,179,179,176,183,179,181,181,180,179
A9,173,172,167,167,167,165,170,167,164,164,162,165,165,162,161,161,163,159,159,159,160,159,157,159,157,156,155,157,158,160,155,158,160,155,156,156,158,159,158,159,158,159,157,160,162,160,159,160,164,163,162,166,164,166,166,165,169,165,166,169,169,170,171,172,174,174,173,172,172,174,175,171,171,177,177,175,176,178,177,171,178,179,176,175,177,179,177,177,176,176,181,176,178,174,181,180,177,180,178,179,177,179,179,179,178,176,181,177,181,180,178,178,180,179,180,181,181,177,180,179,179
A10,176,173,172,172,170,169,169,167,164,168,167,165,164,165,165,163,163,161,160,159,161,161,159,158,159,160,157,157,157,158,160,158,160,158,159,155,156,159,157,158,157,156,159,158,157,160,159,163,158,161,165,164,164,166,165,165,170,166,170,168,170,175,174,174,173,174,173,175,173,173,178,179,176,178,177,175,180,178,178,176,177,175,175,177,176,180,178,181,179,178,178,180,180,180,176,177,182,178,179,179,178,179,178,177,181,180,181,180,182,180,179,179,183,180,178,182,179,177,182,182,180
A11,174,169,165,168,161,164,161,163,163,162,162,160,160,160,158,157,157,157,158,156,158,155,157,158,156,155,158,157,156,157,159,156,160,158,157,160,155,160,163,161,160,164,161,165,163,163,164,163,163,169,164,166,167,170,167,171,170,172,169,172,171,177,173,175,176,177,175,175,174,176,177,176,175,179,178,179,175,176,176,177,179,179,177,178,180,179,177,178,177,177,172,178,176,177,177,180,179,174,177,180,176,178,178,180,176,179,182,178,177,179,179,178,179,178,182,178,180,177,180,178,179
A12,164,165,158,156,157,156,159,156,154,156,154,158,154,150,157,152,155,157,160,158,157,158,160,159,162,163,164,163,159,165,166,167,167,170,167,170,169,168,168,171,170,170,169,176,173,174,173,173,173,173,172,171,172,175,176,174,174,176,177,177,173,178,176,178,176,175,178,177,174,178,176,174,177,174,173,178,179,176,175,178,176,178,174,175,176,177,176,179,174,176,173,177,176,179,176,178,178,178,177,179,177,181,178,176,180,178,178,178,180,179,184,180,182,182,182,185,182,184,185,185,184
B1,177,173,169,169,173,168,168,165,165,165,168,166,163,162,165,165,159,162,161,164,163,161,160,159,160,163,163,160,162,160,159,166,163,165,165,165,164,164,167,165,168,169,169,171,174,171,170,172,172,171,177,175,173,175,173,174,177,178,181,178,180,182,181,180,182,181,183,183,184,181,183,183,182,182,179,182,181,184,185,182,181,185,183,180,180,182,182,181,179,178,184,181,185,182,182,182,181,185,181,182,182,182,183,181,184,182,182,181,182,184,181,186,184,182,182,184,183,186,182,183,184
B2,186,181,180,181,179,179,179,180,177,179,181,178,180,175,181,178,179,179,179,179,177,180,181,180,176,178,177,178,176,176,177,179,178,181,180,177,181,183,181,183,186,190,193,198,200,209,211,220,233,248,271,315,330,359,381,400,414,431,442,456,484,493,498,500,502,504,508,503,507,504,504,509,504,504,503,504,519,504,503,501,500,503,500,502,504,508,504,500,497,506,506,507,501,500,504,504,496,502,502,498,504,501,499,498,497,505,502,504,510,507,511,504,503,504,508,510,504,505,510,509,506
B3,187,181,182,182,182,183,181,180,186,179,182,181,180,177,181,185,180,182,183,183,185,182,185,180,184,184,180,180,183,182,179,184,187,185,181,182,184,183,187,191,191,196,195,202,204,211,213,227,240,251,279,317,340,363,376,394,415,425,440,446,485,499,501,498,500,497,500,496,499,503,504,497,498,500,502,499,506,505,505,499,499,499,494,501,499,504,496,498,507,499,500,502,501,502,497,499,501,502,507,500,500,503,496,497,504,500,509,509,496,504,504,504,508,504,503,512,511,516,510,510,503
B4,186,184,185,181,180,178,183,180,181,181,181,181,183,180,180,178,180,183,182,179,184,184,181,181,177,182,181,180,180,179,181,184,183,184,184,183,184,187,189,187,192,195,197,202,207,216,221,235,248,274,306,327,355,375,391,407,420,439,451,474,494,490,497,501,503,500,504,497,498,500,500,502,497,500,500,501,504,504,502,495,497,503,498,501,497,499,502,501,502,503,502,504,498,505,497,503,497,503,502,501,496,503,503,499,504,507,501,509,510,509,503,509,509,509,508,516,511,508,510,514,504
B5,180,178,178,175,179,176,178,176,176,176,178,176,172,178,179,175,179,176,176,177,176,179,179,178,180,177,178,177,178,176,172,178,179,178,179,179,177,178,182,184,181,190,189,190,195,200,205,213,223,236,248,265,306,336,362,384,408,432,446,453,477,514,520,521,525,528,528,535,533,525,538,534,533,528,534,533,533,528,533,534,534,531,525,538,528,538,531,537,532,536,532,531,529,535,530,540,529,533,528,532,532,534,532,535,535,536,540,541,538,542,536,542,542,540,541,547,545,549,547,548,544
B6,176,175,177,174,175,175,176,173,176,173,172,177,175,174,175,175,177,177,179,179,177,175,176,179,177,176,177,178,178,173,173,176,176,179,175,175,176,176,179,178,183,187,186,195,196,199,208,218,225,241,256,292,330,351,383,410,424,445,464,468,503,525,527,533,531,538,534,534,538,540,537,533,539,540,535,539,542,538,542,540,531,543,539,538,537,540,538,541,541,535,539,543,538,537,534,533,535,537,535,538,537,538,539,539,540,542,544,546,541,547,544,552,551,544,549,550,547,554,549,555,554
B7,188,179,179,180,185,177,183,181,180,181,183,176,184,178,177,180,183,179,179,180,180,178,181,185,184,181,181,182,177,180,184,188,185,185,186,188,184,193,193,198,200,209,214,223,238,255,269,319,349,372,404,424,448,456,479,502,521,538,537,545,543,550,552,558,544,559,558,557,551,556,552,554,555,555,547,557,553,553,553,550,553,551,547,549,544,548,549,555,551,553,560,553,553,563,552,561,557,559,555,559,554,558,561,558,564,562,558,570,566,558,564,554,562,559,555,549,548,542,544,527,531
B8,183,180,179,180,176,179,179,176,177,177,176,176,176,179,176,179,178,177,179,180,178,180,176,177,178,175,178,179,178,180,182,180,182,182,180,184,181,188,184,191,192,193,200,205,213,226,238,252,271,324,348,376,402,426,446,458,478,519,519,530,538,546,546,546,546,549,548,545,540,552,554,547,549,555,546,545,552,549,548,550,543,549,543,538,543,542,547,544,546,542,546,549,548,549,544,548,554,547,545,556,547,551,552,551,554,555,553,559,555,562,558,558,555,556,559,556,553,555,550,545,535
B9,185,178,178,180,179,179,179,175,177,176,178,178,176,178,179,182,177,179,178,175,178,177,175,177,180,179,176,177,179,175,179,180,179,181,182,182,185,188,190,190,194,200,205,210,217,233,251,268,316,350,370,408,423,448,458,479,497,531,538,538,543,543,549,552,553,551,550,551,549,546,555,550,546,553,550,549,553,550,549,544,551,547,548,551,546,542,542,551,550,543,547,550,547,549,546,551,550,551,549,555,556,551,557,558,559,555,557,559,561,567,555,563,561,556,560,566,554,559,553,547,534
B10,181,182,177,177,179,177,179,177,176,179,178,176,177,176,178,180,181,178,177,178,180,178,179,181,176,177,176,178,179,178,180,180,184,184,183,184,183,188,191,193,198,205,212,220,231,249,265,316,347,375,407,425,443,465,481,505,529,549,545,555,550,558,562,563,560,564,565,566,562,562,565,570,565,577,566,568,563,569,575,562,559,565,552,552,548,552,559,562,558,556,556,559,555,554,559,552,558,560,569,560,566,559,568,555,562,567,563,571,568,569,571,573,565,560,564,567,561,562,553,553,541
B11,181,176,171,172,172,169,173,174,173,177,173,170,172,172,171,172,174,174,172,170,174,172,172,175,176,174,176,175,178,179,182,187,190,193,201,208,215,225,249,267,282,295,310,327,328,339,350,354,362,378,381,382,383,387,383,390,386,387,387,387,387,394,389,391,396,395,392,390,389,387,385,382,375,377,375,376,372,372,373,372,368,367,371,369,370,376,372,370,374,372,373,377,373,371,376,378,378,380,380,382,382,382,383,382,384,384,385,392,395,392,389,399,391,393,398,403,396,401,401,399,404
B12,169,167,165,165,168,163,165,162,164,162,163,157,159,158,160,159,157,156,159,157,156,158,155,157,152,151,155,152,154,151,155,156,156,155,155,155,155,156,158,157,156,157,157,158,158,157,155,164,160,161,162,163,161,163,165,164,165,167,167,166,169,169,168,169,171,170,169,173,172,173,171,172,172,174,170,172,174,172,171,175,173,172,174,171,175,173,171,174,174,173,174,174,175,175,174,175,173,176,172,180,176,176,175,176,175,176,176,176,177,173,175,177,177,174,177,176,176,174,175,178,176
