Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
Time [s],0,1367.4,2734,4100.8,5467.5,6837,8204.2,9570.9,10937.6,12304.4,13671.1,15037.9,16404.6,17771.4,19138.1,20504.9,21871.6,23238.3,24605.1,25971.9,27338.6,28705.4,30072.1,31438.8,32805.6,34172.3,35539.1,36905.8,38272.5,39637.1,41003.8,42370.5,43737.3,45104,46470.7,47837.5,49204.2,50571,51937.7,53304.5,54671.2,56039.8,57406.9,58773.7,60140.4,61507.2,62873.9,64240.7,65607.4,66974.2,68340.9,69707.7,71074.4,72441.1,73807.9,75174.6,76541.4,77908.3,79275.1,80641.8,82008.6,83375.4,84742.1,86108.8,87475.5,88842.7,90209.4,91576.2,92942.9,94309.6,95676.9,97043.6,98410.3,99777.1,101143.8,102510.6,103877.4,105244.1,106610.9,107977.6,109344.3,110711.1,112077.8,113444.6,114811.4,116178.1,117544.9,118911.7,120278.4,121645.2,123011.9,124376.6,125743.8,127110.5,128477.3,129844.1,131210.9,132577.6,133944.4,135311.1,136677.9,138044.7,139411.5,140778.2,142144.9,143511.7,144878.5,146245.2,147612,148978.7,150345.4,151712.2,153079,154445.8,155812.6,157179.3,158546,159912.8,161279.5,162646.3,164013.1
Temp. [°C],37,37.3,37.7,37.6,36.9,37.2,37.5,37.8,36.9,37.6,36.9,37.8,37,36.9,37.1,37.6,36.9,37.4,37.4,37.5,36.9,37.8,36.9,37.8,37.3,37.7,37.1,37.1,37.7,37.4,37,37,37.3,37.4,37.4,37.2,36.8,37.7,37,37.7,36.9,37.5,37.5,37.1,37.7,37.1,37.3,37.7,36.9,37.7,37,37.3,37.7,37.1,37.7,37,37.7,37.8,37.6,37.4,37.2,37.5,37.4,37.7,37.3,36.9,37.8,36.9,37.1,37.6,37.7,37.2,37.5,37.8,37.8,37.7,36.9,37.4,37.8,36.8,37.3,37.7,37.7,37.7,37.5,36.9,37.6,37.7,37.7,37.7,37.1,37.4,37.5,37.1,36.9,37.1,37.3,37.6,37.8,36.9,37.5,37.8,37.7,37.7,37.7,37.7,37.3,36.9,37.3,37.7,37.3,36.9,37.7,37.2,37.6,37.4,36.8,37.6,36.8,37.7,37.1
A1,0.088500001,0.088500001,0.088600002,0.088500001,0.088600002,0.0902,0.089299999,0.088699996,0.088699996,0.088699996,0.088799998,0.088799998,0.090400003,0.088799998,0.088799998,0.088699996,0.090499997,0.088799998,0.088799998,0.088799998,0.088799998,0.088799998,0.088799998,0.0889,0.0889,0.089400001,0.088799998,0.090300001,0.0889,0.0889,0.089100003,0.0898,0.090400003,0.0889,0.0889,0.089000002,0.0889,0.0889,0.0889,0.089000002,0.089699998,0.089100003,0.0889,0.089000002,0.0889,0.0889,0.089000002,0.090400003,0.089000002,0.090400003,0.089500003,0.089000002,0.090499997,0.0902,0.089299999,0.089100003,0.089000002,0.090499997,0.090400003,0.090499997,0.089199997,0.089900002,0.090400003,0.089199997,0.090499997,0.090400003,0.089500003,0.089299999,0.089400001,0.089400001,0.090599999,0.089500003,0.089299999,0.090700001,0.089500003,0.0902,0.090700001,0.089900002,0.089400001,0.089500003,0.089500003,0.089500003,0.089500003,0.089500003,0.089599997,0.089599997,0.089500003,0.089599997,0.089599997,0.089599997,0.089599997,0.089699998,0.089699998,0.0898,0.0898,0.089400001,0.088799998,0.088100001,0.087399997,0.088100001,0.086900003,0.087499999,0.087700002,0.0876,0.088100001,0.0889,0.089100003,0.089699998,0.090599999,0.090700001,0.090599999,0.090300001,0.090099998,0.089900002,0.0898,0.089699998,0.089500003,0.089400001,0.089299999,0.089199997,0.089100003
A2,0.091399997,0.091899998,0.092100002,0.091499999,0.091499999,0.091499999,0.091399997,0.091600001,0.091499999,0.091499999,0.091600001,0.091600001,0.091499999,0.091600001,0.091499999,0.091600001,0.091600001,0.091600001,0.091600001,0.091600001,0.091700003,0.091499999,0.091600001,0.091700003,0.091600001,0.091700003,0.091600001,0.091700003,0.091600001,0.091700003,0.091700003,0.091700003,0.091799997,0.091700003,0.091700003,0.091799997,0.091700003,0.091799997,0.091700003,0.091899998,0.091700003,0.091700003,0.091700003,0.091799997,0.091700003,0.091799997,0.091799997,0.091799997,0.091799997,0.091799997,0.091899998,0.091899998,0.092,0.092,0.091899998,0.092,0.091899998,0.091899998,0.092,0.092,0.092,0.092100002,0.092100002,0.092,0.092,0.092,0.092100002,0.091799997,0.092200004,0.092100002,0.092200004,0.092299998,0.092200004,0.092200004,0.092200004,0.092200004,0.092299998,0.092299998,0.092200004,0.092399999,0.092200004,0.092299998,0.092299998,0.092200004,0.092399999,0.092299998,0.092399999,0.092399999,0.092399999,0.092500001,0.092299998,0.092399999,0.092399999,0.092500001,0.092600003,0.092600003,0.092600003,0.092699997,0.092799999,0.092699997,0.092799999,0.092799999,0.092799999,0.092900001,0.092699997,0.092799999,0.092799999,0.092900001,0.092799999,0.092900001,0.092900001,0.092900001,0.092799999,0.092799999,0.093000002,0.093000002,0.093000002,0.093099996,0.093099996,0.093099996,0.093000002
A3,0.089400001,0.089299999,0.089299999,0.089199997,0.089400001,0.089400001,0.089199997,0.089400001,0.089400001,0.089400001,0.089400001,0.089500003,0.089400001,0.089500003,0.089400001,0.089299999,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089400001,0.089599997,0.089500003,0.089400001,0.089400001,0.089400001,0.089400001,0.089500003,0.089500003,0.089500003,0.089599997,0.089500003,0.089500003,0.089500003,0.089500003,0.089500003,0.089500003,0.089699998,0.089400001,0.089599997,0.089500003,0.089599997,0.089500003,0.089599997,0.089500003,0.089500003,0.089500003,0.089599997,0.089599997,0.089599997,0.089699998,0.089699998,0.089599997,0.089599997,0.089500003,0.089599997,0.0898,0.089699998,0.089699998,0.089900002,0.0898,0.089900002,0.089699998,0.089699998,0.089900002,0.089699998,0.089900002,0.089900002,0.089900002,0.089900002,0.0898,0.089900002,0.0898,0.089900002,0.090000004,0.089900002,0.089900002,0.090000004,0.090000004,0.090000004,0.090000004,0.089900002,0.090099998,0.090000004,0.089900002,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090099998,0.090099998,0.0902,0.0902,0.0902,0.090300001,0.0902,0.0902,0.0902,0.0902,0.0902,0.0902,0.0902,0.0902,0.0902,0.090300001,0.090300001,0.090400003,0.090300001,0.090300001,0.090300001,0.090400003,0.090400003,0.090499997,0.090300001,0.090499997,0.090499997,0.090400003,0.090400003
A4,0.089599997,0.089500003,0.089500003,0.089500003,0.089599997,0.089500003,0.089400001,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089699998,0.089599997,0.089599997,0.089699998,0.089699998,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089500003,0.089699998,0.089599997,0.089599997,0.089699998,0.089599997,0.089599997,0.089599997,0.0898,0.089599997,0.089699998,0.089599997,0.089699998,0.089599997,0.089699998,0.089599997,0.089699998,0.089699998,0.0898,0.089699998,0.089699998,0.089699998,0.089699998,0.0898,0.0898,0.089699998,0.0898,0.089900002,0.0898,0.0898,0.0898,0.0898,0.0898,0.0898,0.0898,0.089900002,0.0898,0.089900002,0.089900002,0.0898,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.090000004,0.089900002,0.090000004,0.089900002,0.090000004,0.090099998,0.090000004,0.089900002,0.090000004,0.090000004,0.090000004,0.090000004,0.090099998,0.090099998,0.090099998,0.090099998,0.0902,0.0902,0.090099998,0.0902,0.090099998,0.090099998,0.090099998,0.0902,0.0902,0.0902,0.0902,0.0902,0.0902,0.090300001,0.0902,0.090300001,0.090300001,0.0902,0.090300001,0.090300001,0.090300001,0.090300001,0.0902,0.090400003,0.090300001,0.090400003
A5,0.090000004,0.089900002,0.089900002,0.0898,0.090000004,0.090000004,0.0898,0.090000004,0.090000004,0.090000004,0.090099998,0.090000004,0.090099998,0.090099998,0.090099998,0.090099998,0.090099998,0.090099998,0.090099998,0.090099998,0.0902,0.090099998,0.090099998,0.0902,0.090099998,0.090099998,0.090000004,0.090000004,0.090099998,0.090099998,0.090099998,0.090099998,0.0902,0.090099998,0.090099998,0.090099998,0.0902,0.0902,0.090099998,0.0902,0.0902,0.090099998,0.0902,0.0902,0.090099998,0.0902,0.0902,0.0902,0.0902,0.0902,0.0902,0.0902,0.090300001,0.090300001,0.0902,0.0902,0.090300001,0.090300001,0.090400003,0.090400003,0.090300001,0.090400003,0.090400003,0.090400003,0.090300001,0.090400003,0.090499997,0.090300001,0.090400003,0.090400003,0.090499997,0.090499997,0.090499997,0.090499997,0.090499997,0.090499997,0.090499997,0.090499997,0.090499997,0.090599999,0.090499997,0.090599999,0.090400003,0.090499997,0.090599999,0.090499997,0.090499997,0.090599999,0.090499997,0.090499997,0.090499997,0.090499997,0.090599999,0.090499997,0.090599999,0.090499997,0.090599999,0.090599999,0.090700001,0.090700001,0.090700001,0.090599999,0.090599999,0.090700001,0.090800002,0.090700001,0.090700001,0.090800002,0.090700001,0.090700001,0.090700001,0.090899996,0.090700001,0.090700001,0.090800002,0.090899996,0.090800002,0.090899996,0.090800002,0.090800002,0.090899996
A6,0.096799999,0.097199999,0.097400002,0.097400002,0.0977,0.0977,0.097400002,0.097599998,0.0977,0.097800002,0.097599998,0.097900003,0.097800002,0.097800002,0.097599998,0.097800002,0.0977,0.0977,0.0977,0.0977,0.0977,0.0977,0.0977,0.097900003,0.0977,0.097599998,0.097499996,0.097499996,0.097800002,0.0977,0.0977,0.0977,0.097800002,0.097999997,0.097800002,0.097999997,0.097900003,0.098099999,0.097800002,0.098099999,0.097800002,0.097999997,0.097900003,0.097999997,0.097800002,0.097900003,0.097900003,0.097900003,0.098099999,0.097900003,0.097999997,0.098099999,0.097999997,0.098099999,0.097900003,0.097900003,0.098099999,0.098300003,0.098300003,0.098300003,0.098300003,0.098399997,0.098399997,0.098499998,0.098300003,0.098300003,0.098399997,0.098300003,0.098499998,0.098399997,0.098499998,0.098499998,0.098499998,0.098399997,0.098499998,0.098499998,0.0986,0.0986,0.0986,0.098499998,0.098499998,0.0986,0.0986,0.098499998,0.098700002,0.098399997,0.098899998,0.098700002,0.098700002,0.098800004,0.098499998,0.098499998,0.098700002,0.098700002,0.098700002,0.0986,0.098499998,0.098899998,0.099100001,0.098800004,0.098999999,0.098800004,0.098800004,0.098700002,0.098899998,0.098800004,0.098700002,0.098800004,0.098700002,0.098999999,0.098999999,0.099100001,0.098899998,0.098899998,0.099100001,0.099100001,0.098999999,0.099299997,0.099100001,0.099200003,0.099299997
A7,0.090899996,0.090800002,0.090800002,0.090700001,0.090800002,0.090899996,0.090700001,0.090899996,0.090800002,0.090800002,0.090899996,0.090800002,0.090800002,0.090899996,0.090899996,0.090800002,0.090800002,0.090899996,0.090899996,0.090899996,0.090899996,0.090899996,0.090899996,0.090999998,0.090899996,0.090800002,0.090899996,0.090800002,0.090899996,0.090800002,0.090800002,0.090899996,0.090999998,0.090899996,0.090899996,0.090899996,0.090999998,0.090999998,0.090899996,0.090899996,0.090899996,0.090899996,0.090899996,0.0911,0.090800002,0.090999998,0.090999998,0.090999998,0.090999998,0.0911,0.090899996,0.090899996,0.090999998,0.090999998,0.090999998,0.090999998,0.090999998,0.0911,0.090999998,0.0911,0.0911,0.091300003,0.091200002,0.091200002,0.0911,0.091200002,0.0911,0.0911,0.091200002,0.091300003,0.090999998,0.091300003,0.091200002,0.091200002,0.091200002,0.091200002,0.091300003,0.091300003,0.091300003,0.091300003,0.091200002,0.091399997,0.091200002,0.091300003,0.091300003,0.091300003,0.091300003,0.091300003,0.091300003,0.091300003,0.091200002,0.091300003,0.091300003,0.091200002,0.091399997,0.091399997,0.091300003,0.091300003,0.091399997,0.091399997,0.091300003,0.091300003,0.091300003,0.091399997,0.091399997,0.091399997,0.091399997,0.091499999,0.091499999,0.091399997,0.091499999,0.091499999,0.091399997,0.091499999,0.091499999,0.091499999,0.091499999,0.091499999,0.091499999,0.091600001,0.091499999
A8,0.089500003,0.089500003,0.089500003,0.089400001,0.089500003,0.089500003,0.089500003,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089699998,0.089599997,0.089599997,0.089699998,0.089699998,0.089699998,0.0898,0.089699998,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089699998,0.089699998,0.089599997,0.0898,0.089599997,0.089500003,0.089500003,0.089699998,0.089699998,0.089599997,0.089599997,0.089699998,0.089500003,0.089699998,0.089699998,0.089500003,0.089599997,0.089699998,0.089599997,0.089699998,0.089699998,0.089699998,0.089699998,0.089699998,0.089699998,0.0898,0.0898,0.089699998,0.0898,0.0898,0.0898,0.0898,0.0898,0.0898,0.089699998,0.0898,0.090000004,0.0898,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.090000004,0.089900002,0.089900002,0.089900002,0.090000004,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.090000004,0.090000004,0.090000004,0.090000004,0.090099998,0.090000004,0.090000004,0.0902,0.090099998,0.090099998,0.090099998,0.090000004,0.090000004,0.090099998,0.0902,0.090099998,0.090000004,0.090099998,0.0902,0.090099998,0.0902,0.0902,0.090099998,0.090099998,0.0902,0.090099998,0.0902,0.090099998,0.090300001,0.0902,0.090300001
