Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
Time [s],0,1367.4,2733.9,4100.4,5466.9,6833.3,8199.7,9566.2,10932.6,12299.1,13665.5,15032,16398.4,17764.9,19131.4,20497.8,21864.3,23230.8,24594.8,25961.3,27327.7,28694.2,30060.7,31427.1,32793.6,34160,35526.5,36892.9,38259.4,39625.9,40992.3,42358.8,43725.3,45091.8,46458.2,47824.7,49191.2,50557.6,51924.1,53290.5,54657,56023.5,57389.9,58756.4,60122.8,61489.2,62855.7,64222.7,65589.1,66955.6,68322,69688.5,71055,72421.4,73788.1,75154.6,76521,77932.6,79299,80665.5,82032.4,83398.8,84765.3,86131.8,87498.3,88864.7,90231.3,91597.8,92964.3,94330.7,95697.2,97063.7,98430.1,99796.6,101163.1,102529.6,103896.1,105262.5,106629,107995.5,109362,110726.2,112092.7,113459.1,114825.6,116192.1,117558.6,118925.1,120291.5,121658,123024.4,124390.9,125757.4,127123.9,128490.4,129856.9,131223.4,132589.8,133956.3,135322.8,136689.3,138055.7,139422.7,140789.2,142155.6,143522.1,144888.5,146255,147621.5,148987.9,150354.5,151720.9,153087.4,154453.9,155820.4,157186.9,158553.3,159919.8,161286.3,162652.8,164019.3,165384.4,166750.8,168117.3,169484.4
Temp. [°C],37,37.2,37.8,37.2,37,37.3,37.6,37.7,37.7,36.8,37.2,37.7,37.7,37.2,37,37.6,37.2,37.2,37.8,37.4,37.1,37.6,36.8,37.6,37.6,36.8,37.3,37.5,37.7,37.8,37.7,37.6,37.3,37.6,37.7,37.7,37.6,37.3,36.8,37.6,37.6,37.1,37.1,37.7,37.3,36.8,37.7,37.6,37.5,37.4,37.5,37.7,37.6,36.8,37.2,37.7,37.6,36.8,37.4,37.7,36.8,37.3,37.8,36.9,37.6,36.9,37.7,37,37.8,37.6,37.4,37.2,36.8,37.8,37.4,36.9,37.7,37.5,36.8,37.7,36.8,37.6,37.3,37,37.5,37.7,37,36.9,37,37,37,36.9,36.8,37.1,37.7,37.7,37.4,37,37.1,37.7,37.7,37.2,36.9,37.7,37.1,37.6,37.4,36.8,37.7,36.9,37.7,37.1,37.7,37.4,37,37.1,37.7,37.6,37.3,37.1,37.2,37.4,37.7,37.7,36.8
A1,0.089400001,0.089500003,0.089500003,0.089400001,0.089500003,0.089400001,0.089500003,0.089500003,0.089500003,0.089500003,0.089599997,0.089500003,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089699998,0.089699998,0.0898,0.0898,0.0898,0.0898,0.089900002,0.089900002,0.0898,0.0898,0.089900002,0.090000004,0.089900002,0.089900002,0.090000004,0.090000004,0.089900002,0.089900002,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090099998,0.090000004,0.090099998,0.090099998,0.0902,0.0902,0.090300001,0.090400003,0.090499997,0.090499997,0.090599999,0.090599999,0.090599999,0.090499997,0.090599999,0.090599999,0.090599999,0.090599999,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090800002,0.090899996,0.090800002,0.090999998,0.090999998,0.090899996,0.090999998,0.090999998,0.090999998,0.090999998,0.0911,0.0911,0.091200002,0.091200002,0.091200002,0.091200002,0.091300003,0.091300003,0.0911,0.090400003,0.089699998,0.0889,0.088100001,0.087700002,0.089000002,0.089400001,0.090000004,0.0898,0.090700001,0.091300003,0.092,0.092200004,0.092,0.091700003,0.091399997,0.0911,0.090899996,0.090700001,0.090300001,0.089900002,0.089500003,0.089199997,0.0889,0.089599997,0.089599997,0.089599997,0.089699998,0.089699998,0.089699998,0.089699998,0.089699998,0.089699998,0.089699998,0.089699998,0.0898,0.0898,0.0898,0.089699998,0.0898,0.0898,0.0898,0.0898
A2,0.090300001,0.090300001,0.0902,0.0902,0.090300001,0.0902,0.0902,0.0902,0.090300001,0.090400003,0.090300001,0.090400003,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090400003,0.090400003,0.090400003,0.090400003,0.090400003,0.090400003,0.090499997,0.090499997,0.090400003,0.090400003,0.090400003,0.090499997,0.090599999,0.090599999,0.090599999,0.090700001,0.090599999,0.090599999,0.090700001,0.090700001,0.090700001,0.090700001,0.090599999,0.090599999,0.090800002,0.090599999,0.090700001,0.090800002,0.090700001,0.090899996,0.090899996,0.090800002,0.090800002,0.090800002,0.090999998,0.091600001,0.090899996,0.090899996,0.090899996,0.090999998,0.0911,0.090899996,0.090899996,0.0911,0.0911,0.0911,0.091200002,0.091200002,0.0911,0.091200002,0.091300003,0.091300003,0.091399997,0.091399997,0.091300003,0.091499999,0.091399997,0.091499999,0.092299998,0.091600001,0.091499999,0.091600001,0.091600001,0.091600001,0.092,0.091799997,0.091799997,0.091799997,0.091899998,0.091899998,0.091899998,0.091899998,0.091899998,0.092100002,0.092200004,0.092100002,0.092,0.092100002,0.092200004,0.092100002,0.092100002,0.091899998,0.091200002,0.090599999,0.089699998,0.088799998,0.089100003,0.089400001,0.089699998,0.090300001,0.090800002,0.091600001,0.092200004,0.092799999,0.092900001,0.092699997,0.092399999,0.092200004,0.091799997,0.091700003,0.091499999,0.090899996,0.090499997,0.090000004,0.089500003,0.088600002,0.088600002,0.089000002
A3,0.091200002,0.091200002,0.091200002,0.0911,0.090999998,0.0911,0.090999998,0.0911,0.090999998,0.091200002,0.090999998,0.0911,0.091200002,0.0911,0.091200002,0.0911,0.091200002,0.091300003,0.091300003,0.091300003,0.091200002,0.091300003,0.091200002,0.091200002,0.091300003,0.091300003,0.091200002,0.091300003,0.091300003,0.091300003,0.091399997,0.091399997,0.091399997,0.091300003,0.091399997,0.091499999,0.091499999,0.091499999,0.091399997,0.091499999,0.091499999,0.091499999,0.091499999,0.091499999,0.091499999,0.091499999,0.091700003,0.091600001,0.091600001,0.091600001,0.091700003,0.091799997,0.091700003,0.091700003,0.091799997,0.091799997,0.091799997,0.091799997,0.091799997,0.091799997,0.091899998,0.091899998,0.091899998,0.091899998,0.091899998,0.091899998,0.092,0.092,0.091899998,0.092,0.092100002,0.092200004,0.092100002,0.092100002,0.092100002,0.092200004,0.092299998,0.092200004,0.092200004,0.092299998,0.092200004,0.092200004,0.092299998,0.092299998,0.092299998,0.092299998,0.092299998,0.092399999,0.092500001,0.092399999,0.092500001,0.092600003,0.092500001,0.092600003,0.092600003,0.092699997,0.092699997,0.092799999,0.092900001,0.092900001,0.093000002,0.093000002,0.092900001,0.092900001,0.092699997,0.092900001,0.093000002,0.092900001,0.092799999,0.092699997,0.092,0.091499999,0.090800002,0.0902,0.089599997,0.090400003,0.090599999,0.090700001,0.0911,0.091499999,0.092100002,0.0933,0.093199998,0.093699999,0.093999997
A4,0.090999998,0.090800002,0.090800002,0.090800002,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090800002,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090800002,0.090700001,0.090700001,0.090700001,0.090800002,0.090700001,0.090800002,0.090800002,0.090800002,0.090800002,0.090899996,0.090800002,0.090800002,0.090899996,0.090899996,0.090899996,0.090899996,0.090899996,0.090899996,0.090899996,0.090899996,0.090899996,0.090999998,0.090800002,0.090899996,0.090899996,0.090999998,0.090999998,0.090999998,0.0911,0.0911,0.090999998,0.090999998,0.090999998,0.091200002,0.0911,0.0911,0.091200002,0.091200002,0.0911,0.091200002,0.091200002,0.091300003,0.091300003,0.091399997,0.091300003,0.091300003,0.091399997,0.091399997,0.091300003,0.091399997,0.091399997,0.091499999,0.091499999,0.091600001,0.091600001,0.091499999,0.091600001,0.091499999,0.091600001,0.091499999,0.091700003,0.091600001,0.091499999,0.091600001,0.091600001,0.091799997,0.091700003,0.091700003,0.091799997,0.091799997,0.091799997,0.091799997,0.091899998,0.091899998,0.091899998,0.092,0.092,0.092,0.092,0.092100002,0.092200004,0.092100002,0.092200004,0.092299998,0.092299998,0.092200004,0.092299998,0.092299998,0.092299998,0.092299998,0.092299998,0.092399999,0.092399999,0.092399999,0.092,0.091399997,0.090999998,0.090400003,0.090000004,0.089400001,0.090099998,0.090099998
A5,0.090400003,0.090400003,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090400003,0.090300001,0.090400003,0.090300001,0.090400003,0.090300001,0.090300001,0.090400003,0.090400003,0.090400003,0.090499997,0.090400003,0.090499997,0.090400003,0.090400003,0.090499997,0.090400003,0.090400003,0.090400003,0.090499997,0.090400003,0.090499997,0.090400003,0.090400003,0.090499997,0.090499997,0.090400003,0.090400003,0.090499997,0.090499997,0.090499997,0.090400003,0.090599999,0.090499997,0.090700001,0.090599999,0.090499997,0.090599999,0.090700001,0.090599999,0.090700001,0.090800002,0.090700001,0.090700001,0.090800002,0.090700001,0.090700001,0.090800002,0.090700001,0.090800002,0.090800002,0.090800002,0.090800002,0.090800002,0.090800002,0.090800002,0.090899996,0.090999998,0.090899996,0.090999998,0.090999998,0.090899996,0.090999998,0.090999998,0.090999998,0.090999998,0.0911,0.090999998,0.0911,0.091200002,0.0911,0.0911,0.0911,0.090999998,0.0911,0.0911,0.091200002,0.0911,0.0911,0.091200002,0.091300003,0.091200002,0.0911,0.0911,0.091200002,0.091300003,0.091200002,0.091300003,0.091399997,0.091399997,0.091399997,0.091499999,0.091399997,0.091600001,0.091499999,0.091600001,0.091499999,0.091600001,0.091600001,0.091700003,0.091700003,0.091600001,0.091700003,0.091700003,0.091700003,0.091700003,0.091799997,0.091799997,0.091799997,0.091799997,0.091799997,0.091899998,0.091899998,0.091799997,0.091399997,0.090700001,0.0902,0.089900002
A6,0.089900002,0.090000004,0.0898,0.0898,0.0898,0.0898,0.0898,0.089900002,0.0898,0.0898,0.0898,0.089900002,0.0898,0.0898,0.0898,0.0898,0.089900002,0.089900002,0.089900002,0.089900002,0.0898,0.089900002,0.089900002,0.0898,0.0898,0.0898,0.0898,0.0898,0.089900002,0.089900002,0.089900002,0.089900002,0.090000004,0.089900002,0.089900002,0.089900002,0.089900002,0.090000004,0.090000004,0.090000004,0.090000004,0.090099998,0.089900002,0.089900002,0.090000004,0.090000004,0.090099998,0.090000004,0.090099998,0.090099998,0.090000004,0.090000004,0.090099998,0.0902,0.090099998,0.090099998,0.0902,0.090099998,0.0902,0.0902,0.0902,0.0902,0.0902,0.090300001,0.090300001,0.090300001,0.090499997,0.090400003,0.090400003,0.090400003,0.090400003,0.090499997,0.090599999,0.090499997,0.090499997,0.090499997,0.090499997,0.090400003,0.090599999,0.090599999,0.090599999,0.090499997,0.090599999,0.090599999,0.090599999,0.090599999,0.090599999,0.090599999,0.090599999,0.090599999,0.090599999,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090800002,0.090800002,0.090800002,0.090999998,0.090999998,0.090999998,0.090899996,0.090899996,0.090899996,0.0911,0.090999998,0.090999998,0.0911,0.0911,0.0911,0.091200002,0.091300003,0.091300003,0.091200002,0.091300003,0.091200002,0.091300003,0.091200002,0.091300003,0.091300003,0.091300003,0.091300003,0.091399997
A7,0.089299999,0.089400001,0.089199997,0.089199997,0.089100003,0.089100003,0.089199997,0.089199997,0.089199997,0.089100003,0.089100003,0.089199997,0.089199997,0.089100003,0.089199997,0.089199997,0.089199997,0.089199997,0.089199997,0.089299999,0.089299999,0.089299999,0.089299999,0.089199997,0.089299999,0.089199997,0.089199997,0.089299999,0.089299999,0.089299999,0.089299999,0.089299999,0.089299999,0.089299999,0.089199997,0.089299999,0.089299999,0.089299999,0.089299999,0.089299999,0.089299999,0.089400001,0.089299999,0.089299999,0.089500003,0.089400001,0.089500003,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089699998,0.089699998,0.089599997,0.089699998,0.089599997,0.089699998,0.089699998,0.089699998,0.089699998,0.089699998,0.0898,0.0898,0.089699998,0.0898,0.089699998,0.089699998,0.0898,0.0898,0.0898,0.089900002,0.0898,0.0898,0.0898,0.089900002,0.0898,0.089900002,0.089900002,0.089900002,0.089900002,0.0898,0.090000004,0.089900002,0.090000004,0.089900002,0.089900002,0.090000004,0.090000004,0.090000004,0.089900002,0.090000004,0.090000004,0.090000004,0.090099998,0.090099998,0.090099998,0.090099998,0.0902,0.0902,0.090099998,0.090099998,0.0902,0.090099998,0.0902,0.0902,0.090099998,0.090300001,0.090300001,0.090300001,0.090300001,0.090400003,0.090400003,0.090400003,0.090499997,0.090499997,0.090599999,0.090700001,0.090499997,0.090599999,0.090700001
A8,0.090499997,0.090700001,0.090599999,0.090400003,0.090499997,0.090400003,0.090499997,0.090499997,0.090499997,0.090599999,0.090499997,0.090499997,0.090599999,0.090499997,0.090499997,0.090599999,0.090599999,0.090599999,0.090599999,0.090599999,0.090700001,0.090700001,0.090800002,0.090599999,0.090700001,0.090700001,0.090599999,0.090700001,0.090599999,0.090700001,0.090599999,0.090700001,0.090700001,0.090700001,0.090700001,0.090599999,0.090899996,0.090800002,0.090700001,0.090700001,0.090700001,0.090800002,0.090700001,0.090800002,0.090899996,0.090800002,0.090899996,0.090899996,0.090999998,0.090999998,0.090999998,0.090999998,0.090999998,0.0911,0.0911,0.0911,0.091200002,0.0911,0.090999998,0.0911,0.0911,0.0911,0.0911,0.0911,0.0911,0.091200002,0.091200002,0.091300003,0.091200002,0.091200002,0.091200002,0.091300003,0.091200002,0.091200002,0.091200002,0.091200002,0.091200002,0.091200002,0.091200002,0.091300003,0.091200002,0.091200002,0.091200002,0.091300003,0.091200002,0.091200002,0.091399997,0.091300003,0.091300003,0.091300003,0.091399997,0.091399997,0.091399997,0.091300003,0.091300003,0.091300003,0.091300003,0.091499999,0.091399997,0.091499999,0.091499999,0.091399997,0.091499999,0.091399997,0.091399997,0.091399997,0.091600001,0.091499999,0.091499999,0.091600001,0.091499999,0.091700003,0.091600001,0.091700003,0.091600001,0.091600001,0.091700003,0.091700003,0.091899998,0.091899998,0.091899998,0.092,0.091799997,0.091899998,0.092
