Cycle Nr.,1,2,3
Time [s],0,222.3,443.8
Temp. [°C],37,37.3,37.1
A1,0.0928,0.0927,0.0927
A2,0.0882,0.0882,0.0882
A3,0.088,0.0878,0.0879
A4,0.0867,0.0866,0.0867
A5,0.0893,0.0892,0.0893
A6,0.0868,0.0867,0.0867
A7,0.0873,0.0873,0.0873
A8,0.0873,0.0871,0.0872
A9,0.0877,0.0876,0.0876
A10,0.0872,0.087,0.087
A11,0.0868,0.0866,0.0867
A12,0.0861,0.086,0.086
B1,0.087,0.0867,0.0868
B2,0.4342,0.4007,0.4011
B3,0.5491,0.4054,0.4065
B4,0.5234,0.3826,0.3947
B5,0.5133,0.3732,0.3894
B6,0.532,0.376,0.389
B7,0.4094,0.228,0.2293
B8,0.408,0.2189,0.2209
B9,0.4189,0.2267,0.228
B10,0.5735,0.4117,0.4129
B11,0.234,0.0879,0.088
B12,0.0882,0.0881,0.0881
C1,0.0864,0.0861,0.0862
C2,0.5587,0.4025,0.4052
C3,0.5638,0.3921,0.366
C4,0.527,0.4178,0.3571
C5,0.491,0.3781,0.29
C6,0.4986,0.3768,0.2912
C7,0.5015,0.3684,0.2902
C8,0.4826,0.362,0.2904
C9,0.4477,0.306,0.2424
C10,0.3844,0.2303,0.1902
C11,0.2636,0.0882,0.0879
C12,0.0883,0.088,0.088
D1,0.0878,0.0876,0.0876
D2,0.3889,0.2183,0.2185
D3,0.3772,0.2683,0.2153
D4,0.35,0.2223,0.131
D5,0.357,0.2613,0.1343
D6,0.3649,0.2564,0.1436
D7,0.3497,0.2336,0.1461
D8,0.4511,0.3375,0.2547
D9,0.4691,0.342,0.2746
D10,0.4686,0.339,0.2695
D11,0.2731,0.0912,0.0912
D12,0.0897,0.0896,0.0895
E1,0.0863,0.0861,0.0861
E2,0.4195,0.2513,0.2515
E3,0.4789,0.3671,0.3115
E4,0.4759,0.3807,0.2991
E5,0.4759,0.3944,0.2954
E6,0.5311,0.4172,0.3103
E7,0.5138,0.3855,0.2933
E8,0.5035,0.3755,0.2974
E9,0.5069,0.3788,0.3025
E10,0.5041,0.3673,0.3062
E11,0.2588,0.0929,0.093
E12,0.0865,0.0861,0.0861
F1,0.0868,0.0863,0.0864
F2,0.2562,0.089,0.089
F3,0.2582,0.1084,0.0873
F4,0.2711,0.1436,0.089
F5,0.3121,0.1815,0.0904
F6,0.4968,0.374,0.2916
F7,0.4402,0.3084,0.2446
F8,0.4642,0.329,0.2741
F9,0.4872,0.3516,0.2951
F10,0.3301,0.1839,0.1489
F11,0.2724,0.1172,0.1173
F12,0.0868,0.0863,0.0863
G1,0.087,0.0867,0.0867
G2,0.4947,0.3281,0.3276
G3,0.2757,0.0984,0.0985
G4,0.506,0.3269,0.3271
G5,0.4325,0.2464,0.244
G6,0.4134,0.2304,0.2293
G7,0.4113,0.2348,0.2336
G8,0.4192,0.2406,0.2403
G9,0.2581,0.0086,0.0887
G10,0.2505,0.0895,0.0906
G11,0.223,0.0882,0.0882
G12,0.0866,0.0859,0.086
H1,0.0891,0.0886,0.0886
H2,0.0877,0.0872,0.0873
H3,0.0888,0.0883,0.0883
H4,0.088,0.0875,0.0875
H5,0.0871,0.0867,0.0868
H6,0.0877,0.0871,0.0872
H7,0.0864,0.086,0.086
H8,0.0875,0.0871,0.0872
H9,0.0874,0.087,0.0871
H10,0.0873,0.0868,0.087
H11,0.088,0.0875,0.0876
H12,0.0885,0.0881,0.0881
