Cycle Nr.,1,2,3
Time [s],0,221.5,442.9
Temp. [°C],37.1,37.1,36.9
A1,202,183,186
A2,117,106,111
A3,112,106,104
A4,114,105,106
A5,107,101,98
A6,109,100,101
A7,109,100,101
A8,101,94,95
A9,100,96,97
A10,104,97,99
A11,109,101,100
A12,105,98,100
B1,119,110,110
B2,3964,3941,3943
B3,3628,3678,3675
B4,2087,2404,2479
B5,1959,2389,2466
B6,1900,2348,2406
B7,485,596,607
B8,452,577,585
B9,491,613,628
B10,3096,3742,3738
B11,102,96,96
B12,105,98,100
C1,108,99,99
C2,3077,3570,3576
C3,124,146,146
C4,121,147,146
C5,1675,2955,2968
C6,1671,2965,2993
C7,1710,2988,2994
C8,1741,2991,2988
C9,1585,2742,2779
C10,1545,2506,2519
C11,101,100,100
C12,103,97,99
D1,104,98,95
D2,2033,2615,2625
D3,1651,2640,2661
D4,202,301,303
D5,266,429,469
D6,188,301,306
D7,206,317,315
D8,1554,2754,2799
D9,1564,2746,2770
D10,1563,2692,2707
D11,177,209,206
D12,102,96,95
E1,103,94,96
E2,2079,2702,2703
E3,1482,2384,2410
E4,1370,2289,2332
E5,1558,2647,2688
E6,1492,2831,2837
E7,112,150,147
E8,116,148,150
E9,117,149,147
E10,120,147,149
E11,216,255,259
E12,106,99,99
F1,106,92,97
F2,97,98,101
F3,94,96,96
F4,92,99,105
F5,86,99,97
F6,1263,2183,2201
F7,1237,2083,2071
F8,1330,2113,2142
F9,1397,687,2230
F10,421,404,761
F11,345,97,413
F12,106,97,101
G1,104,87,87
G2,2828,3246,3280
G3,421,514,524
G4,2414,3200,3218
G5,124,143,143
G6,138,154,156
G7,127,137,137
G8,126,140,136
G9,94,92,99
G10,102,96,100
G11,186,176,180
G12,115,103,109
H1,122,111,112
H2,100,94,95
H3,101,92,93
H4,100,91,92
H5,100,95,93
H6,100,93,96
H7,104,96,95
H8,106,97,101
H9,104,97,99
H10,104,98,98
H11,108,102,100
H12,128,118,120
