well,interaction,phage,timepoint
A1,none,none,none
A2,none,none,none
A3,none,none,none
A4,none,none,none
A5,none,none,none
A6,none,none,none
A7,none,none,none
A8,none,none,none
A9,none,none,none
A10,none,none,none
A11,none,none,none
A12,none,none,none
B1,none,none,none
B2,Smono,none,0
B3,Smono,none,0
B4,Smono,Phi,0
B5,Smono,Phi,0
B6,Smono,Phi,0
B7,Smono,Phi,0
B8,Smono,P22,0
B9,Smono,P22,0
B10,Smono,P22,0
B11,Smono,P22,0
B12,none,none,none
C1,none,none,none
C2,Smono,Phi + P22,0
C3,Smono,Phi + P22,0
C4,Smono,Phi + P22,0
C5,Smono,Phi + P22,0
C6,Smono,none,24
C7,Smono,none,24
C8,Smono,Phi,24
C9,Smono,Phi,24
C10,Smono,Phi,24
C11,Smono,Phi,24
C12,none,none,none
D1,none,none,none
D2,Smono,P22,24
D3,Smono,P22,24
D4,Smono,P22,24
D5,Smono,P22,24
D6,Smono,Phi + P22,24
D7,Smono,Phi + P22,24
D8,Smono,Phi + P22,24
D9,Smono,Phi + P22,24
D10,Comp,none,0
D11,Comp,none,0
D12,none,none,none
E1,none,none,none
E2,Comp,Phi,0
E3,Comp,Phi,0
E4,Comp,Phi,0
E5,Comp,Phi,0
E6,Comp,P22,0
E7,Comp,P22,0
E8,Comp,P22,0
E9,Comp,P22,0
E10,Comp,Phi + P22,0
E11,Comp,Phi + P22,0
E12,none,none,none
F1,none,none,none
F2,Comp,Phi + P22,0
F3,Comp,Phi + P22,0
F4,Comp,none,24
F5,Comp,none,24
F6,Comp,Phi,24
F7,Comp,Phi,24
F8,Comp,Phi,24
F9,Comp,Phi,24
F10,Comp,P22,24
F11,Comp,P22,24
F12,none,none,none
G1,none,none,none
G2,Comp,P22,24
G3,Comp,P22,24
G4,Comp,Phi + P22,24
G5,Comp,Phi + P22,24
G6,Comp,Phi + P22,24
G7,Comp,Phi + P22,24
G8,none,none,none
G9,none,none,none
G10,none,none,none
G11,none,none,none
G12,none,none,none
H1,none,none,none
H2,none,none,none
H3,none,none,none
H4,none,none,none
H5,none,none,none
H6,none,none,none
H7,none,none,none
H8,none,none,none
H9,none,none,none
H10,none,none,none
H11,none,none,none
H12,none,none,none
