Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
Time [s],0,1367.5,2734.3,4101.9,5468.6,6835.3,8202.1,9568.8,10935.8,12302.6,13669.4,15036.1,16402.9,17769.6,19136.4,20503.1,21869.9,23236.6,24603.3,25970.1,27336.8,28703.6,30070.3,31437,32803.8,34170.5,35537.2,36904,38270.7,39637.5,41004.2,42371,43737.7,45104.5,46471.2,47837.9,49204.7,50571.4,51938.2,53305,54671.7,56038.4,57405.2,58771.9,60138.7,61505.4,62872.2,64238.9,65605.7,66972.4,68339.1,69705.9,71072.6,72439.4,73806.6,75173.3,76540.2,77906.8,79273.6,80640.3,82007.1,83373.8,84740.6,86107.3,87474,88840.8,90207.9,91576.8,92943.6,94310.3,95677,97043.7,98410.5,99777.2,101144,102510.9,103877.4,105244.2,106610.9,107977.7,109344.4,110711.2,112077.9,113444.6,114811.4,116178.1,117545.3,118912,120278.8,121645.5,123012.3,124379,125745.7,127112.5,128479.2,129845.9,131212.7,132579.4,133946.1,135312.8,136679.5,138046.3,139413.1,140779.8,142146.5,143513.3,144880,146246.8,147613.5,148980.3,150347,151713.8,153080.5,154447.3,155814,157180.7,158547.5,159914.4,161281.1,162647.9,164015,165382.2,166749,168115.8,169482.4,170849.2,172216
Temp. [°C],37.5,37.7,37.8,37,37.1,36.9,36.8,37.1,37.5,37.8,36.9,37.4,37.8,36.8,37.3,37.8,37.8,36.8,37,37.7,36.8,37.3,37.8,37.8,37.8,37.8,37.8,37.6,36.9,37.7,36.8,37.3,37.7,37,37.6,37.5,37,37.4,37.7,37.7,37.4,36.8,37.2,37.6,37.7,36.8,37.4,37.7,37,37.7,36.8,37.6,37,37.4,37.5,37.4,37.2,37.5,37.2,37.5,37.7,37.1,37.2,37.4,36.9,37.5,37.4,37.2,37.7,37.5,37.3,37.8,36.8,37.4,37.8,36.8,37.2,37.5,37.7,37.3,37.2,37.8,36.9,37.2,36.9,37.4,37.6,36.9,37.7,37,37.7,37.7,37.7,37.6,37.5,37.6,37.8,37.3,36.8,36.8,36.9,36.9,37,37,36.8,37.3,37.7,37.6,37.4,36.9,37.3,37.7,37.1,37.6,37.7,37.1,37.6,37.5,36.9,37.7,37.6,37,37.7,37.8,37.8,37.7,37
A1,0.089199997,0.0898,0.089900002,0.089900002,0.089900002,0.089900002,0.090000004,0.089900002,0.090000004,0.090000004,0.090099998,0.090099998,0.0902,0.0902,0.090099998,0.0902,0.090099998,0.0902,0.0902,0.0902,0.0902,0.0902,0.0902,0.0902,0.0902,0.090300001,0.0902,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090400003,0.090400003,0.090400003,0.090400003,0.090400003,0.090400003,0.090400003,0.090499997,0.090400003,0.090499997,0.090599999,0.090499997,0.090599999,0.090599999,0.090599999,0.090599999,0.090599999,0.090599999,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090800002,0.090800002,0.090999998,0.090800002,0.090899996,0.090999998,0.090999998,0.091200002,0.090999998,0.0911,0.0911,0.0911,0.091200002,0.091200002,0.091300003,0.091200002,0.091200002,0.091300003,0.091300003,0.091300003,0.091300003,0.091300003,0.091399997,0.091399997,0.091300003,0.091399997,0.091499999,0.091499999,0.091399997,0.091499999,0.091600001,0.091499999,0.090800002,0.090099998,0.089400001,0.088699996,0.088600002,0.089000002,0.089500003,0.089299999,0.090499997,0.091600001,0.092500001,0.093199998,0.093400002,0.093000002,0.092699997,0.092399999,0.092100002,0.091899998,0.091700003,0.091499999,0.091399997,0.091300003,0.091200002,0.091200002,0.092399999,0.092399999,0.092500001,0.092399999,0.093000002,0.093199998,0.093199998,0.0933,0.093400002,0.093400002,0.093400002,0.0933,0.093400002,0.0933
A2,0.088200003,0.088399999,0.088399999,0.088299997,0.088399999,0.088399999,0.088399999,0.088500001,0.088500001,0.088399999,0.088500001,0.088500001,0.088500001,0.088500001,0.088500001,0.088500001,0.088600002,0.088500001,0.088500001,0.088699996,0.088500001,0.088600002,0.088600002,0.088500001,0.088500001,0.088699996,0.088600002,0.088600002,0.088600002,0.088600002,0.088600002,0.088699996,0.088600002,0.088799998,0.088799998,0.088699996,0.088699996,0.088699996,0.088699996,0.088699996,0.088799998,0.088799998,0.088799998,0.088799998,0.088799998,0.0889,0.088799998,0.0889,0.0889,0.088799998,0.0889,0.0889,0.089000002,0.0889,0.089000002,0.0889,0.0889,0.089000002,0.089000002,0.089100003,0.089100003,0.089100003,0.089000002,0.089199997,0.089100003,0.089100003,0.089100003,0.089199997,0.089199997,0.089299999,0.089299999,0.089299999,0.089299999,0.089500003,0.089299999,0.089299999,0.089400001,0.089400001,0.089299999,0.089400001,0.089299999,0.089400001,0.089400001,0.089599997,0.089500003,0.089599997,0.089500003,0.089599997,0.089599997,0.089500003,0.089599997,0.089699998,0.089500003,0.089699998,0.0898,0.089699998,0.089699998,0.089699998,0.089599997,0.0898,0.0898,0.089900002,0.089900002,0.089900002,0.090000004,0.090000004,0.090000004,0.090000004,0.089900002,0.090000004,0.089900002,0.090000004,0.090099998,0.089900002,0.089900002,0.089500003,0.0889,0.088399999,0.087700002,0.087099999,0.086900003,0.088200003,0.088299997,0.088699996,0.088799998,0.089299999,0.090300001
A3,0.089199997,0.089299999,0.089299999,0.089400001,0.089199997,0.089299999,0.089199997,0.089400001,0.089400001,0.089199997,0.089400001,0.089400001,0.089400001,0.089500003,0.089400001,0.089400001,0.089299999,0.089400001,0.089299999,0.089599997,0.089400001,0.089400001,0.089299999,0.089400001,0.089299999,0.089500003,0.089400001,0.089400001,0.089299999,0.089500003,0.089299999,0.089400001,0.089400001,0.089599997,0.089400001,0.089400001,0.089500003,0.089500003,0.089400001,0.089500003,0.089500003,0.089599997,0.089599997,0.089599997,0.089599997,0.089699998,0.089599997,0.089699998,0.089699998,0.089599997,0.089699998,0.089599997,0.089599997,0.089699998,0.089699998,0.089599997,0.089599997,0.0898,0.0898,0.089900002,0.0898,0.089900002,0.089900002,0.089900002,0.090000004,0.089900002,0.089900002,0.090099998,0.090000004,0.090000004,0.090099998,0.090099998,0.090000004,0.0902,0.090099998,0.090099998,0.090099998,0.090099998,0.090099998,0.090099998,0.0902,0.090099998,0.090099998,0.0902,0.0902,0.0902,0.090099998,0.090300001,0.0902,0.090300001,0.0902,0.090300001,0.090300001,0.090300001,0.090499997,0.090400003,0.090400003,0.090499997,0.090300001,0.090499997,0.090599999,0.090599999,0.090599999,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090599999,0.090700001,0.090800002,0.090800002,0.090800002,0.090800002,0.090800002,0.090800002,0.090800002,0.090899996,0.090800002,0.090800002,0.090700001,0.090899996,0.090800002,0.090899996,0.090899996,0.090800002,0.090700001
A4,0.089299999,0.089400001,0.089500003,0.089400001,0.089400001,0.089400001,0.089400001,0.089500003,0.089500003,0.089400001,0.089500003,0.089500003,0.089500003,0.089599997,0.089500003,0.089500003,0.089500003,0.089500003,0.089500003,0.089599997,0.089599997,0.089500003,0.089500003,0.089500003,0.089500003,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089699998,0.089599997,0.089699998,0.089699998,0.089599997,0.089699998,0.089699998,0.089699998,0.089699998,0.0898,0.089699998,0.0898,0.0898,0.089699998,0.0898,0.0898,0.089699998,0.0898,0.089900002,0.0898,0.089900002,0.089900002,0.0898,0.0898,0.089900002,0.089900002,0.090000004,0.089900002,0.089900002,0.090000004,0.090000004,0.090000004,0.089900002,0.090000004,0.090000004,0.089900002,0.090000004,0.090099998,0.090099998,0.090000004,0.090099998,0.090099998,0.090099998,0.090099998,0.090099998,0.090000004,0.090099998,0.090099998,0.090099998,0.0902,0.0902,0.0902,0.0902,0.0902,0.090300001,0.0902,0.0902,0.0902,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090400003,0.090400003,0.0902,0.090400003,0.090400003,0.090499997,0.090400003,0.090400003,0.090400003,0.090499997,0.090499997,0.090499997,0.090499997,0.090499997,0.090499997,0.090499997,0.090499997,0.090499997,0.090599999,0.090599999,0.090599999,0.090599999,0.090599999,0.090499997,0.090599999,0.090599999,0.090700001,0.090700001,0.090800002,0.090800002,0.090800002
A5,0.089599997,0.090099998,0.090000004,0.090000004,0.089900002,0.090099998,0.090000004,0.090000004,0.090000004,0.090000004,0.0902,0.090000004,0.090099998,0.090099998,0.090000004,0.090099998,0.090099998,0.090099998,0.090000004,0.0902,0.0902,0.090000004,0.090099998,0.090000004,0.090000004,0.0902,0.090099998,0.090099998,0.090099998,0.090000004,0.090099998,0.0902,0.090099998,0.0902,0.090300001,0.0902,0.0902,0.090099998,0.0902,0.090099998,0.090300001,0.090099998,0.0902,0.0902,0.0902,0.090300001,0.090300001,0.090499997,0.090400003,0.090300001,0.090400003,0.090400003,0.090300001,0.090300001,0.090400003,0.090300001,0.090300001,0.090400003,0.090400003,0.090499997,0.090400003,0.090300001,0.090400003,0.090400003,0.090499997,0.090400003,0.090400003,0.090400003,0.090400003,0.090499997,0.090499997,0.090499997,0.090499997,0.090599999,0.090599999,0.090499997,0.090599999,0.090599999,0.090499997,0.090499997,0.090599999,0.090599999,0.090599999,0.090599999,0.090599999,0.090499997,0.090499997,0.090700001,0.090599999,0.090700001,0.090599999,0.090700001,0.090599999,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090599999,0.090700001,0.090800002,0.090700001,0.090800002,0.090800002,0.090800002,0.090800002,0.090800002,0.090800002,0.090800002,0.090800002,0.090800002,0.090800002,0.090899996,0.090800002,0.090800002,0.090899996,0.090800002,0.090999998,0.090899996,0.090800002,0.090899996,0.090999998,0.0911,0.0911,0.090999998,0.0911,0.090999998
A6,0.0902,0.091700003,0.092200004,0.092299998,0.092500001,0.092399999,0.092600003,0.092100002,0.092699997,0.092799999,0.092799999,0.092799999,0.093099996,0.092600003,0.092600003,0.093000002,0.092799999,0.092799999,0.092900001,0.093000002,0.092799999,0.093000002,0.092799999,0.092500001,0.092799999,0.092799999,0.092799999,0.092600003,0.092299998,0.092799999,0.092399999,0.092699997,0.092600003,0.092799999,0.092600003,0.092500001,0.092600003,0.092699997,0.092500001,0.092600003,0.092699997,0.092500001,0.092900001,0.092699997,0.092699997,0.092600003,0.092799999,0.092799999,0.092399999,0.092299998,0.092699997,0.092500001,0.092799999,0.092600003,0.092699997,0.092600003,0.092600003,0.092600003,0.092600003,0.093000002,0.092699997,0.092399999,0.092299998,0.092699997,0.092699997,0.092399999,0.092500001,0.092500001,0.092399999,0.092699997,0.092900001,0.092399999,0.092500001,0.092500001,0.092200004,0.092600003,0.092500001,0.092299998,0.092200004,0.092399999,0.092500001,0.092100002,0.092299998,0.092500001,0.092299998,0.092,0.092,0.092200004,0.092299998,0.092,0.092,0.092100002,0.091899998,0.092100002,0.091899998,0.092,0.092,0.091899998,0.092,0.091700003,0.091899998,0.092100002,0.091700003,0.091700003,0.091799997,0.091700003,0.091600001,0.091600001,0.091700003,0.091799997,0.091600001,0.091799997,0.091700003,0.091700003,0.091499999,0.091600001,0.091399997,0.091799997,0.091499999,0.091600001,0.091700003,0.091899998,0.091799997,0.091899998,0.091899998,0.092,0.091700003
A7,0.088600002,0.088600002,0.088600002,0.088600002,0.088600002,0.088500001,0.088500001,0.088600002,0.088500001,0.088600002,0.088500001,0.088500001,0.088600002,0.088600002,0.088600002,0.088600002,0.088500001,0.088500001,0.088600002,0.088699996,0.088500001,0.088500001,0.088500001,0.088500001,0.088500001,0.088600002,0.088600002,0.088600002,0.088500001,0.088500001,0.088500001,0.088600002,0.088500001,0.088600002,0.088600002,0.088600002,0.088600002,0.088500001,0.088600002,0.088600002,0.088600002,0.088600002,0.088600002,0.088600002,0.088600002,0.088799998,0.088600002,0.088699996,0.088699996,0.088699996,0.088799998,0.088699996,0.088699996,0.088799998,0.088799998,0.088699996,0.088799998,0.0889,0.088799998,0.0889,0.0889,0.0889,0.0889,0.089000002,0.089000002,0.089000002,0.089000002,0.089000002,0.089000002,0.089000002,0.089000002,0.089100003,0.089000002,0.089000002,0.089000002,0.089000002,0.089100003,0.089000002,0.089000002,0.089000002,0.089000002,0.089100003,0.0889,0.089000002,0.089000002,0.089000002,0.0889,0.089100003,0.089000002,0.089000002,0.089000002,0.089100003,0.089100003,0.089100003,0.089100003,0.089100003,0.089100003,0.089199997,0.089100003,0.089100003,0.089100003,0.089299999,0.089100003,0.089199997,0.089199997,0.089199997,0.089299999,0.089299999,0.089299999,0.089299999,0.089299999,0.089299999,0.089299999,0.089199997,0.089199997,0.089299999,0.089299999,0.089199997,0.089199997,0.089199997,0.089299999,0.089199997,0.089299999,0.089299999,0.089199997,0.089199997,0.089299999
A8,0.089100003,0.089199997,0.089199997,0.089199997,0.089100003,0.089100003,0.089199997,0.089199997,0.089100003,0.089199997,0.089199997,0.089100003,0.089199997,0.089199997,0.089199997,0.089199997,0.089199997,0.089100003,0.089100003,0.089299999,0.089299999,0.089100003,0.089199997,0.089199997,0.089299999,0.089199997,0.089199997,0.089199997,0.089299999,0.089199997,0.089199997,0.089199997,0.089100003,0.089199997,0.089299999,0.089199997,0.089299999,0.089199997,0.089199997,0.089100003,0.089199997,0.089400001,0.089400001,0.089299999,0.089400001,0.089299999,0.089299999,0.089299999,0.089299999,0.089199997,0.089400001,0.089400001,0.089299999,0.089400001,0.089500003,0.089299999,0.089400001,0.089500003,0.089500003,0.089500003,0.089500003,0.089400001,0.089500003,0.089599997,0.089500003,0.089500003,0.089500003,0.089500003,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089500003,0.089599997,0.089500003,0.089599997,0.089500003,0.089500003,0.089500003,0.089500003,0.089599997,0.089500003,0.089500003,0.089500003,0.089500003,0.089500003,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089699998,0.089599997,0.089699998,0.089599997,0.089699998,0.089699998,0.089699998,0.089699998,0.089699998,0.089699998,0.089699998,0.0898,0.089699998,0.089900002,0.0898,0.0898,0.0898,0.089900002,0.089699998,0.089900002,0.089900002,0.089699998,0.0898,0.0898,0.0898,0.0898,0.0898,0.0898,0.089900002,0.0898,0.0898,0.089900002,0.089900002,0.090000004,0.0898
