Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
Time [s],0,1366.3,2732.7,4099,5465.3,6831.6,8197.9,9564.2,10930.5,12296.8,13663.2,15029.5,16396.3,17762.6,19128.9,20495.2,21861.6,23227.9,24594.2,25960.5,27326.9,28693.2,30059.5,31425.8,32792.2,34158.5,35524.8,36891.1,38257.9,39624.2,40990.6,42357.3,43723.6,45087.9,46454.2,47820.6,49186.9,50553.3,51919.6,53285.9,54652.2,56018.6,57385,58751.3,60117.6,61484,62850.3,64216.6,65583,66949.3,68315.6,69681.9,71048.3,72414.6,73781,75147.5,76513.9,77880.2,79246.5,80612.9,81979.7,83351.1,84717.3,86084.1
Temp. [°C],36.8,37.3,37.7,37.3,36.8,36.9,37.1,37.3,37.5,37.5,37.8,37.6,36.8,37.1,37.7,37.1,37.3,37.8,37.2,37.5,37.5,36.9,37.5,37.2,37.4,37.8,36.8,37.3,37.8,36.8,37.4,37.8,36.8,37.4,37.8,37.5,37.1,37.6,37.5,36.8,37.7,37,37.7,37.1,37.8,37.1,37.8,36.9,37.4,37.8,37.6,37,36.9,37,37,36.9,36.8,37.1,37.7,37.5,37.6,36.8,37.5,36.8
A1,200,196,195,194,192,195,198,199,198,200,197,197,196,198,198,199,201,196,200,201,196,199,201,200,200,197,202,199,198,197,200,201,203,203,206,207,209,214,207,216,212,213,215,214,216,214,213,213,211,209,213,214,213,213,211,210,214,210,212,214,214,219,215,215
A2,191,187,189,188,186,188,192,192,192,187,188,189,191,192,191,190,190,189,190,190,191,192,191,192,192,188,194,186,189,188,189,191,193,190,191,190,193,191,193,192,191,193,191,193,190,194,195,191,192,191,191,192,193,194,196,196,199,196,199,202,203,205,204,210
A3,190,186,186,183,186,188,187,186,188,187,189,183,188,190,189,189,190,188,188,188,187,188,189,193,183,192,188,188,189,188,191,187,191,190,191,190,192,194,192,186,193,189,188,189,189,189,191,190,193,190,192,193,192,190,190,189,194,190,190,190,190,193,193,195
A4,185,184,184,181,187,188,186,185,186,188,188,188,190,188,189,188,189,187,189,188,189,188,191,190,191,192,189,191,189,189,192,191,189,191,188,192,191,193,192,191,191,185,191,192,188,193,194,193,191,191,191,191,190,191,191,194,190,193,190,191,195,192,194,195
A5,186,184,183,183,185,185,188,185,189,188,190,186,189,190,192,192,189,187,187,188,189,190,191,188,187,189,189,193,187,188,193,189,190,191,191,192,189,191,193,194,190,190,190,190,189,192,191,195,190,190,192,190,192,191,189,193,191,191,193,190,188,194,192,191
A6,179,179,178,176,178,181,180,179,183,183,181,183,182,181,184,184,187,188,192,186,186,184,186,186,188,187,188,187,187,188,187,189,190,189,191,189,190,190,188,189,186,188,187,191,187,190,190,191,191,189,188,193,194,190,190,191,188,190,191,193,194,191,190,191
A7,177,174,175,173,175,175,178,177,177,178,179,179,179,178,180,179,177,183,183,184,182,181,185,184,184,186,185,184,186,184,183,186,189,188,186,190,190,186,189,191,187,189,190,189,186,193,188,188,190,190,190,188,189,189,188,188,190,189,189,192,193,192,190,191
A8,177,172,171,171,174,174,174,174,176,175,174,176,176,177,179,179,176,177,181,178,181,180,181,184,182,179,184,181,179,181,183,185,184,185,184,189,185,189,189,189,185,189,187,192,186,191,187,186,189,192,189,192,191,191,192,192,188,189,193,192,197,191,194,195
A9,230,225,224,226,224,224,224,226,225,228,224,223,228,223,224,220,226,221,224,225,226,224,225,228,227,224,226,225,229,224,223,222,226,224,227,230,225,228,226,223,225,226,225,227,223,225,220,222,222,224,223,225,224,223,222,224,223,222,222,222,220,219,224,222
A10,172,171,169,172,170,172,170,170,172,169,171,170,171,174,171,173,177,171,173,172,174,177,175,176,175,178,177,175,178,176,181,176,183,182,181,184,181,186,182,185,182,185,184,185,184,185,185,183,186,189,188,185,186,187,187,189,189,188,188,188,192,193,188,193
A11,173,173,170,170,173,174,174,172,177,179,173,174,176,180,174,177,178,179,180,178,179,179,179,179,180,182,183,180,184,185,182,185,181,187,188,184,186,190,189,185,187,190,189,187,189,189,189,188,186,185,187,191,188,188,188,192,188,191,189,188,191,190,191,191
A12,191,189,191,184,188,189,186,189,188,183,191,190,189,189,189,189,190,191,194,188,189,188,189,188,188,190,188,189,188,189,190,189,190,190,192,186,191,192,190,189,187,191,188,190,193,192,189,192,192,188,189,190,189,189,189,188,189,191,189,189,191,192,190,192
B1,188,189,189,189,187,192,190,188,188,191,190,191,186,191,191,190,188,191,192,193,193,191,191,191,190,194,190,188,190,193,190,188,194,191,192,193,193,193,194,191,193,195,190,193,192,189,192,194,191,194,192,192,192,194,193,195,202,196,197,197,201,199,204,203
B2,172,171,171,166,170,169,167,166,167,165,167,166,166,168,171,165,168,165,171,167,167,164,171,164,166,166,170,171,171,171,169,171,173,174,173,173,172,172,176,174,179,182,178,179,182,183,186,184,187,193,196,199,205,206,217,219,231,247,260,296,320,342,367,395
B3,181,176,179,174,177,175,174,177,174,171,178,175,173,176,173,172,173,175,176,169,174,174,171,169,174,170,170,169,167,169,171,168,172,170,170,174,172,169,168,170,172,173,174,173,173,178,180,180,183,188,187,195,199,206,211,216,227,240,252,273,310,330,363,378
B4,187,183,183,183,182,184,185,184,181,184,185,182,181,183,183,183,184,181,183,183,183,182,182,180,182,182,181,181,183,184,188,189,196,199,205,219,229,269,319,343,338,359,380,436,503,585,654,728,789,846,883,909,952,983,1003,1020,1021,1031,1042,1040,1043,1047,1058,1064
B5,188,187,186,187,185,185,184,185,184,187,186,182,185,185,183,183,184,184,183,181,184,183,184,184,185,183,184,181,183,185,190,191,198,198,204,217,230,258,291,333,344,359,390,439,487,578,663,717,799,856,898,939,989,1022,1038,1059,1059,1068,1065,1068,1074,1080,1084,1071
B6,186,186,184,182,186,183,183,188,184,182,185,184,184,186,183,180,182,183,181,183,181,182,180,184,181,181,183,179,177,184,181,180,179,181,177,176,182,180,180,176,180,177,178,179,175,176,176,176,176,176,174,178,177,178,176,179,178,174,176,177,178,177,178,181
