Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
Time [s],0,1367.2,2733.5,4099.8,5466.1,6832.5,8198.7,9565,10931.4,12297.7,13664,15030.3,16397.1,17763.5,19129.8,20496.1,21862.4,23228.8,24595,25961.4,27327.7,28694,30060.4,31426.7,32793,34159.3,35525.7,36892,38258.8,39625.1,40991.5,42358.2,43724.5,45088.8,46455.1,47821.5,49187.8,50554.2,51920.5,53286.8,54653.1,56019.4,57385.8,58752.2,60118.5,61484.8,62851.1,64217.5,65583.8,66950.2,68316.5,69682.8,71049.2,72415.5,73781.8,75148.4,76514.7,77881.1,79247.4,80613.7,81980.5,83351.9,84718.2,86084.5
Temp. [°C],37.4,37.7,36.9,37.7,37.4,37.4,37.7,37.7,37.8,37.7,36.9,37,37.3,37.6,37.3,37.2,37.8,36.8,37.7,37,37.8,37.2,37.7,37.1,37.8,36.8,37.3,37.7,36.9,37.4,37.8,36.8,37.3,37.8,36.9,37.7,37.6,37,37.7,37.4,37.2,37.5,36.8,37.6,36.8,37.7,36.8,37.4,37.7,36.9,37,37.2,37.4,37.6,37.6,37.5,37.4,37.2,36.9,37.7,37,37.4,37.7,37.3
A1,0.089900002,0.089500003,0.090300001,0.089500003,0.089599997,0.089500003,0.090999998,0.090999998,0.089599997,0.089599997,0.089699998,0.089699998,0.089699998,0.089699998,0.089699998,0.089699998,0.0898,0.0898,0.0898,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.090000004,0.090000004,0.090899996,0.090099998,0.0902,0.090099998,0.090000004,0.090499997,0.088500001,0.087899998,0.087300003,0.087700002,0.087899998,0.088399999,0.089500003,0.090999998,0.091700003,0.092299998,0.092200004,0.091799997,0.091399997,0.090999998,0.090700001,0.090400003,0.090099998,0.089900002,0.089500003,0.088799998,0.088100001,0.087899998,0.088,0.088,0.088200003,0.088100001,0.088200003,0.088100001,0.088100001,0.088100001,0.088100001,0.088200003
A2,0.090700001,0.090499997,0.090599999,0.090599999,0.090499997,0.090499997,0.090999998,0.090599999,0.090499997,0.090499997,0.090700001,0.090599999,0.090700001,0.090800002,0.090700001,0.090800002,0.090700001,0.090800002,0.090800002,0.090899996,0.090800002,0.090899996,0.090899996,0.090899996,0.090800002,0.090999998,0.090999998,0.090899996,0.0911,0.090999998,0.0911,0.091300003,0.0911,0.091300003,0.091200002,0.091200002,0.091399997,0.091200002,0.091499999,0.091499999,0.091600001,0.091700003,0.091499999,0.091499999,0.091700003,0.091600001,0.091700003,0.091700003,0.091700003,0.091700003,0.091700003,0.091700003,0.091600001,0.090899996,0.090099998,0.089199997,0.088500001,0.088799998,0.089699998,0.090099998,0.090599999,0.091200002,0.092100002,0.092799999
A3,0.0911,0.090899996,0.090899996,0.090899996,0.090899996,0.090999998,0.090999998,0.090899996,0.090899996,0.090899996,0.090999998,0.090899996,0.090999998,0.0911,0.0911,0.0911,0.0911,0.0911,0.0911,0.091300003,0.0911,0.091200002,0.091200002,0.091200002,0.091300003,0.091300003,0.091200002,0.091300003,0.091399997,0.091300003,0.091399997,0.091600001,0.091399997,0.091499999,0.091499999,0.091600001,0.091600001,0.091499999,0.091700003,0.091700003,0.091600001,0.091799997,0.091600001,0.091700003,0.091799997,0.091700003,0.091799997,0.091799997,0.091799997,0.091899998,0.091899998,0.092,0.091899998,0.092100002,0.092,0.092,0.092100002,0.092,0.092200004,0.091899998,0.091899998,0.092,0.092100002,0.091700003
A4,0.089900002,0.089900002,0.0898,0.0898,0.0898,0.089900002,0.089900002,0.089900002,0.089900002,0.0898,0.089900002,0.090000004,0.089900002,0.089900002,0.089900002,0.089900002,0.090000004,0.089900002,0.089900002,0.089900002,0.090000004,0.090000004,0.089900002,0.090000004,0.089900002,0.090000004,0.090099998,0.090000004,0.090099998,0.090000004,0.090099998,0.090099998,0.090099998,0.0902,0.090099998,0.090099998,0.0902,0.090099998,0.0902,0.0902,0.090300001,0.090300001,0.090300001,0.090300001,0.090400003,0.0902,0.090400003,0.090300001,0.090300001,0.090300001,0.090300001,0.090400003,0.090300001,0.090499997,0.090400003,0.090499997,0.090599999,0.090499997,0.090599999,0.090599999,0.090599999,0.090700001,0.090700001,0.090700001
A5,0.090700001,0.090700001,0.090800002,0.090599999,0.090599999,0.090700001,0.090700001,0.090599999,0.090700001,0.090599999,0.090599999,0.090700001,0.090599999,0.090800002,0.090700001,0.090700001,0.090800002,0.090700001,0.090800002,0.090800002,0.090800002,0.090700001,0.090800002,0.090800002,0.090800002,0.090800002,0.090800002,0.090800002,0.090999998,0.090899996,0.090899996,0.090999998,0.090899996,0.090999998,0.090899996,0.090999998,0.090999998,0.090899996,0.090999998,0.0911,0.090999998,0.0911,0.090999998,0.0911,0.0911,0.090999998,0.091200002,0.0911,0.0911,0.091200002,0.091200002,0.091200002,0.0911,0.091200002,0.091200002,0.091200002,0.091300003,0.091200002,0.091300003,0.091200002,0.091300003,0.091300003,0.091399997,0.091399997
A6,0.0898,0.0898,0.0898,0.0898,0.089699998,0.0898,0.0898,0.089599997,0.089699998,0.0898,0.0898,0.089900002,0.089699998,0.089900002,0.089900002,0.0898,0.089900002,0.0898,0.089900002,0.090000004,0.089900002,0.0898,0.0898,0.089900002,0.0898,0.089900002,0.089900002,0.089900002,0.090000004,0.090000004,0.090000004,0.090099998,0.089900002,0.090000004,0.090099998,0.090099998,0.090099998,0.090099998,0.090099998,0.090099998,0.0902,0.0902,0.090099998,0.090099998,0.0902,0.0902,0.090099998,0.090099998,0.0902,0.090099998,0.0902,0.0902,0.0902,0.090099998,0.090099998,0.0902,0.0902,0.0902,0.090300001,0.090099998,0.090099998,0.090300001,0.090300001,0.090300001
A7,0.090400003,0.0902,0.0902,0.0902,0.0902,0.090099998,0.0902,0.090099998,0.0902,0.0902,0.0902,0.0902,0.0902,0.0902,0.090300001,0.0902,0.090300001,0.090300001,0.0902,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.0902,0.090300001,0.090400003,0.090400003,0.090400003,0.090400003,0.090499997,0.090400003,0.090400003,0.090400003,0.090499997,0.090499997,0.090499997,0.090599999,0.090499997,0.090499997,0.090599999,0.090400003,0.090499997,0.090700001,0.090499997,0.090599999,0.090499997,0.090400003,0.090400003,0.090499997,0.090599999,0.090499997,0.090599999,0.090499997,0.090700001,0.090599999,0.090599999,0.090599999,0.090599999,0.090499997,0.090599999,0.090700001,0.090700001
A8,0.0902,0.090099998,0.090099998,0.0902,0.0902,0.090099998,0.0902,0.0902,0.0902,0.090300001,0.090099998,0.0902,0.0902,0.0902,0.090300001,0.0902,0.0902,0.090300001,0.0902,0.0902,0.0902,0.0902,0.0902,0.090300001,0.0902,0.0902,0.0902,0.090300001,0.090300001,0.090300001,0.090400003,0.090400003,0.090300001,0.090400003,0.090400003,0.090400003,0.090499997,0.090400003,0.090400003,0.090499997,0.090400003,0.090499997,0.090400003,0.090499997,0.090499997,0.090499997,0.090599999,0.090499997,0.090499997,0.090400003,0.090499997,0.090499997,0.090599999,0.090499997,0.090499997,0.090400003,0.090599999,0.090499997,0.090499997,0.090400003,0.090499997,0.090499997,0.090599999,0.090599999
