Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
Time [s],0,1366.3,2732.6,4098.9,5465.2,6831.6,8197.8,9564.1,10930.5,12296.8,13663.1,15029.4,16396.2,17762.5,19128.9,20495.2,21861.5,23227.9,24594.2,25960.5,27326.8,28693.1,30059.5,31425.8,32792.1,34158.5,35524.8,36891.1,38257.8,39624.2,40990.5,42357.3,43723.6,45087.9,46454.2,47820.6,49186.9,50553.2,51919.5,53285.9,54652.2,56018.5,57384.9,58751.3,60117.6,61483.9,62850.3,64216.6,65583,66949.3,68315.6,69681.9,71048.2,72414.6,73780.9,75147.5,76513.8,77880.2,79246.5,80612.8,81979.6,83351,84717.3,86088.6
Temp. [°C],37.7,36.9,37.5,36.9,37.7,37.8,37.3,36.8,36.9,37,37.3,37.6,37.8,37.3,37.2,37.7,36.8,37.4,37.1,37.7,36.9,37.8,37,37.8,36.8,37.4,37.8,36.8,37.4,37.8,36.9,37.5,37.8,36.9,37.6,37,37.4,37.7,37,37.8,37.3,37.5,37.4,37.4,37.5,37.2,37.4,37.7,36.9,37.3,37.7,37.7,37.7,37.6,37.6,37.7,37.7,37.7,37.5,36.9,37.5,37.7,36.9,37.7
A1,175,176,178,178,178,175,183,179,177,179,177,180,180,180,180,183,183,178,180,183,185,180,185,180,217,179,183,182,179,184,186,192,198,203,210,215,275,247,254,284,298,324,358,368,380,362,344,357,360,355,358,354,357,356,358,355,354,355,355,365,360,354,367,357
A2,176,184,185,185,188,187,188,185,183,186,184,186,183,181,185,183,186,186,184,178,176,179,180,176,208,174,175,181,173,180,176,180,177,179,179,180,211,181,180,179,178,178,185,182,180,185,180,181,182,178,183,178,187,187,193,197,204,217,227,245,258,277,299,316
A3,177,181,183,184,181,185,182,184,181,186,185,182,184,188,184,183,185,183,182,185,186,181,182,181,212,178,177,175,179,175,177,174,173,177,176,175,206,176,176,179,173,177,178,174,176,179,177,179,180,181,181,173,178,178,180,180,176,183,177,179,179,179,184,184
A4,176,182,180,184,189,187,188,183,184,186,185,185,184,186,186,186,191,187,185,189,184,185,184,184,222,187,185,182,186,182,187,188,183,185,183,184,213,186,181,178,179,175,177,178,177,178,175,176,177,177,176,175,181,180,177,179,178,178,182,182,180,178,184,178
A5,173,180,179,181,185,184,186,181,182,184,184,186,185,183,182,181,186,185,186,181,187,181,184,182,218,183,185,183,183,183,184,185,187,187,185,182,214,184,183,181,180,176,180,177,178,177,176,179,175,176,176,174,173,177,177,180,174,178,174,177,182,180,176,180
A6,172,181,180,181,182,182,182,183,182,183,186,183,186,185,183,186,189,183,184,187,185,181,187,185,221,184,187,189,186,185,186,189,190,189,187,186,220,189,188,191,189,188,190,188,189,187,183,184,190,193,188,184,184,184,181,184,185,179,178,177,180,178,179,176
A7,170,176,175,174,179,174,183,178,176,181,180,183,182,179,176,184,184,181,184,185,182,180,185,181,218,185,185,182,181,188,189,184,189,189,186,189,222,186,186,187,187,189,185,181,189,190,188,189,187,192,190,188,185,191,189,187,186,188,186,187,190,190,186,185
A8,172,178,173,174,180,177,179,179,177,180,181,180,182,186,184,183,185,184,184,186,185,184,187,185,223,185,188,189,189,186,187,192,193,192,192,191,229,195,191,196,193,197,193,194,194,194,192,193,198,199,199,195,196,198,197,195,195,197,198,192,195,197,197,193
A9,180,181,181,184,184,183,188,188,184,187,186,188,188,191,188,186,190,190,189,190,191,190,194,190,227,192,190,193,189,190,189,193,194,196,195,200,231,198,197,201,199,198,200,197,199,196,196,197,200,201,200,196,202,201,200,201,194,202,200,198,200,199,200,199
A10,163,168,171,169,175,172,175,172,173,173,177,175,177,178,177,177,179,178,179,182,186,180,180,178,217,181,182,183,182,180,182,187,186,189,191,191,221,190,186,191,186,187,190,185,188,190,188,189,195,194,193,192,190,192,192,192,190,191,195,196,194,193,196,193
A11,172,177,174,174,176,178,180,179,180,181,182,183,182,178,183,182,185,183,184,186,185,181,186,184,221,186,186,185,187,187,185,188,190,193,194,190,231,196,190,193,193,195,194,187,190,194,190,191,197,198,192,195,193,195,193,195,192,193,198,198,194,198,200,194
A12,184,185,190,191,197,196,195,187,190,192,190,192,192,190,193,191,193,191,193,192,192,192,192,189,227,191,190,191,191,193,191,187,187,189,189,187,216,185,180,179,179,181,182,180,183,183,180,182,181,184,184,182,184,185,187,181,187,182,185,186,181,184,191,186
B1,181,187,187,183,191,185,186,178,186,183,184,184,185,181,180,182,182,177,176,176,180,179,179,174,168,178,174,178,177,179,180,179,182,183,180,182,170,179,184,182,176,181,179,180,180,186,183,183,181,184,180,178,181,183,185,189,197,203,206,219,230,235,258,269
B2,170,172,176,172,175,175,176,174,175,175,181,178,177,176,179,175,179,180,179,182,182,178,181,179,172,185,185,186,183,187,192,189,192,199,198,197,191,214,222,237,240,264,283,315,356,399,459,540,640,772,939,1120,1382,1737,2117,2632,3276,4033,4751,5150,5298,5357,5437,5465
