Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
Time [s],0,1368.7,2737.4,4105.9,5474.4,6843.5,8212.1,9582.7,10951.3,12319.9,13688.6,15057.2,16428.1,17796.7,19165.3,20533.9,21902.5,23271.2,24640.4,26009,27377.6,28746.2,30114.7,31483.4,32851.9,34220.6,35589.1,36957.7,38327.9,39697,41065.6,42434.2,43802.8,45171.4,46540,47908.6,49277.2,50645.9,52014.5,53383.1,54751.7,56120.3,57489,58857.7,60226.2,61594.9,62976.9,64345.5,65714.1,67082.7,68451.4,69820,71188.5,72557.1,73925.7,75294.3,76662.9,78031.5,79400.1,80768.7,82137.3,83508.2,84876.8,86245.4,87614,88982.7,90351.3,91719.9,93088.5,94456.2,95825.1,97193.8,98562.4,99931,101299.6,102668.2,104036.8,105405.4,106774.1,108142.7,109511.3,110879.9,112248.5,113617.2,114986.1,116354.8,117723.3,119092,120460.6,121830.8,123199.5,124568.1,125936.7,127305.3,128673.9,130042.6,131411.2,132780.2,134148.8,135517.4,136886,138254.6,139628.5,140999,142367.6,143736.2,145104.8,146473.4,147842,149210.6,150581.1,151949.7,153318.4,154687,156055.7,157424.3,158792.9,160161.5,161530.2,162898.8,164267.4,165636,167004.6,168373.2,169741.8
Temp. [°C],36.8,36.8,37.5,37.3,37.7,37.1,36.9,36.8,37.2,37.7,37.3,37.2,37.8,36.8,37.6,37.8,37.8,37.7,36.8,37.8,36.9,37.6,36.8,37.1,37.1,37.1,37.1,37.1,36.9,36.8,37.7,37.5,36.8,37.7,36.8,37.3,37.7,37.6,36.9,37,37.3,37.7,36.9,37.4,37.7,37.2,37.7,36.8,37.7,36.8,37.6,37.4,37.2,37.7,37,37.7,37,37.7,36.8,37.6,36.8,37.7,37.7,37.2,37.2,37.8,37.1,37.7,37.7,37.2,36.9,36.9,37.2,37.5,37.8,37,37.1,37.4,37.7,37.8,36.8,37.1,37.3,37.5,37.6,37.7,37.7,37.8,37.7,37.7,37.7,37.5,37.4,37.2,36.9,36.9,37.4,37.8,37.8,37.5,37.2,37,37.8,37.3,36.8,37.8,37.1,37.8,37,37.7,37.4,37,37.4,37.6,37.7,37.6,37.4,37.5,37.6,37.7,37.7,37.7,37.4,37.2,37
A1,0.089400001,0.089900002,0.089900002,0.089900002,0.090000004,0.089900002,0.089900002,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090099998,0.090099998,0.090000004,0.090000004,0.090099998,0.090099998,0.090099998,0.0902,0.090099998,0.090099998,0.0902,0.0902,0.0902,0.0902,0.090300001,0.0902,0.0902,0.0902,0.090300001,0.0902,0.090300001,0.0902,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090400003,0.090400003,0.090400003,0.090400003,0.090400003,0.090400003,0.090400003,0.090499997,0.090499997,0.090499997,0.090400003,0.090499997,0.090499997,0.090499997,0.090400003,0.090499997,0.090499997,0.090599999,0.090599999,0.090599999,0.090700001,0.090599999,0.090700001,0.090700001,0.090700001,0.090800002,0.090700001,0.090700001,0.090800002,0.090800002,0.090800002,0.090800002,0.090899996,0.090899996,0.090899996,0.090800002,0.090899996,0.090899996,0.090899996,0.090999998,0.090899996,0.090999998,0.090999998,0.0911,0.090999998,0.0911,0.0911,0.0911,0.091200002,0.0911,0.091200002,0.091200002,0.091200002,0.091300003,0.091200002,0.091300003,0.091300003,0.091300003,0.091300003,0.091499999,0.091399997,0.091399997,0.091499999,0.091499999,0.091499999,0.091600001,0.091600001,0.091600001,0.091700003,0.091399997,0.090700001,0.090000004,0.089400001,0.088699996,0.088299997,0.088500001,0.089400001,0.090099998,0.090999998,0.092399999,0.093199998,0.093699999,0.093999997,0.093800001,0.093400002,0.093000002
A2,0.090000004,0.090099998,0.090099998,0.090099998,0.0902,0.090099998,0.090099998,0.0902,0.090099998,0.090099998,0.0902,0.0902,0.0902,0.0902,0.0902,0.090099998,0.0902,0.0902,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090400003,0.090300001,0.090400003,0.090400003,0.090300001,0.090400003,0.090499997,0.090400003,0.090499997,0.090400003,0.090499997,0.090400003,0.090499997,0.090499997,0.090599999,0.090400003,0.090499997,0.090400003,0.090599999,0.090499997,0.090499997,0.090499997,0.090599999,0.090499997,0.090499997,0.090499997,0.090599999,0.090599999,0.090499997,0.090599999,0.090499997,0.090599999,0.090499997,0.090599999,0.090700001,0.090599999,0.090599999,0.090599999,0.090499997,0.090700001,0.090700001,0.090599999,0.090700001,0.090599999,0.090599999,0.090599999,0.090499997,0.090700001,0.090700001,0.090599999,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090800002,0.090599999,0.090700001,0.090700001,0.090700001,0.090599999,0.090700001,0.090700001,0.090700001,0.090599999,0.090700001,0.090700001,0.090800002,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090800002,0.090800002,0.090700001,0.090800002,0.090800002,0.090700001,0.090899996,0.090899996,0.090899996,0.090899996,0.090899996,0.090899996,0.090800002,0.090899996,0.090999998,0.090899996,0.090899996,0.090999998,0.090999998,0.0911
A3,0.089500003,0.089699998,0.089699998,0.089699998,0.089699998,0.089699998,0.0898,0.089599997,0.089500003,0.089699998,0.089699998,0.089699998,0.089699998,0.089699998,0.089699998,0.089599997,0.089699998,0.089699998,0.089699998,0.0898,0.089900002,0.0898,0.089900002,0.0898,0.089900002,0.089900002,0.089900002,0.0898,0.089900002,0.0898,0.090000004,0.0898,0.089900002,0.089900002,0.089900002,0.089900002,0.090000004,0.089900002,0.089900002,0.089900002,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090099998,0.090099998,0.090099998,0.090000004,0.090000004,0.090099998,0.090099998,0.090099998,0.090099998,0.090099998,0.0902,0.090099998,0.090099998,0.0902,0.0902,0.0902,0.0902,0.0902,0.0902,0.090099998,0.0902,0.0902,0.0902,0.0902,0.090300001,0.090300001,0.090400003,0.0902,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090499997,0.090400003,0.090300001,0.090300001,0.090400003,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090400003,0.090400003,0.090400003,0.090400003,0.090300001,0.090400003,0.090499997,0.090400003,0.090400003,0.090400003,0.090400003,0.090400003,0.090400003,0.090499997,0.090499997,0.090400003,0.090499997,0.090400003,0.090499997,0.090599999,0.090499997,0.090599999,0.090599999,0.090599999,0.090499997,0.090499997,0.090599999,0.090499997,0.090599999,0.090599999,0.090800002,0.090599999,0.090599999
A4,0.089599997,0.0902,0.0902,0.0902,0.090300001,0.090300001,0.090300001,0.0902,0.0902,0.0902,0.0902,0.0902,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.0902,0.090300001,0.090300001,0.090300001,0.090300001,0.090400003,0.090300001,0.090300001,0.090300001,0.090400003,0.090300001,0.090300001,0.090300001,0.090400003,0.0902,0.090300001,0.090400003,0.090300001,0.090400003,0.090400003,0.090400003,0.090300001,0.090400003,0.090400003,0.090400003,0.090300001,0.090400003,0.090499997,0.090499997,0.090400003,0.090499997,0.090400003,0.090400003,0.090400003,0.090300001,0.090400003,0.090400003,0.090400003,0.090400003,0.090499997,0.090499997,0.090400003,0.090499997,0.090499997,0.090499997,0.090499997,0.090499997,0.090599999,0.090499997,0.090499997,0.090499997,0.090499997,0.090499997,0.090599999,0.090700001,0.090599999,0.090599999,0.090599999,0.090599999,0.090499997,0.090599999,0.090599999,0.090599999,0.090700001,0.090499997,0.090700001,0.090599999,0.090599999,0.090599999,0.090800002,0.090700001,0.090700001,0.090599999,0.090599999,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090700001,0.090599999,0.090599999,0.090700001,0.090599999,0.090700001,0.090700001,0.090800002,0.090700001,0.090800002,0.090700001,0.090700001,0.090800002,0.090700001,0.090800002,0.090700001,0.090700001,0.090700001,0.090800002,0.090800002,0.090899996,0.090800002,0.090800002,0.090800002,0.090800002,0.090800002
A5,0.0898,0.0902,0.090300001,0.0902,0.090899996,0.091300003,0.090700001,0.090099998,0.090800002,0.090999998,0.091200002,0.0902,0.090099998,0.090300001,0.090099998,0.090499997,0.090700001,0.090000004,0.090700001,0.091300003,0.090999998,0.091300003,0.091300003,0.090899996,0.090300001,0.091300003,0.0902,0.090700001,0.090099998,0.091200002,0.091300003,0.091300003,0.0911,0.090899996,0.090099998,0.090099998,0.0911,0.091499999,0.091300003,0.0902,0.090999998,0.090300001,0.090700001,0.0911,0.091300003,0.091200002,0.091300003,0.091399997,0.090800002,0.091300003,0.091399997,0.091300003,0.091200002,0.090300001,0.091399997,0.091200002,0.090999998,0.090300001,0.0911,0.091499999,0.090999998,0.090800002,0.090599999,0.091300003,0.091399997,0.090400003,0.091399997,0.091300003,0.091499999,0.090400003,0.091399997,0.091499999,0.091399997,0.090499997,0.091399997,0.091600001,0.090599999,0.091399997,0.091200002,0.091499999,0.090999998,0.090899996,0.091499999,0.091399997,0.091499999,0.091499999,0.091499999,0.091499999,0.090499997,0.091499999,0.091300003,0.091399997,0.091499999,0.091300003,0.091399997,0.090700001,0.090599999,0.091600001,0.091499999,0.091499999,0.091399997,0.091499999,0.091600001,0.091600001,0.090800002,0.090999998,0.091600001,0.091600001,0.090599999,0.090499997,0.091600001,0.091600001,0.090499997,0.091600001,0.0911,0.091200002,0.090899996,0.090599999,0.091499999,0.090599999,0.090999998,0.091300003,0.091200002,0.090599999,0.090599999
A6,0.089900002,0.090099998,0.090099998,0.090000004,0.090099998,0.090099998,0.090099998,0.090000004,0.090000004,0.090099998,0.090099998,0.090000004,0.090099998,0.090099998,0.090000004,0.089900002,0.090000004,0.089900002,0.089900002,0.090000004,0.090099998,0.090000004,0.090099998,0.090000004,0.090000004,0.090099998,0.090000004,0.089900002,0.090099998,0.089900002,0.090099998,0.090099998,0.090099998,0.090099998,0.090099998,0.090000004,0.090099998,0.090000004,0.090099998,0.090099998,0.0902,0.090099998,0.090099998,0.090099998,0.0902,0.090099998,0.0902,0.090099998,0.0902,0.0902,0.090099998,0.090099998,0.090300001,0.0902,0.0902,0.0902,0.0902,0.0902,0.0902,0.0902,0.090300001,0.090300001,0.090300001,0.090300001,0.090400003,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090400003,0.090300001,0.090400003,0.090400003,0.090300001,0.090499997,0.090400003,0.090400003,0.090499997,0.090499997,0.090499997,0.090499997,0.090499997,0.090400003,0.090400003,0.090400003,0.090499997,0.090400003,0.090400003,0.090400003,0.090400003,0.090400003,0.090499997,0.090499997,0.090499997,0.090499997,0.090499997,0.090499997,0.090499997,0.090599999,0.090499997,0.090499997,0.090499997,0.090499997,0.090499997,0.090400003,0.090599999,0.090400003,0.090499997,0.090499997,0.090499997,0.090599999,0.090499997,0.090599999,0.090499997,0.090599999,0.090599999,0.090400003,0.090499997,0.090599999,0.090599999,0.090599999,0.090599999,0.090599999,0.090599999
A7,0.089000002,0.089500003,0.089500003,0.089400001,0.089500003,0.089599997,0.089500003,0.089500003,0.089500003,0.089500003,0.089500003,0.089500003,0.089500003,0.089500003,0.089500003,0.089500003,0.089500003,0.089400001,0.089500003,0.089500003,0.089500003,0.089400001,0.089500003,0.089400001,0.089599997,0.089599997,0.089599997,0.089500003,0.089599997,0.089500003,0.089599997,0.089500003,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089500003,0.089599997,0.089599997,0.089599997,0.089599997,0.089599997,0.089699998,0.089599997,0.089599997,0.089599997,0.089699998,0.089599997,0.089699998,0.089699998,0.089599997,0.089699998,0.089599997,0.089599997,0.089599997,0.089699998,0.089699998,0.089599997,0.089699998,0.0898,0.0898,0.089699998,0.089900002,0.089900002,0.0898,0.089900002,0.089699998,0.0898,0.0898,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.0898,0.089900002,0.090000004,0.089900002,0.089900002,0.089900002,0.090000004,0.0898,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.0898,0.089900002,0.090000004,0.089900002,0.090000004,0.089900002,0.089900002,0.089900002,0.090000004,0.090000004,0.089900002,0.089900002,0.090000004,0.089900002,0.089900002,0.089900002,0.090000004,0.089900002,0.090000004,0.090000004,0.090000004,0.090000004,0.089900002,0.090099998,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090000004,0.090099998,0.090000004,0.090000004,0.090099998
A8,0.089199997,0.089500003,0.089599997,0.089500003,0.089599997,0.089699998,0.089599997,0.089599997,0.089500003,0.089599997,0.089599997,0.089500003,0.089599997,0.089599997,0.089500003,0.089599997,0.089500003,0.089500003,0.0898,0.089599997,0.089699998,0.089599997,0.089699998,0.089599997,0.0898,0.0898,0.089699998,0.089699998,0.0898,0.089599997,0.0898,0.089699998,0.0898,0.0898,0.0898,0.089900002,0.089699998,0.089699998,0.0898,0.089900002,0.0898,0.0898,0.090000004,0.089900002,0.089900002,0.0898,0.090000004,0.090000004,0.0898,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.089900002,0.0898,0.090000004,0.090000004,0.089900002,0.090000004,0.090000004,0.089900002,0.090000004,0.090000004,0.090099998,0.090099998,0.090000004,0.090099998,0.090000004,0.090000004,0.090099998,0.090099998,0.090099998,0.090099998,0.090099998,0.090099998,0.090099998,0.0902,0.090000004,0.0902,0.090099998,0.0902,0.090099998,0.090000004,0.0902,0.090099998,0.090300001,0.090099998,0.0902,0.090099998,0.0902,0.0902,0.090300001,0.0902,0.0902,0.0902,0.090300001,0.0902,0.090300001,0.0902,0.0902,0.0902,0.090300001,0.0902,0.0902,0.090300001,0.0902,0.0902,0.090300001,0.0902,0.090300001,0.090300001,0.090300001,0.090300001,0.0902,0.090300001,0.0902,0.090300001,0.0902,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001,0.090300001
